type,value,start_pos,end_pos,file_id,text,line_num
ip,3.4.2.1,20.0,26.0,E:/vmshared_storage/Kali202004/bin2text/txt\3ea61ca46ad010921ebfc50fb762312681891201.txt,  SCP Ver.......... 3.4.2.1.6.0,22
ip,3.4.2.1,20.0,26.0,E:/vmshared_storage/Kali202004/bin2text/txt\3ea61ca46ad010921ebfc50fb762312681891201.txt,  SCP Ver.......... 3.4.2.1.6.0,41
ip,100.0.33.17,35.0,45.0,E:/vmshared_storage/Kali202004/bin2text/txt\e78558149577e6ebe1f393fc327202baa790df1b.txt,Apple clang version 11.0.0 (clang-1100.0.33.17),40
ip,10.160.94.3,2.0,12.0,E:/vmshared_storage/Kali202004/bin2text/txt\e8a3f129df9fc52e8092230cc950a7c7a9fd97d2.txt,# 10.160.94.3	asecretkeygoeshere,1
ip,172.16.1.133,2.0,13.0,E:/vmshared_storage/Kali202004/bin2text/txt\e8a3f129df9fc52e8092230cc950a7c7a9fd97d2.txt,# 172.16.1.133	asecretkeygoeshere,2
