ID,FK_ID,ChildNodeID,value
72560,11342,10281,100
72561,11343,10446,100
72562,11344,10383,99
72563,11344,10446,1
72564,11345,10032,41
72565,11345,10177,2
72566,11345,10019,9
72567,11345,10008,16
72568,11345,10022,33
72569,11346,10143,1
72570,11346,11972,2
72571,11346,11980,1
72572,11346,10258,1
72573,11346,10657,2
72574,11346,10173,1
72575,11346,10028,3
72576,11346,10006,1
72577,11346,11121,1
72578,11346,11971,6
72579,11346,10022,9
72580,11346,10019,12
72581,11346,10008,2
72582,11346,10057,3
72583,11346,11276,3
72584,11346,10147,2
72585,11346,10032,22
72586,11346,10144,3
72587,11346,10163,3
72588,11346,10316,1
72589,11346,10070,1
72590,11346,10264,1
72591,11346,10007,3
72592,11347,10032,100
72593,11348,10009,2
72594,11348,11972,2
72595,11348,10657,2
72596,11348,10143,1
72597,11348,10173,1
72598,11348,10028,2
72599,11348,10252,1
72600,11348,11121,3
72601,11348,11971,6
72602,11348,10022,7
72603,11348,10019,8
72604,11348,10008,3
72605,11348,10057,5
72606,11348,10866,2
72607,11348,11276,10
72608,11348,10147,3
72609,11348,10032,19
72610,11348,10144,2
72611,11348,10163,2
72612,11348,10070,1
72613,11348,10264,1
72614,11348,10007,1
72615,11349,10379,100
72617,11350,10281,100
72618,11351,10383,100
72619,11352,10008,11
72620,11352,11276,6
72621,11352,10103,11
72622,11352,10022,21
72623,11352,10177,1
72624,11352,10161,5
72625,11352,10019,7
72626,11352,10130,7
72627,11352,10032,26
72628,11352,10007,6
72629,11353,11971,5
72630,11353,11972,2
72631,11353,10657,2
72632,11353,10028,2
72633,11353,11121,1
72634,11353,10022,7
72635,11353,10063,2
72636,11353,10019,10
72637,11353,10008,3
72638,11353,10161,2
72639,11353,10057,2
72640,11353,10866,3
72641,11353,11276,4
72642,11353,10147,2
72643,11353,10032,18
72644,11353,10062,2
72645,11353,10144,2
72646,11353,10163,2
72647,11353,10070,1
72648,11353,10264,1
72649,11353,10130,4
72650,11353,10007,3
72651,11354,10380,61
72652,11354,10281,39
72653,11355,10103,6
72654,11355,10019,5
72655,11355,11276,6
72656,11355,10032,25
72657,11355,10007,6
72658,11355,10177,3
72659,11355,10017,7
72660,11355,10008,11
72661,11355,10022,22
72662,11355,10161,5
72663,11355,10057,3
72664,11356,10143,1
72665,11356,11972,2
72666,11356,11980,1
72667,11356,10258,1
72668,11356,10657,2
72669,11356,10173,1
72670,11356,10028,2
72671,11356,11121,2
72672,11356,11971,7
72673,11356,10022,8
72674,11356,10019,11
72675,11356,10008,3
72676,11356,10161,1
72677,11356,10057,3
72678,11356,10866,1
72679,11356,11276,4
72680,11356,10147,2
72681,11356,10032,19
72682,11356,10144,3
72683,11356,10163,2
72684,11356,10316,1
72685,11356,10070,1
72686,11356,10264,1
72687,11356,10253,1
72688,11356,10007,3
72689,11357,10330,100
72690,11358,10383,100
72691,11359,10032,38
72692,11359,11276,13
72693,11359,10019,8
72694,11359,10008,12
72695,11359,10022,30
72696,11360,10028,3
72697,11360,11972,2
72698,11360,11980,1
72699,11360,10657,2
72700,11360,10009,1
72701,11360,10252,1
72702,11360,10006,1
72703,11360,10014,1
72704,11360,11971,2
72705,11360,10022,8
72706,11360,10019,11
72707,11360,10008,2
72708,11360,10161,1
72709,11360,10057,3
72710,11360,10866,2
72711,11360,11276,6
72712,11360,10147,2
72713,11360,10032,20
72714,11360,10144,3
72715,11360,10163,2
72716,11360,10070,1
72717,11360,10264,2
72718,11360,10007,3
72719,11361,10032,44
72720,11361,10022,44
72721,11361,10019,12
72722,11362,11121,2
72723,11362,11972,2
72724,11362,10258,2
72725,11362,10657,3
72726,11362,10028,2
72727,11362,11971,6
72728,11362,12165,1
72729,11362,10022,9
72730,11362,10019,13
72731,11362,10008,2
72732,11362,10161,2
72733,11362,10057,6
72734,11362,12164,1
72735,11362,10032,20
72736,11362,10144,2
72737,11362,10163,1
72738,11362,10070,1
72739,11362,10130,1
72740,11362,10253,3
72741,11362,10007,3
72742,11363,10379,100
72743,11364,10281,100
72744,11365,10282,100
72745,11366,10281,100
72746,11367,10022,32
72747,11367,10177,1
72748,11367,11276,14
72749,11367,10019,7
72750,11367,10008,13
72751,11367,10032,33
72752,11368,10264,1
72753,11368,10028,2
72754,11368,10057,3
72755,11368,10070,1
72756,11368,11276,8
72757,11368,10022,8
72758,11368,11971,5
72759,11368,10032,20
72760,11368,10008,3
72761,11368,10144,3
72762,11368,11980,1
72763,11368,10163,3
72764,11368,10019,13
72765,11368,11972,2
72766,11368,11121,1
72767,11368,10657,2
72768,11368,10866,1
72769,11368,10147,2
72770,11368,10007,2
72771,11369,10008,20
72772,11369,10032,26
72773,11369,10019,7
72774,11369,10103,11
72775,11369,10177,2
72776,11369,10130,15
72777,11369,10022,20
72778,11370,11121,2
72779,11370,11972,1
72780,11370,10657,2
72781,11370,10009,1
72782,11370,10028,1
72783,11370,11971,10
72784,11370,10014,1
72785,11370,10022,7
72786,11370,10019,9
72787,11370,10008,2
72788,11370,10057,2
72789,11370,10866,2
72790,11370,11276,4
72791,11370,10147,1
72792,11370,10032,17
72793,11370,10144,2
72794,11370,10163,2
72795,11370,10070,1
72796,11370,10264,2
72797,11370,10253,1
72798,11370,10007,2
72799,11370,10130,8
72800,11371,10032,100
72801,11372,10258,1
72802,11372,11972,3
72803,11372,12166,1
72804,11372,11980,2
72805,11372,10012,1
72806,11372,10657,2
72807,11372,10009,2
72808,11372,10028,2
72809,11372,10014,2
72810,11372,10022,8
72811,11372,10019,11
72812,11372,10008,3
72813,11372,10161,2
72814,11372,10057,4
