Z_PK,Z_ENT,Z_OPT,ZATTRS,ZISHOTSPOT,ZISKNOWNGOOD,ZISLOWINTERNETDL,ZISLOWINTERNETUL,ZKIND,ZWASLASTFAILED,ZFIRSTTIMESTAMP,ZOVERALLSTAYMEAN,ZOVERALLSTAYVAR,ZTIMESTAMP,ZVELO,ZIDENTIFIER,ZSERVICE,ZNETSIGNATURE
12,10,75,259,0.0,1,,,1,,606628800,47.32551624576251,16735.787435878403,608702400,0.0,CcookiesDcastleR5 Guest-f8:bb:bf:8d:b9:c9,,b'n|\xd4p\x89^\xbew3\x00\x8caBcB\xb8}\xc3\x97z\x00\x00\x00\x00'
13,10,162,259,0.0,1,,,1,,606628800,1481.1211997389794,28126183.79311267,608702400,0.0,CcookiesDcastleR5 Guest-f8:bb:bf:1e:fa:f0,,b'n|\xd4p\x89^\xbew3\x00\x8caBcB\xb8}\xc3\x97z\x00\x00\x00\x00'
14,10,144,259,0.0,0,,,1,,606628800,224.6223587653363,159519.6496661615,608702400,0.0,CcookiesDcastleR5 Guest-f8:bb:bf:1e:fa:ef,,b'n|\xd4p\x89^\xbew3\x00\x8caBcB\xb8}\xc3\x97z\x00\x00\x00\x00'
15,10,66,259,0.0,0,,,1,,606628800,30.412518893678982,2701.5488167912786,608702400,0.0,CcookiesDcastleR5 Guest-f8:bb:bf:90:a8:fa,,b'\xd9\xba\x0ez\x16\xae\xcf\xfc\x9d\xd5\xe8\xdc\x19$*I\xf7\xb2Vy\x00\x00\x00\x00'
16,10,100,259,0.0,0,,,1,,606628800,150.2106968533425,37525.337148416365,608702400,0.0,CcookiesDcastleR5 Guest-f8:bb:bf:90:a8:f9,,b'n|\xd4p\x89^\xbew3\x00\x8caBcB\xb8}\xc3\x97z\x00\x00\x00\x00'
17,10,42,259,,1,,,2,,606628800,8.56556807066265,302.2292782402786,608616000,0.0,Carrier-39709187,,b'c1dc6fe5111c8dc4-3e8d881'
18,10,37,259,,1,,,2,,606628800,22.660591808954873,492.9013836629641,607406400,0.0,Carrier-39709220,,b'c1dc6fe5111c8dc4-3e8d881'
19,10,31,259,,1,,,2,,606628800,52.80274911721548,3989.6502776605876,606888000,0.0,Carrier-11283,,b'c1dc6fe5111c8dc4-3e8d881'
20,10,26,259,,1,,,2,,606715200,0.0,0.0,606715200,0.0,Carrier-195403793,,b'c1dc6fe5111c8dc4-3e8d881'
21,10,26,259,,1,,,2,,606715200,0.0,0.0,606715200,0.0,Carrier-195138575,,b'c1dc6fe5111c8dc4-3e8d881'
