item_pid,audio_format,bit_rate,codec_type,codec_subtype,data_kind,data_url,duration,eq_preset,format,gapless_heuristic_info,gapless_encoding_delay,gapless_encoding_drain,gapless_last_frame_resynch,has_video,relative_volume,sample_rate,start_time_ms,stop_time_ms,volume_normalization_energy,progression_direction
705311054679456724,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287581,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287582,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287583,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287584,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287585,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287586,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287587,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287588,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287589,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287590,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287591,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287592,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287593,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287594,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287595,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287596,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287597,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287598,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287599,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287600,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287601,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287602,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287603,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287604,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1359453492144287605,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925282,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925283,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925284,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925285,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925286,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925287,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925288,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925289,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1605611714792925290,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
1910159339511848621,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
2769733731893192032,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
2782872375250988681,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
2835056156909507428,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3216802966633642550,0,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268594,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268595,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268596,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268597,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268598,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268599,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268600,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268601,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268602,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268603,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268604,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268605,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
3300013925658268606,256,0,0,0,0,,0,,,0,0,0,0,0,,0.0,0.0,0.0,0,0
