Z_1ANTECEDENT,Z_2ANTECEDENTOFRULES
107,794
107,743
107,773
107,808
107,783
107,782
107,757
107,748
107,778
107,801
107,768
107,789
107,811
107,765
107,754
107,799
107,816
107,772
107,809
107,753
107,771
107,791
106,782
106,791
106,774
106,807
106,746
106,809
106,783
106,760
105,780
105,808
105,772
105,763
105,765
105,778
105,775
105,796
104,794
104,760
104,774
104,780
104,808
104,783
104,779
104,757
104,748
104,796
104,815
104,811
104,789
104,765
104,797
104,777
104,809
104,806
104,771
104,792
103,803
103,793
103,795
103,759
103,802
103,810
103,770
103,751
102,803
102,790
102,764
102,760
102,751
102,812
102,799
102,768
102,782
102,743
102,752
102,811
102,808
102,783
102,745
102,806
102,780
102,746
102,761
102,798
102,795
102,802
102,778
102,756
102,777
102,762
102,775
102,776
102,789
102,787
102,797
102,804
102,749
102,769
102,805
102,785
102,771
102,758
102,767
102,750
101,795
101,744
101,770
101,802
101,798
101,790
101,785
101,750
101,781
101,814
101,813
101,805
101,762
101,749
101,761
101,786
101,810
101,800
101,766
101,742
100,788
100,800
100,749
100,805
100,745
100,742
100,752
100,784
99,817
99,816
98,795
98,756
98,752
98,747
98,744
98,785
98,790
98,755
98,776
98,750
98,814
98,758
98,793
98,749
98,741
98,810
98,766
98,800
98,788
98,751
