Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,Account,0,0
2,AccountEmail,0,0
3,ApplicationQuestion,0,0
4,ArcChainReceivingKeyEntity,0,0
5,ArcChainSendingKeyEntity,0,0
6,ArcPreKeyEntity,0,100
7,ArcRootKeyEntity,0,0
8,ArcThreadEntity,0,0
9,AudioFile,0,0
10,ChatAttachment,0,7
11,ChatMessage,0,11
12,ChatNotContactOptions,0,0
13,ChatThread,0,2
14,Comment,0,0
15,Contact,0,1
16,CurrentUser,0,1
17,Document,0,0
18,Emoji,0,720
19,Event2,0,0
20,File,0,0
21,Group,0,1
22,Hyperlink,0,170
23,Inviter,0,0
24,Link,0,18
25,Medium,0,106
26,Member,0,0
27,Page,0,12
28,Permission,0,0
29,Photo,0,0
30,Poll,0,0
31,PollOption,0,0
32,Post,0,37
33,Profile,0,5
34,ProfileDetails,0,0
35,ProfileStatus,0,0
36,Role,0,0
37,Sticker,0,0
38,Team,0,1
39,User,0,5
40,Wrapper,0,1
