Z_PK,Z_ENT,Z_OPT,ZMAXCONCURRENT,ZNAME
1,2,6,3,com.apple.backgroundAppRefresh
2,2,1,3,com.apple.dasd.defaultNetwork
3,2,1,5,com.apple.dasd.default
4,2,9,3,NSURLSessionBackgroundPoolName
5,2,14,4,com.apple.appstored.connectionPool.apps
6,2,7,3,com.apple.appstored.connectionPool.odr
7,2,7,3,com.apple.ckdiscretionaryd
8,2,2,1,SGSqlEntityStore
9,2,3,1,com.apple.sensorkitd.startup.group
10,2,3,3,com.apple.rtcreportingd.group
11,2,9,6,com.apple.cloudkit.BackgroundConnectionPool
