Z_PK,Z_ENT,Z_OPT,ZCELEBRATING,ZDISPLAYHISTORY,ZENROLLED,ZISCOMPLETED,ZISSOLO,ZISVISIBLE,ZPOSITION,ZREMOVABLE,ZSEGMENTS,ZSHOULDNOTTINT,ZTEMPLATEID,ZDAYDATE,ZICONOPACITY,ZOFFLINEEXPIRYDATE,ZPROGRESS,ZTRYAGAINSECONDS,ZACTION,ZBACKGROUNDCOLOR,ZBADGEICONURL,ZBODY,ZDISPLAYNAME,ZEDITBODY,ZEDITTITLE,ZFSCTRACKINGID,ZFSCTRACKINGNAME,ZFSCTRACKINGTYPE,ZICONURL,ZIMAGEURL,ZLOCALUNIQUEID,ZLOTTIEURL,ZQUITBODYCONFIRMATION,ZQUITTITLECONFIRMATION,ZSECONDARYACTION,ZSTATUS,ZSUBTITLEICONURL,ZTILEID,ZTINTCOLOR,ZTITLE,ZTYPE,ZAVATARURLS,ZBODYDOTS,ZCELEBRATIONSTATE,ZLIVEDATASTATES,ZNOTCONNECTEDSTATE,ZSTROKES,ZTEXTATTRIBUTES
1,156,768,0.0,1,0,0,1,1,6,1,1,0,1,,1.0,608529600.0,0.0,,/sleep,,,Your sleep goal is {goal} hr,Sleep,Plus sleep stages,Sleep,,DashboardSleepCell,,https://static0.fitbit.com/content/assets/fitbit-home/images/sleep.png,,sleep-today,,,,/sleep/quicklog,,,sleep,#8173ff,Wear your Fitbit to bed,template_1,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xaf\x10\x19\x0b\x0c\x1b\x1c\x1d\x1e\x1f)*+,-.456<FGHISTU_U$null\xd3\r\x0e\x0f\x10\x15\x1aWNS.keysZNS.objectsV$class\xa4\x11\x12\x13\x14\x80\x02\x80\x03\x80\x04\x80\x05\xa4\x16\x17\x18\x19\x80\x06\x80\x10\x80\x14\x80\x17\x80\x0fTbodyUtitleYeditTitleXeditBody\xd3\r\x0e\x0f $\x1a\xa3!""#\x80\x07\x80\x08\x80\t\xa3%&\'\x80\n\x80\x0b\x80\x0c\x80\x0fXfontSizeYtextColorV{goal}#@,\x00\x00\x00\x00\x00\x00W#112530\xd3\r\x0e\x0f/1\x1a\xa10\x80\r\xa12\x80\x0e\x80\x0fUvalueQ8\xd2789:Z$classnameX$classes\\NSDictionary\xa29;XNSObject\xd3\r\x0e\x0f=A\x1a\xa3!?""\x80\x07\x80\x11\x80\x08\xa3BC&\x80\x12\x80\x13\x80\x0b\x80\x0fYfontStyle#@0\x00\x00\x00\x00\x00\x00Vmedium\xd3\r\x0e\x0fJN\x1a\xa3!?""\x80\x07\x80\x11\x80\x08\xa3OCQ\x80\x15\x80\x13\x80\x16\x80\x0f#@8\x00\x00\x00\x00\x00\x00W#A0A8AC\xd3\r\x0e\x0fVZ\x1a\xa3!?""\x80\x07\x80\x11\x80\x08\xa3%\\Q\x80\n\x80\x18\x80\x16\x80\x0fWregular\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00o\x00u\x00|\x00\x84\x00\x8f\x00\x96\x00\x9b\x00\x9d\x00\x9f\x00\xa1\x00\xa3\x00\xa8\x00\xaa\x00\xac\x00\xae\x00\xb0\x00\xb2\x00\xb7\x00\xbd\x00\xc7\x00\xd0\x00\xd7\x00\xdb\x00\xdd\x00\xdf\x00\xe1\x00\xe5\x00\xe7\x00\xe9\x00\xeb\x00\xed\x00\xf6\x01\x00\x01\x07\x01\x10\x01\x18\x01\x1f\x01!\x01#\x01%\x01\'\x01)\x01/\x011\x016\x01A\x01J\x01W\x01Z\x01c\x01j\x01n\x01p\x01r\x01t\x01x\x01z\x01|\x01~\x01\x80\x01\x8a\x01\x93\x01\x9a\x01\xa1\x01\xa5\x01\xa7\x01\xa9\x01\xab\x01\xaf\x01\xb1\x01\xb3\x01\xb5\x01\xb7\x01\xc0\x01\xc8\x01\xcf\x01\xd3\x01\xd5\x01\xd7\x01\xd9\x01\xdd\x01\xdf\x01\xe1\x01\xe3\x01\xe5\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00`\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\xed'"
2,156,766,0.0,1,0,0,1,1,3,1,9,0,1,,1.0,608529600.0,0.0,,/remindersToMove,,,{remaining} hr left,Hourly Steps,Track 250+ steps,Hourly Steps,,DashboardSedentaryTimeCell,,https://static0.fitbit.com/content/assets/fitbit-home/images/rtm.png,,rtm-today,,,,,,,rtm,#9e4761,Time to get moving,template_1,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',,,,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa7\x0b\x0c\x12\x1f7@DU$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x06\xd7\x0e\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1b\x1d\x1eYtintColor[startOffsetWanimate_\x10\x15animationStartPercent_\x10\x0fpercentCompleteYlineWidth\x80\x05\x80\x03""\x00\x00\x00\x00\x08""?\x80\x00\x00\x80\x00\xdc !""\x0e#$%&\'()*+,-./0123456^UIGreen-DoubleWUIAlphaUUIRed_\x10\x15UIColorComponentCountWUIGreenVUIBlue]UIBlue-DoubleUNSRGB\\NSColorSpace^UIAlpha-Double\\UIRed-Double#?\xd1\xd1\xd1\xd1\xd1\xd1\xd2"">\x19\x99\x9a""?\x1e\x9e\x9f\x80\x04\x10\x04"">\x8e\x8e\x8f"">\xc2\xc2\xc3#?\xd8XXXXXXO\x10\x140.62 0.278 0.38 0.15\x10\x02#?\xc3333333#?\xe3\xd3\xd3\xd3\xd3\xd3\xd4\xd389:;<>Z$classnameX$classes[$classhintsWUIColor\xa2;=XNSObject\xa1?WNSColor\xd289AB_\x10\x16CoreUIbit.SquircleInfo\xa2C=_\x10\x16CoreUIbit.SquircleInfo\xd289EFWNSArray\xa2E=\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00[\x00a\x00f\x00q\x00x\x00z\x00|\x00~\x00\x8d\x00\x97\x00\xa3\x00\xab\x00\xc3\x00\xd5\x00\xdf\x00\xe1\x00\xe3\x00\xe8\x00\xe9\x00\xee\x00\xf0\x01\t\x01\x18\x01 \x01&\x01>\x01F\x01M\x01[\x01a\x01n\x01}\x01\x8a\x01\x93\x01\x98\x01\x9d\x01\x9f\x01\xa1\x01\xa6\x01\xab\x01\xb4\x01\xcb\x01\xcd\x01\xd6\x01\xdf\x01\xe6\x01\xf1\x01\xfa\x02\x06\x02\x0e\x02\x11\x02\x1a\x02\x1c\x02$\x02)\x02B\x02E\x02^\x02c\x02k\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00G\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x02n'","b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xaf\x10\x19\x0b\x0c\x1b\x1c\x1d\x1e\x1f)*+,-./5?@FGHISTU_U$null\xd3\r\x0e\x0f\x10\x15\x1aWNS.keysZNS.objectsV$class\xa4\x11\x12\x13\x14\x80\x02\x80\x03\x80\x04\x80\x05\xa4\x16\x17\x18\x19\x80\x06\x80\x0e\x80\x14\x80\x17\x80\rXeditBodyTbodyYeditTitleUtitle\xd3\r\x0e\x0f $\x1a\xa3!""#\x80\x07\x80\x08\x80\t\xa3%&\'\x80\n\x80\x0b\x80\x0c\x80\rXfontSizeYfontStyleYtextColor#@,\x00\x00\x00\x00\x00\x00WregularW#A0A8AC\xd20123Z$classnameX$classes\\NSDictionary\xa224XNSObject\xd3\r\x0e\x0f6:\x1a\xa3!8#\x80\x07\x80\x0f\x80\t\xa3%<=\x80\n\x80\x10\x80\x13\x80\r[{remaining}\xd3\r\x0e\x0fAC\x1a\xa1B\x80\x11\xa1D\x80\x12\x80\rUvalueQ9W#112530\xd3\r\x0e\x0fJN\x1a\xa3!""#\x80\x07\x80\x08\x80\t\xa3OP\'\x80\x15\x80\x16\x80\x0c\x80\r#@8\x00\x00\x00\x00\x00\x00Vmedium\xd3\r\x0e\x0fVZ\x1a\xa3!""#\x80\x07\x80\x08\x80\t\xa3[P=\x80\x18\x80\x16\x80\x13\x80\r#@0\x00\x00\x00\x00\x00\x00\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00o\x00u\x00|\x00\x84\x00\x8f\x00\x96\x00\x9b\x00\x9d\x00\x9f\x00\xa1\x00\xa3\x00\xa8\x00\xaa\x00\xac\x00\xae\x00\xb0\x00\xb2\x00\xbb\x00\xc0\x00\xca\x00\xd0\x00\xd7\x00\xdb\x00\xdd\x00\xdf\x00\xe1\x00\xe5\x00\xe7\x00\xe9\x00\xeb\x00\xed\x00\xf6\x01\x00\x01\n\x01\x13\x01\x1b\x01#\x01(\x013\x01<\x01I\x01L\x01U\x01\\\x01`\x01b\x01d\x01f\x01j\x01l\x01n\x01p\x01r\x01~\x01\x85\x01\x87\x01\x89\x01\x8b\x01\x8d\x01\x8f\x01\x95\x01\x97\x01\x9f\x01\xa6\x01\xaa\x01\xac\x01\xae\x01\xb0\x01\xb4\x01\xb6\x01\xb8\x01\xba\x01\xbc\x01\xc5\x01\xcc\x01\xd3\x01\xd7\x01\xd9\x01\xdb\x01\xdd\x01\xe1\x01\xe3\x01\xe5\x01\xe7\x01\xe9\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00`\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\xf2'"
3,156,799,0.0,1,0,0,1,1,2,1,0,0,1,,1.0,608616000.0,0.0,,/weight,,,Set a weight goal,Weight,"Lose, gain, maintain",Weight,,DashboardWeightCell,,https://static0.fitbit.com/content/assets/fitbit-home/images/weight/scale_default.png,,weight-today,,,,/weight/quicklog,,,weight,#f0a500,{weight} lbs,template_1,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xaf\x10\x19\x0b\x0c\x1b\x1c\x1d\x1e\x1f)*+,-./5?@AIJVW_`aU$null\xd3\r\x0e\x0f\x10\x15\x1aWNS.keysZNS.objectsV$class\xa4\x11\x12\x13\x14\x80\x02\x80\x03\x80\x04\x80\x05\xa4\x16\x17\x18\x19\x80\x06\x80\x0e\x80\x11\x80\x13\x80\rYeditTitleXeditBodyTbodyUtitle\xd3\r\x0e\x0f $\x1a\xa3!""#\x80\x07\x80\x08\x80\t\xa3%&\'\x80\n\x80\x0b\x80\x0c\x80\rXfontSizeYfontStyleYtextColor#@8\x00\x00\x00\x00\x00\x00VmediumW#A0A8AC\xd20123Z$classnameX$classes\\NSDictionary\xa224XNSObject\xd3\r\x0e\x0f6:\x1a\xa3!""#\x80\x07\x80\x08\x80\t\xa3;<\'\x80\x0f\x80\x10\x80\x0c\x80\r#@,\x00\x00\x00\x00\x00\x00Wregular\xd3\r\x0e\x0fBE\x1a\xa2!#\x80\x07\x80\t\xa2;G\x80\x0f\x80\x12\x80\rW#112530\xd3\r\x0e\x0fKP\x1a\xa4""#N!\x80\x08\x80\t\x80\x14\x80\x07\xa4&GST\x80\x0b\x80\x12\x80\x15\x80\x18\x80\rX{weight}\xd3\r\x0e\x0fX[\x1a\xa2!Z\x80\x07\x80\x16\xa2%]\x80\n\x80\x17\x80\rUvalueS180#@0\x00\x00\x00\x00\x00\x00\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00o\x00u\x00|\x00\x84\x00\x8f\x00\x96\x00\x9b\x00\x9d\x00\x9f\x00\xa1\x00\xa3\x00\xa8\x00\xaa\x00\xac\x00\xae\x00\xb0\x00\xb2\x00\xbc\x00\xc5\x00\xca\x00\xd0\x00\xd7\x00\xdb\x00\xdd\x00\xdf\x00\xe1\x00\xe5\x00\xe7\x00\xe9\x00\xeb\x00\xed\x00\xf6\x01\x00\x01\n\x01\x13\x01\x1a\x01""\x01\'\x012\x01;\x01H\x01K\x01T\x01[\x01_\x01a\x01c\x01e\x01i\x01k\x01m\x01o\x01q\x01z\x01\x82\x01\x89\x01\x8c\x01\x8e\x01\x90\x01\x93\x01\x95\x01\x97\x01\x99\x01\xa1\x01\xa8\x01\xad\x01\xaf\x01\xb1\x01\xb3\x01\xb5\x01\xba\x01\xbc\x01\xbe\x01\xc0\x01\xc2\x01\xc4\x01\xcd\x01\xd4\x01\xd7\x01\xd9\x01\xdb\x01\xde\x01\xe0\x01\xe2\x01\xe4\x01\xea\x01\xee\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\xf7'"
4,156,765,,1,0,0,1,1,4,1,0,0,5,,1.0,608616000.0,0.0,,/heartrate,,,,Heart Rate,Plus heart rate zones,Heart Rate,,DashboardHeartRateCell,,https://static0.fitbit.com/content/assets/fitbit-home/images/heart.png,,heart_rate-today,https://static0.fitbit.com/content/assets/fitbit-home/lottie-resources/v1/heart_rate.json,,,,,,heart_rate,#ff2f4d,,template_5,,,,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xaf\x10*\x0b\x0c\x15!*+,-.4<=>?@DLTUV^_cdghpxyz\x82\x83\x87\x88\x89\x91\x99\x9a\x9b\xa3\xa4\xa8U$null\xd2\r\x0e\x0f\x14ZNS.objectsV$class\xa4\x10\x11\x12\x13\x80\x02\x80\x0f\x80\x19\x80""\x80\x17\xd6\x16\x17\x18\x0e\x19\x1a\x1b\x1c\x1d\x1e\x1f _\x10\x12rawAnimationFramesTbodyUtitleXrawRangeXbodyDots\x80\x03\x80\r\x80\x0c\x80\x0e\x80\t\x80\x00\xd3""\r\x0e#&)WNS.keys\xa2$%\x80\x04\x80\x05\xa2\'(\x80\x06\x80\x07\x80\x08SminSmax#\x00\x00\x00\x00\x00\x00\x00\x00#?\xd0\x00\x00\x00\x00\x00\x00\xd2/012Z$classnameX$classes\\NSDictionary\xa213XNSObject\xd3""\r\x0e58)\xa2$%\x80\x04\x80\x05\xa29:\x80\n\x80\x0b\x80\x08\x10\x1e\x10YX{hr} bpm_\x10#{resting_hr} bpm resting heart rate\xd2/0AB_\x10\x15Homebit.LiveDataState\xa2C3_\x10\x15Homebit.LiveDataState\xd6E\x17\x18\x0e\x19\x1aFG\x1d\x1eJK_\x10\x12rawAnimationFrames\x80\x10\x80\x18\x80\x0c\x80\x0e\x80\x13\x80\x15\xd3""\r\x0eMP)\xa2%$\x80\x05\x80\x04\xa2QR\x80\x11\x80\x12\x80\x08#?\xe0\x00\x00\x00\x00\x00\x00#?\xd0\x00\x00\x00\x00\x00\x00\xd3""\r\x0eWZ)\xa2%$\x80\x05\x80\x04\xa2[:\x80\x14\x80\x0b\x80\x08\x10|\xd2\r\x0e`\x14\xa1a\x80\x16\x80\x17W#f1247c\xd2/0efWNSArray\xa2e3]Fat burn zone\xd6i\x17\x18\x0e\x19\x1ajk\x1d\x1eno_\x10\x12rawAnimationFrames\x80\x1a\x80!\x80\x0c\x80\x0e\x80\x1d\x80\x1f\xd3""\r\x0eqt)\xa2%$\x80\x05\x80\x04\xa2uv\x80\x1b\x80\x1c\x80\x08#?\xe8\x00\x00\x00\x00\x00\x00#?\xe0\x00\x00\x00\x00\x00\x00\xd3""\r\x0e{~)\xa2$%\x80\x04\x80\x05\xa2[\x80\x80\x14\x80\x1e\x80\x08\x10\x97\xd2\r\x0e\x84\x14\xa1\x85\x80 \x80\x17W#15b9ed[Cardio zone\xd6\x8a\x17\x18\x0e\x19\x1a\x8b\x8c\x1d\x1e\x8f\x90_\x10\x12rawAnimationFrames\x80#\x80)\x80\x0c\x80\x0e\x80&\x80(\xd3""\r\x0e\x92\x95)\xa2$%\x80\x04\x80\x05\xa2\x96\x97\x80$\x80%\x80\x08#?\xe8\x00\x00\x00\x00\x00\x00#?\xf0\x00\x00\x00\x00\x00\x00\xd3""\r\x0e\x9c\x9f)\xa2%$\x80\x05\x80\x04\xa2\xa0\x80\x80\'\x80\x1e\x80\x08\x10\xdc\xd2\r\x0e\xa5\x14\xa1\x85\x80 \x80\x17YPeak zone\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00\x80\x00\x86\x00\x8b\x00\x96\x00\x9d\x00\xa2\x00\xa4\x00\xa6\x00\xa8\x00\xaa\x00\xac\x00\xb9\x00\xce\x00\xd3\x00\xd9\x00\xe2\x00\xeb\x00\xed\x00\xef\x00\xf1\x00\xf3\x00\xf5\x00\xf7\x00\xfe\x01\x06\x01\t\x01\x0b\x01\r\x01\x10\x01\x12\x01\x14\x01\x16\x01\x1a\x01\x1e\x01\'\x010\x015\x01@\x01I\x01V\x01Y\x01b\x01i\x01l\x01n\x01p\x01s\x01u\x01w\x01y\x01{\x01}\x01\x86\x01\xac\x01\xb1\x01\xc9\x01\xcc\x01\xe4\x01\xf1\x02\x06\x02\x08\x02\n\x02\x0c\x02\x0e\x02\x10\x02\x12\x02\x19\x02\x1c\x02\x1e\x02 \x02#\x02%\x02\'\x02)\x022\x02;\x02B\x02E\x02G\x02I\x02L\x02N\x02P\x02R\x02T\x02Y\x02[\x02]\x02_\x02g\x02l\x02t\x02w\x02\x85\x02\x92\x02\xa7\x02\xa9\x02\xab\x02\xad\x02\xaf\x02\xb1\x02\xb3\x02\xba\x02\xbd\x02\xbf\x02\xc1\x02\xc4\x02\xc6\x02\xc8\x02\xca\x02\xd3\x02\xdc\x02\xe3\x02\xe6\x02\xe8\x02\xea\x02\xed\x02\xef\x02\xf1\x02\xf3\x02\xf5\x02\xfa\x02\xfc\x02\xfe\x03\x00\x03\x08\x03\x14\x03!\x036\x038\x03:\x03<\x03>\x03@\x03B\x03I\x03L\x03N\x03P\x03S\x03U\x03W\x03Y\x03b\x03k\x03r\x03u\x03w\x03y\x03|\x03~\x03\x80\x03\x82\x03\x84\x03\x89\x03\x8b\x03\x8d\x03\x8f\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00\xa9\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x03\x99'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x13\x14\x15U$null\xd3\r\x0e\x0f\x10\x11\x12UtitleV$classTbody\x80\x02\x80\x04\x80\x03_\x10\x10{resting_hr} bpm_\x10\x12Resting heart rate\xd2\x16\x17\x18\x19Z$classnameX$classes_\x10\x19Homebit.NotConnectedState\xa2\x1a\x1b_\x10\x19Homebit.NotConnectedStateXNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00Y\x00_\x00f\x00l\x00s\x00x\x00z\x00|\x00~\x00\x91\x00\xa6\x00\xab\x00\xb6\x00\xbf\x00\xdb\x00\xde\x00\xfa\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x03',,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xaf\x10\x1d\x0b\x0c\x1b\x1c\x1d\x1e\x1f-./012:;<=CKLMNOYZdefpU$null\xd3\r\x0e\x0f\x10\x15\x1aWNS.keysZNS.objectsV$class\xa4\x11\x12\x13\x14\x80\x02\x80\x03\x80\x04\x80\x05\xa4\x16\x17\x18\x19\x80\x06\x80\x16\x80\x18\x80\x1b\x80\x10UtitleYeditTitleXeditBodyTbody\xd3\r\x0e\x0f &\x1a\xa5!""#$%\x80\x07\x80\x08\x80\t\x80\n\x80\x0b\xa5\'()*+\x80\x0c\x80\x11\x80\x13\x80\x14\x80\x15\x80\x10T{hr}\\{resting_hr}YfontStyleYtextColorXfontSize\xd3\r\x0e\x0f36\x1a\xa2%5\x80\x0b\x80\r\xa278\x80\x0e\x80\x0f\x80\x10Uvalue#@8\x00\x00\x00\x00\x00\x00R--\xd2>?@AZ$classnameX$classes\\NSDictionary\xa2@BXNSObject\xd3\r\x0e\x0fDG\x1a\xa2%5\x80\x0b\x80\r\xa27I\x80\x0e\x80\x12\x80\x10R58VmediumW#112530#@0\x00\x00\x00\x00\x00\x00\xd3\r\x0e\x0fPT\x1a\xa3%#$\x80\x0b\x80\t\x80\n\xa37)W\x80\x0e\x80\x13\x80\x17\x80\x10W#A0A8AC\xd3\r\x0e\x0f[_\x1a\xa3%#$\x80\x0b\x80\t\x80\n\xa3`aW\x80\x19\x80\x1a\x80\x17\x80\x10#@,\x00\x00\x00\x00\x00\x00Wregular\xd3\r\x0e\x0fgk\x1a\xa3%""$\x80\x0b\x80\x08\x80\n\xa3`m*\x80\x19\x80\x1c\x80\x14\x80\x10\xd3\r\x0e\x0fqs\x1a\xa15\x80\r\xa1I\x80\x12\x80\x10\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00s\x00y\x00\x80\x00\x88\x00\x93\x00\x9a\x00\x9f\x00\xa1\x00\xa3\x00\xa5\x00\xa7\x00\xac\x00\xae\x00\xb0\x00\xb2\x00\xb4\x00\xb6\x00\xbc\x00\xc6\x00\xcf\x00\xd4\x00\xdb\x00\xe1\x00\xe3\x00\xe5\x00\xe7\x00\xe9\x00\xeb\x00\xf1\x00\xf3\x00\xf5\x00\xf7\x00\xf9\x00\xfb\x00\xfd\x01\x02\x01\x0f\x01\x19\x01#\x01,\x013\x016\x018\x01:\x01=\x01?\x01A\x01C\x01I\x01R\x01U\x01Z\x01e\x01n\x01{\x01~\x01\x87\x01\x8e\x01\x91\x01\x93\x01\x95\x01\x98\x01\x9a\x01\x9c\x01\x9e\x01\xa1\x01\xa8\x01\xb0\x01\xb9\x01\xc0\x01\xc4\x01\xc6\x01\xc8\x01\xca\x01\xce\x01\xd0\x01\xd2\x01\xd4\x01\xd6\x01\xde\x01\xe5\x01\xe9\x01\xeb\x01\xed\x01\xef\x01\xf3\x01\xf5\x01\xf7\x01\xf9\x01\xfb\x02\x04\x02\x0c\x02\x13\x02\x17\x02\x19\x02\x1b\x02\x1d\x02!\x02#\x02%\x02\'\x02)\x020\x022\x024\x026\x028\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00v\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x02:'"
