ID,timestamp,AvgBacklightNits,AvgLogicalBrightnessNits,BlueLightReductionOffTime,BlueLightReductionOnTime
2337,1586865412.947268,,,2.891654958333334,0.0
2338,1586865413.130343,26.070693969726562,26.070693969726562,,
2339,1586865438.83396,,,4.357774916666668,0.0
2340,1586865439.016652,7.228759765625,7.228759765625,,
2341,1586865460.9182272,,,3.4696750416666675,0.0
2342,1586865461.100946,43.74420928955078,43.74420928955078,,
2343,1586867862.889455,,,1.0244393750000003,0.0
2344,1586867863.0799232,73.01839447021484,73.01839447021484,,
2345,1586868263.2769723,,,37.87777929166668,0.0
2346,1586868263.458578,7.228759765625,7.228759765625,,
2347,1586868317.250382,,,10.10242391666667,0.0
2348,1586868317.43469,111.79621887207031,111.79621887207031,,
2349,1586872095.5596151,,,10.00964704166667,0.0
2350,1586872095.7405112,96.66511535644531,96.66511535644531,,
2351,1586872098.251337,,,0.9863261250000002,0.0
2352,1586872098.4337482,82.42649841308594,82.42649841308594,,
2353,1586872115.7741072,,,10.006411583333335,0.0
2354,1586872115.9538991,99.40892791748047,99.40892791748047,,
2355,1586872125.7434442,,,3.044022958333334,0.0
2356,1586872125.9201512,94.70254516601562,94.70254516601562,,
2357,1586872137.5075192,,,10.081963625000002,0.0
2358,1586872137.691978,101.0399398803711,101.0399398803711,,
2359,1586872446.5624382,107.60289001464844,107.60289001464844,,
2360,1586872446.56535,,,300.0000967083334,0.0
2361,1586872501.976134,,,55.39624387500001,0.0
2362,1586872502.177993,95.10580444335938,95.10580444335938,,
2363,1586873009.4391341,,,6.073155000000002,0.0
2364,1586873009.622426,104.43634796142578,104.43634796142578,,
2365,1586873190.1764061,,,0.34747216666666675,0.0
2366,1586873190.3427382,57.438053131103516,57.438053131103516,,
2367,1586873197.0426571,,,6.078509833333334,0.0
2368,1586873197.2156882,104.33921813964844,104.33921813964844,,
2369,1586876414.778273,,,0.9931870000000003,0.0
2370,1586876414.9595473,79.84483337402344,79.84483337402344,,
2371,1586876426.4998782,,,11.088044958333336,0.0
2372,1586876426.6881542,102.2155990600586,102.2155990600586,,
2373,1586877976.1996582,,,38.70041533333334,0.0
2374,1586877976.3893871,7.228759765625,7.228759765625,,
2375,1586879864.7810082,,,74.11043441666668,0.0
2376,1586879864.967009,7.228759765625,7.228759765625,,
2377,1586879872.140307,,,2.1036603750000005,0.0
2378,1586879872.323813,91.10859680175781,91.10859680175781,,
2379,1586884508.0963311,,,10.016534125000002,0.0
2380,1586884508.296001,108.27342224121094,108.27342224121094,,
2381,1586887727.7792172,,,5.077122125000001,0.0
2382,1586887727.9562721,98.38278198242188,98.38278198242188,,
2383,1586891527.6988492,,,10.018354291666668,0.0
2384,1586891527.885292,122.12294006347656,122.12294006347656,,
2385,1586896287.3998861,,,0.27233512500000007,0.0
2386,1586896287.69806,40.965999603271484,40.965999603271484,,
2387,1586896307.6478481,,,19.718792875000005,0.0
2388,1586896307.833272,107.9142837524414,107.9142837524414,,
2389,1586903581.675199,,,10.000065875000002,0.0
2390,1586903581.883656,7.228759765625,7.228759765625,,
2391,1586903706.341001,,,10.007796583333336,0.0
2392,1586903706.523789,7.228759765625,7.228759765625,,
2393,1586904387.560012,88.3489761352539,88.3489761352539,,
2394,1586904387.5640082,,,300.0010755833334,0.0
2395,1586904687.5699883,101.71427154541016,101.71427154541016,,
2396,1586904687.573954,,,300.0003493333334,0.0
2397,1586904987.578022,89.42357635498047,89.42357635498047,,
2398,1586904987.581729,,,299.9998090000001,0.0
2399,1586905287.603584,95.8990707397461,95.8990707397461,,
2400,1586905287.609642,,,299.9992278333334,0.0
2401,1586905587.5967102,74.88336181640625,74.88336181640625,,
2402,1586905587.601593,,,300.0005793333334,0.0
