id,startTime,pacebin,kvalue,kvalueTrack,score,endTime,distance,steps,session,speed,percentGrade,gpsSource
1,607028264.9964305,0,0.9986975914370204,0.9927405548653901,0.0,607028317.9996165,179.4088306791127,159,17,3.4096207572607833,0.0,1
2,607028323.9996202,0,0.9760605622727423,0.8731788664964942,0.0,607028381.9986081,180.34782599173192,172,17,3.5611255094375114,0.0,1
3,607028387.9984753,0,0.9631105666354767,0.906761841514169,0.0,607028445.9971807,186.872073474221,171,17,3.553308125506659,0.0,1
4,607028451.9970464,0,0.9575685533958564,0.9330500655010013,0.0,607028507.9957929,184.3619710406035,162,17,3.5284834851972944,0.0,1
5,607028513.995658,0,0.9347236271712775,0.8301038062073002,0.0,607028573.9943148,179.22544647411308,175,17,3.5985350593948833,0.0,1
6,607028580.9941568,0,0.9274776488204708,0.8952822150262685,0.0,607028635.9929258,183.71498272339454,160,17,3.731054995449008,0.0,1
7,607028641.9927914,0,0.9137139963314718,0.8530260096791389,0.0,607028698.9946989,184.867017674002,170,17,3.8019620086281036,0.0,1
8,607028705.9966266,0,0.8919626576850508,0.798046994842436,0.0,607028765.9988321,188.05137477764453,180,17,3.9271802249718686,0.0,1
9,607028771.9987184,0,0.8725112340759829,0.7789893824364694,0.0,607028829.997429,172.17721240946477,170,17,3.8108845754962632,0.0,1
10,607028835.99729,0,0.8566121296030468,0.7824723116235223,0.0,607028893.9959509,176.58035036270655,172,17,3.8909480189181447,0.0,1
11,607028902.9957433,0,0.8289548801311644,0.7107650551788901,0.0,607028970.9941733,189.63184267549192,202,17,3.9236143302318234,0.0,1
12,607028976.9940336,0,0.8059619210115646,0.6907086037845325,0.0,607029042.9925091,166.31883134377114,189,17,3.648485752785658,0.0,1
13,607029054.9922324,0,0.7862792069071362,0.7028184023045256,0.0,607029124.9921073,190.8284141472211,201,17,3.8788470362411696,0.0,1
14,607029130.9946878,0,0.7773603858717768,0.7364983765961195,0.0,607029193.9988942,179.16175723942638,178,17,3.8610370920331185,0.0,1
15,607029200.9987655,0,0.7648398785129772,0.7088262868753198,0.0,607029265.9973017,182.6901869600254,187,17,3.965261458632571,0.0,1
16,607029273.997114,0,0.7522001980523308,0.6807180459008533,0.0,607029329.9958001,150.2544591357917,161,17,3.9416882032359206,0.0,1
