ID,timestamp,DistributionID,StartOffset
22609,1586835977.6318922,25,0
22611,1586837142.7106252,25,0
22612,1586837142.711185,30,0
22613,1586837142.7229252,25,0
22614,1586837142.7234483,30,0
22615,1586837142.7247863,25,0
22616,1586837142.7252913,30,0
22617,1586837142.7257142,25,0
22618,1586837142.726056,30,-1
22619,1586839710.708468,25,0
22620,1586839710.709041,30,0
22621,1586839710.7106643,25,0
22622,1586839710.7113023,30,0
22623,1586840481.9108582,25,0
22624,1586840481.9114323,30,0
22625,1586840481.9122562,25,-1
22626,1586840481.9126573,30,-1
22627,1586840660.1575103,25,0
22628,1586840660.1580873,30,0
22629,1586840660.1620672,25,0
22630,1586840660.1625962,30,0
22631,1586840819.4630752,25,0
22632,1586840819.4641662,30,-1
22633,1586840819.464704,25,-1
22634,1586840819.465242,30,-2
22635,1586843030.535226,25,0
22636,1586843030.535407,30,0
22637,1586843030.53584,25,0
22638,1586843030.5359683,30,0
22639,1586844001.682425,25,0
22640,1586844001.68302,30,0
22641,1586844001.6848912,25,0
22642,1586844001.6855283,30,0
22643,1586844388.5392342,25,0
22644,1586844388.5398662,30,0
22645,1586844388.5503473,25,0
22646,1586844388.5510082,30,0
22647,1586846707.7141023,25,0
22648,1586846707.7146642,30,0
22649,1586846707.7162921,25,0
22650,1586846707.7168794,30,0
22651,1586847758.9574351,25,-1
22652,1586847758.9582372,30,-2
22653,1586847758.964736,25,0
22654,1586847758.9652462,30,0
22655,1586847758.9716082,25,-1
22656,1586847758.9720922,30,-2
22657,1586847758.9725401,25,-2
22658,1586847758.972897,30,-2
22659,1586847844.459727,25,0
22660,1586847844.460294,30,0
22661,1586847844.462122,25,0
22662,1586847844.462568,30,0
22663,1586850142.5948129,25,0
22664,1586850142.595933,30,-1
22665,1586850142.5977201,25,0
22666,1586850142.5991,30,-1
22667,1586850333.7701392,25,0
22668,1586850333.7707052,30,0
22669,1586850333.7711563,25,0
22670,1586850333.771512,30,-1
22671,1586851428.9538832,25,0
22672,1586851428.9546123,30,-1
22673,1586851428.965713,25,0
22674,1586851428.9662242,30,0
22675,1586851428.967577,25,0
22676,1586851428.968072,30,0
22677,1586851428.9684982,25,0
22678,1586851428.9688492,30,-1
22679,1586853950.214883,25,0
22680,1586853950.215836,30,-1
22681,1586853950.2172623,25,0
22682,1586853950.2177181,30,0
22683,1586854981.020803,25,0
22684,1586854981.021408,30,0
22685,1586854981.027316,25,0
22686,1586854981.028358,30,-1
22687,1586854981.0330062,25,0
22688,1586854981.0335062,30,0
22689,1586854981.034492,25,-1
22690,1586854981.035761,30,-2
22691,1586855506.0526552,25,0
22692,1586855506.0532432,30,0
22693,1586855506.055036,25,0
22694,1586855506.055563,30,0
22695,1586857438.410149,25,0
22696,1586857438.4107301,30,0
22697,1586857438.412846,25,0
22698,1586857438.413294,30,0
22699,1586858402.749093,25,-1
22700,1586858402.7496622,30,-1
22701,1586858402.7529721,25,0
22702,1586858402.7556162,30,-3
22703,1586858818.8317962,25,0
22704,1586858818.833108,30,-1
22705,1586858818.8497422,25,0
22706,1586858818.8505251,30,-1
22707,1586860365.0603402,25,-2
22708,1586860365.06153,30,-3
22709,1586860365.0619972,25,-1
22710,1586860365.0623512,30,-2
22711,1586860469.282867,8,-10
22712,1586860493.9098682,8,0
22713,1586860878.5122542,25,-5
22714,1586860878.5128043,30,-5
22715,1586860878.5132692,25,-2
22716,1586860878.5136142,30,-2
22717,1586861479.48035,25,0
22718,1586861479.4813502,30,-1
22719,1586861479.4818902,25,-1
22720,1586861479.4822812,30,-1
22721,1586862006.247347,25,0
22722,1586862006.2479243,30,-1
22723,1586862006.24964,25,0
22724,1586862006.2501051,30,0
22725,1586862211.362543,25,0
22726,1586862211.3631082,30,0
22727,1586862211.364831,25,0
22728,1586862211.3657012,30,-1
22729,1586862645.716936,8,-3
22730,1586862645.719571,8,0
22731,1586863533.927711,25,-22
22732,1586863533.928328,30,-22
22733,1586863533.928878,25,-21
22734,1586863533.9293191,30,-21
22735,1586864472.0887122,25,0
22736,1586864472.0895061,30,-1
22737,1586864477.4883652,25,0
22738,1586864477.4891481,30,-1
22739,1586865410.416763,1,-237
22740,1586865412.1251192,25,0
22741,1586865412.1255162,30,0
22742,1586865412.1288571,25,0
22743,1586865412.1298523,30,-1
22744,1586865414.2977362,1,0
22745,1586865432.1794863,25,0
22746,1586865432.1800401,30,0
22747,1586865432.1885653,25,0
22748,1586865432.189187,30,0
22749,1586865434.5677102,1,-53
22750,1586865440.316982,1,-77
22751,1586865457.518979,1,-35
22752,1586865462.2796159,1,0
22753,1586865588.7818213,25,0
22754,1586865588.782547,30,-1
22755,1586865588.783051,25,-1
22756,1586865588.783426,30,-1
22757,1586865974.4365182,8,-1
22758,1586865980.331669,8,0
22759,1586867862.012731,1,-64
22760,1586867864.2269402,1,0
22761,1586867867.227766,25,-2
22762,1586867867.228345,30,-3
