Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,ActiveZoneGoal,0,1
2,ActiveZoneStat,0,11
3,ActiveZoneTimelineStat,0,0
4,ActivityLogIntervalData,0,0
5,ActivityLogIntervalSummaryElement,0,0
6,AZMDailyHeartRate,0,0
7,AZMDiscoverRecommendation,0,0
8,BedtimeReminder,0,1
9,BlockedUser,0,0
10,CeoChallengeData,0,0
11,CeoChallengeDay,0,0
12,CeoChallengeParticipant,0,0
13,CeoChallengeParticipantHistoryItem,0,0
14,CeoChallengeStats,0,0
15,CeoChallengeStatsLeader,0,0
16,CeoChallengeStatsSection,0,0
17,ChallengeAdventureSeries,0,5
18,ChallengeCorporatePOIPoint,0,0
19,ChallengeTypeStatistics,0,0
20,Comment,0,0
21,Conversation,0,0
22,ConversationMessage,0,0
23,ConversationType,0,0
24,Country,0,0
25,CoverPhoto,0,1
26,CustomQuickReplies,0,1
27,DeviceExerciseOption,0,20
28,DeviceExerciseSetting,0,6
29,DeviceInformation,0,43
30,DiscoverBundle,0,5
31,DiscoverBundlePreview,0,4
32,DiscoverCategory,0,0
33,DiscoverItem,0,16
34,DiscoverItemTagMapping,0,0
35,DiscoverSpotlight,0,1
36,DiscoverTag,0,0
37,ExerciseAutoCueOption,0,51
38,ExerciseInterval,0,2
39,ExerciseIntervalSetting,0,0
40,ExerciseIntervalTimerSettings,0,1
41,ExercisePreferences,0,0
42,Family,0,0
43,FamilyInvitation,0,0
44,FamilyMember,0,0
45,FBAchievement,0,0
46,FBActivity,0,13
47,FBActivityGoals,0,1
48,FBActivityLog,0,5
49,FBActivityStat2,0,63
50,FBActivityStatIntraDay,0,14
51,FBActivityStatMonth,0,0
52,FBActivityStatWeek,0,0
53,FBBadgeNormal,0,0
54,FBBadgeTop,0,5
55,FBBodyFatGoal,0,0
56,FBCaloriesStatIntraExercise2,0,5
57,FBChallenge,0,0
58,FBChallengeAdventureData,0,0
59,FBChallengeAdventurePOI,0,0
60,FBChallengeAdventurePoint,0,0
61,FBChallengeCorporateData,0,0
62,FBChallengeCorporateParticipant,0,0
63,FBChallengeCorporateParticipantGroup,0,0
64,FBChallengeCorporateParticipantHistoryItem,0,0
65,FBChallengeFriend,0,0
66,FBChallengeIntroduction,0,2
67,FBChallengeMapInfo,0,0
68,FBChallengeMessage,0,0
69,FBChallengeMessageCheer,0,0
70,FBChallengeParticipant,0,0
71,FBChallengePendingInvite,0,0
72,FBChallengeType,0,18
73,FBChallengeTypeAdventureData,0,10
74,FBChallengeUserGroup,0,0
75,FBCorporateSettings,0,0
76,FBDeletedItem,0,0
77,FBDevice,0,1
78,FBMotionDevice,77,0
79,FBDeviceAlarm,0,0
80,FBDeviceType,0,26
81,FBExerciseGoal,0,1
82,FBExerciseGoalSummary,0,5
83,FBFood,0,0
84,FBFoodDay,0,0
85,FBFoodFrequentItem,0,0
86,FBFoodLocaleKind,0,18
87,FBFoodLog,0,0
88,FBFoodMeal,0,0
89,FBFoodMealItem,0,0
90,FBFoodPlan,0,0
91,FBFoodRecentItem,0,0
92,FBFoodServing,0,0
93,FBFoodStat,0,0
94,FBFriendInvite,0,0
95,FBFriendSentInvite,0,0
96,FBFriendship,0,0
97,FBGrokActivitySetting,0,7
98,FBGrokSettings,0,1
99,FBHeartRateStat,0,187
100,FBHeartRateStatIntraDay,0,8
101,FBHeartRateStatIntraExercise2,0,5
102,FBHeartRateStatIntraSleep,0,3
103,FBLeaderboardFriend,0,0
104,FBLocaleKind,0,46
105,FBLocation,0,0
106,FBLocationGroup,0,0
107,FBManagedDeviceModel,0,26
108,FBManagedPrimaryUser,0,1
109,FBManagedTrackerFeatures,0,1
110,FBMotionActivityStat,0,0
111,FBScaleDevice,0,0
112,FBScaleMeasurement,0,0
113,FBScaleUser,0,0
114,FBScaleUserInvite,113,0
115,FBSedentaryStat,0,70
116,FBSedentaryTimeSettings,0,1
117,FBSleepGoal,0,1
118,FBSleepInsight,0,0
119,FBSuggestedUser,0,0
120,FBTrophyNormal,0,0
121,FBTrophyRecent,0,0
122,FBUser,0,1
123,FBUserEstimationValues,0,0
124,FBUserFeatures,0,1
125,FBWaterGoal,0,0
126,FBWaterLog,0,0
127,FBWaterStat,0,0
128,FBWeeklyGoals,0,0
129,FBWeightFat,0,1
130,FBWeightFatGraph12m,0,0
131,FBWeightFatGraph1m,0,0
132,FBWeightFatGraph3m,0,0
133,FBWeightFatGraph7d,0,0
134,FBWeightFatGraphAllTime,0,0
135,FBWeightGoal2,0,0
136,FeedContextualUser,0,0
137,FeedLanguage,0,1
138,FemaleCycle,0,0
139,FemaleSymptomStat,0,0
140,FitbitNowCard,0,11
141,FITTransaction,0,46
142,Game,0,0
143,GameInvite,0,0
144,GameParticipant,0,0
145,GameSession,0,0
146,Grants,0,1
147,Group,0,5
148,GroupCategory,0,0
149,GroupLeaderboardUser,0,0
150,GuardianApproval,0,0
151,GuidedGoalSettingGoals,0,0
152,HeartRateZone,0,0
153,HeartRateZoneStat,0,0
154,HomeOnboardingStatus,0,0
155,HomeSubtile,0,30
156,HomeTile,0,54
157,InsightPreferences,0,1
158,LeaderboardInteraction,0,0
159,ManagedDeviceNotification,0,0
160,MinervaSettings,0,1
161,MinervaSurveyResponse,0,0
162,ModerationReport,0,0
163,NotificationApp,0,21
164,NotificationSetting,0,0
165,OxygenSaturationStatIntra,0,3
166,Post,0,4
167,PostCheer,0,0
168,PostFeedEntry,0,4
169,PrivacySetting,0,0
170,SleepConsistency,0,1
171,SleepLog,0,3
172,SleepScore,0,3
173,SleepStat,0,38
174,Survey,0,1
175,SurveyResponse,0,0
176,SurveyScreen,0,15
177,SurveyStyle,0,7
178,SwitchboardSpecification,0,1
179,Tooltip,0,3
180,URLPreview,0,0
181,UserDemographics,0,1
182,UserEligibility,0,1
183,UserNotification,0,1
184,VO2MaxLevel,0,6
185,VO2MaxStat,0,1
186,WeeklyActivityGoals,0,1
187,WeightTrendGraph12m,0,0
188,WeightTrendGraph1m,0,0
189,WeightTrendGraph3m,0,0
190,WeightTrendGraph7d,0,0
191,WeightTrendGraphAllTime,0,0
