name,lifetime_count,current_bundle_count,last_fire_timestamp,current_session_count,last_sampled_complex_event_id,last_bundled_timestamp,last_exempt_from_sampling,last_bundled_day,last_sampling_rate
_f,1,1,1586911187.3347301,0,,0.0,0,0,1
_s,1,1,1586911187.3347301,1,,0.0,0,0,1
I_Agree,1,1,1586911209.642242,1,,0.0,0,0,1
numPhotosViewed,3,3,1586911358.0128632,3,,0.0,0,0,1
Photos_Imported,2,2,1586911917.773522,2,,0.0,0,0,1
_vs,78,78,1586911920.75073,78,,0.0,0,0,1
_e,38,38,1586911942.416182,38,,0.0,0,0,1
_ab,3,3,1586911942.417007,3,,0.0,0,0,1
