Z_PK,Z_ENT,Z_OPT,ZFLAGS,ZMAPITEMSOURCE,ZTYPE,ZTYPESOURCE,ZDEVICE,ZMAPITEM,ZCREATIONDATE,ZEXPIRATIONDATE,ZCKRECORDID,ZCUSTOMLABEL,ZIDENTIFIER,ZMAPITEMGEOMAPITEM,ZCKRECORDSYSTEMFIELDS,ZMAPITEMGEOMAPITEMHANDLE
1,12,29,0,0,0,0,1,1,606769502.628648,613563936.9931849,0CF1A1CE-578B-46B8-95AF-4404DD7B4133,,b'\x0c\xf1\xa1\xceW\x8bF\xb8\x95\xafD\x04\xdd{A3',,,
2,12,6,0,0,0,0,1,2,606879242.390017,611717642.390017,8008DFC6-A61B-42B0-82E2-364D243224C1,,b'\x80\x08\xdf\xc6\xa6\x1bB\xb0\x82\xe26M$2$\xc1',,,
4,12,6,0,0,0,0,2,4,607077089.957011,613509273.617634,0800ECA6-8FD0-4061-8E2A-2BE9CD4759E7,,b'\x08\x00\xec\xa6\x8f\xd0@a\x8e*+\xe9\xcdGY\xe7',,,
5,12,1,0,0,0,0,2,5,607336269.578047,612174669.578047,D5018010-AC3F-4AE9-B406-ED797D421B08,,b'\xd5\x01\x80\x10\xac?J\xe9\xb4\x06\xedy}B\x1b\x08',,,
6,12,5,0,0,0,0,1,7,607527496.916671,612828572.9942944,91E8F505-7C2B-4C69-8446-274D0C1665D5,,"b""\x91\xe8\xf5\x05|+Li\x84F'M\x0c\x16e\xd5""",,,
7,12,3,0,0,0,0,1,10,608324487.374509,613162887.374509,66CB4177-30C7-4F4F-B366-5C752BC5080D,,b'f\xcbAw0\xc7OO\xb3f\\u+\xc5\x08\r',,,
8,12,3,0,0,0,0,1,11,608403280.478735,613241680.478735,5C0D17A1-4473-4422-A413-271347130F63,,"b'\\\r\x17\xa1DsD""\xa4\x13\'\x13G\x13\x0fc'",,,
9,12,3,0,0,0,0,1,13,608691304.529598,613529704.529598,03D6360B-A5F9-4CA5-9DCC-B664BE456274,,b'\x03\xd66\x0b\xa5\xf9L\xa5\x9d\xcc\xb6d\xbeEbt',,,
