Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,ABContact,0,2
2,ABContactNumber,0,2
3,ABContactSource,0,0
4,Attachment,0,2
5,Conversation,0,2
6,CDPublicAccount,5,0
7,ConversationRole,0,0
8,DeletedViberMessage,0,0
9,Like,0,0
10,Member,0,1
11,PhoneNumber,0,1
12,PhoneNumberMapping,0,0
13,Recent,0,3
14,RecentsLine,0,1
15,Statistics,0,0
16,Sticker,0,337
17,StickersPackage,0,3
18,Tag,0,0
19,TransferTask,0,0
20,ViberLocation,0,0
21,ViberMessage,0,10
22,XConversationBotContext,0,0
23,XJokerButton,0,0
24,XPublicAccountCategory,0,0
25,XPublicDeletedMessage,0,0
