Z_PK,Z_ENT,Z_OPT,ZCLEARBITVALUE,ZREPORTVERSION,ZSUBMITTED,ZCREATIONDATE,ZKEY,ZPRIVATEBITVALUESTR
93,1,1,0,21,0,608344942.127764,com.apple.health.datatypes.usage.monthly,0E01C508A4B20890029161A088
94,1,1,0,21,0,608344942.127764,com.apple.health.datatypes.usage.monthly,12028C10083482300401041214
95,1,1,0,21,0,608344942.127764,com.apple.health.datatypes.usage.monthly,0069094032A081424456022460
96,1,1,0,21,0,608344942.127764,com.apple.health.datatypes.usage.monthly,1610260121C201000040480A02
97,1,1,0,21,0,608344942.127764,com.apple.health.datatypes.usage.monthly,02C4487184710580210A068CA2
98,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,111C4C32CA800E0E0004000008
99,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,04489002A0149D3034B102E120
100,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,18531C838B42710194244488D0
101,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,050B028018059005C450B622D5
102,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,00252A0042069D42401B1931C0
103,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,502A210820924000850A340404
104,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,3104553318582041D502492811
105,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,278480828A970824D82443B20D
106,1,1,0,21,0,608394466.113828,com.apple.health.datatypes.usage.monthly,21900020592400016114119340
107,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,61F99882067200612B01840002
108,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,35005091400C502A9612047011
109,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,42041081100B095B8002290B81
110,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,E4820130C930002089100049C3
111,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,08434281A88DC0846800082288
112,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,87A008D146040800001C10114E
113,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,88008C971E0543E204A04C0020
114,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,CB169803781200942868A41928
115,1,1,0,21,0,608498808.712358,com.apple.health.datatypes.usage.monthly,3008234149440488E0010B5280
116,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,91A0365BD81885082520520161
117,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,CF7520900122914448B0402201
118,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,14004490810CB080080503DCA6
119,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,42438684D105B0100C05180E06
120,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,02110A001C804A440080A828D0
121,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,A86DC149417D420018A1005401
122,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,00D821A110143058C08CA06000
123,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,019C241802E814444181858AE0
124,1,1,0,21,0,608598981.11026,com.apple.health.datatypes.usage.monthly,48B11616080011342908102286
125,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,201058034A0450022500000820
126,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,0F409708114E9D840410840D21
127,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,1850800024088886318CC110C2
128,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,410200400A01061300144128CC
129,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,4329B0010101CBC80C02585511
130,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,3010814032E4CA142231202190
131,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,00A5C4D800A816102202083200
132,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,4CD418004E01A181AA80050129
133,1,1,0,21,0,608731128.25852,com.apple.health.datatypes.usage.monthly,0004028EE66AAB0AE5289C4D03
