Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,ActivationPayload,0,0
2,ActivationPayloadState,0,0
3,AssetPayload,0,0
4,AssetPayloadReference,0,0
5,AssetPayloadState,0,0
6,CommandPayload,0,0
7,CommandPayloadState,0,0
8,ConduitConfig,0,0
9,FileConduitConfig,8,0
10,HTTPConduitConfig,8,0
11,ConduitState,0,0
12,FileConduitState,11,0
13,HTTPConduitState,11,0
14,ConfigurationPayload,0,0
15,ConfigurationPayloadReference,0,0
16,ConfigurationPayloadState,0,0
17,ManagementSource,0,0
18,StatusSubscription,0,0
19,StatusSubscriptionItem,0,0
20,SubscribedStatusKeyPath,0,0
