areacode,samecity,samestate,nearby
602,480/520/623/928,0,0
567,0,419/937/740/234/330/216,260/517/734
507,651,320/952,605/712/641/515/563/608
603,0,0,207/802/351/978
508,617/413,774/339/781/857/351/978,401/860
760,0,442/775/928/559/661/702/909/951/619,0
539,0,918/580/405,479/620/417
509,0,0,360/564/208/458/541
605,0,0,701/307/402/531/308/406/507/712/320
731,901,931,662/270/364/573/870
636,314/573,0,618
762,0,706/770/478/229,803/864/828/423/256/938/334
606,859/502,270,276/304/681/364/740/937/931/937/283/513
732,0,848/609/908,347/718
702,775,0,442/760/928
281,0,832/713/936/979/409,0
667,0,410/443,202/717/302/757
251,334,205,850/601/769/228
763,612/952/651,320,0
607,518/315,585/845,272/570/814
703,540,571,202
252,910,919,434/757
608,262,534/715/920,779/815/507/563
734,0,517/313/248/947,419/567
860,0,203/475,413/401/845/631/518
704,828/336,980/910,843/803/864
830,956/432/361/512,210/325,0
283,0,513/937/859/765/606/812,0
253,425/206,0,360/564
765,812/574/219/317,260,217/937/283/513
609,856,732/848/908,215/267
831,408,805/209/559,650
801,435,0,385
254,512/940,325/430/903/682/817,0
224,0,847/779/815/331/630/312/872,262
862,0,973/908/201/551,845/272/570
320,0,218/507/763/952,605/534/715
832,0,281/713/936/979/409,0
706,0,762/770/478/229,803/864/828/423/256/938/334
802,0,0,518/603/413
225,985/337,318,601/769
351,0,978/413/617/857,603
321,407/863,772/352,0
707,510/925,530/415/916,458/541
863,321/407/239/813/941,772/561/352,0
803,864,843,704/980/706/762/912
256,0,938/205/334,931/706/762/770/662
352,0,386/850/321/407/863/813/727,0
864,803,0,706/762/828/704/980
708,217/312/815,779/773,219
804,0,434/757/540,202
227,0,240/301/814/304/681,0
769,0,601/662/228,318/251/225/985/205
323,626/818/310/213/562/714/805/661,0,424
865,423,931,828
805,818/661/323,831/559/310,747/424
931,615,731/423/865,256/938/270/364
228,0,601/769,504/251/985
901,731,0,662/870
480,520/928/602/623,0,0
806,432/409,940/325,575/580
385,0,801/435,0
229,478/912,0,386/850/334
325,0,432/830/254/940/806/512,0
386,407/850/904,352,229
903,936,430/254/940/214/469/972/682/817/979,318/870/580
904,386,352,912
423,865,931,828/706/762
484,0,610/272/570/717/215/267,908/856/302/410/443/667
580,405,539/918,620/806/940/575
424,0,310/747/818/213/323/562/805,0
936,903/979,430/409/281/832,0
520,480/928/602/623,0,575
906,231,0,534/715/218/920
425,253/206,509,360/564
551,0,201/862/973,212/646/917/347/718/845/914
937,740/513/419,567/614,765/283
938,0,256/205/334,931/706/762/770/662
908,201,862/973/609/732/848,484/610/215/267
909,562/626/714/949/951,661,442/760
458,0,541/503/971/509/208/775/530/707,0
650,0,415/510/408/831,0
620,913/316/785,0,580/719/539/918/417
585,716/631/845,607/315,814
681,0,304,740/606/276/540/724/227/240/301
651,507/952/763/612,0,534/715
586,313/810,248/947,0
682,0,817/254/940/214/469/972/430/903/979,0
623,928/480/520/602,0,0
