ROWID,owner_id,date,type,duration,metadata,session_uuid,error
25,24649,607266008.3816056,7,351.4427822828293,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\xe0\xa2\x15\xf7u@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x80\xb6'$\xa5T\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
26,24649,607266090.4687827,7,541.288628578186,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x80\x1cO\xea\x80@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\xa2\xbf\x86\x8f\x0fA\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
27,24649,607266359.8243879,7,271.9330233335495,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\xe0\xa9\xed\xfep@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\xc4\x0bN\xa5\x8d\xfd\x89@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
28,30219,607373927.617404,7,304.1782531738281,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x00 \xda\x02s@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x1f\x90\x04\x18KE\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
29,30219,607373927.617404,7,491.420782327652,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00@\x86\xbb\xb6~@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\xb0N\xfb\xa4R&\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
30,30219,607373927.8108609,6,0.0,,,
31,30219,607374231.7956572,7,310.3567638397217,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x00N\xb5es@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x81 \xed!\xbaj\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
32,30219,607374419.0381863,7,525.800510764122,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x000rgn\x80@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\xc0\xfb\xbb&UG\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
33,30219,607374542.152421,7,320.60902512073517,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00 \x91\xbe\tt@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\xc0\x82\x9a\xaaOk\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
34,30219,607374862.7614461,7,351.39187800884247,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\xe0!E\xf6u@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x80\xa1%\x93\xb1P\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
35,30219,607374944.8386971,7,543.7618151903152,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x902\x18\xfe\x80@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t@7\xa3o~6\x99@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
36,30219,607375488.6005123,7,7.694104790687561,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\x00h\xc3\xc6\x1e@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x000\x83{\xa4\xcf7@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x02""",,
37,36805,607541801.455536,7,298.56857573986053,"b""\n=\n-_HKPrivateMetadataSplitActiveDurationQuantity2\x0c\t\x00\x00\xe0\xe2\x18\xa9r@\x12\x01s\n7\n'_HKPrivateMetadataSplitDistanceQuantity2\x0c\t\x80}\x0c\xfb\xf2Q\x8f@\x12\x01m\n(\n$_HKPrivateWorkoutSegmentEventSubtype \x01\n*\n&_HKPrivateMetadataSplitMeasuringSystem \x01""",,
