ID,timestamp,ClientAdvDuration_0,ClientAdvDuration_1,ClientAdvDuration_2,ClientAdvDuration_3,ClientAdvDuration_4,ClientAdvDuration_5,ClientAdvDuration_6,ClientAdvDuration_7,ClientAdvDuration_8,ClientAdvDuration_9,ClientAdvDuration_10,ClientAdvDuration_11,ClientAdvDuration_12,ClientAdvDuration_13,ClientAdvDuration_14,ClientAdvDuration_15,ClientAdvDuration_16,ClientAdvDuration_17,ClientAdvDuration_18,ClientScanConfig_0,ClientScanConfig_1,ClientScanConfig_2,ClientScanConfig_3,ClientScanConfig_4,ClientScanConfig_5,ClientScanConfig_6,ClientScanConfig_7,ClientScanConfig_8,ClientScanConfig_9,ClientScanConfig_10,ClientScanConfig_11,ClientScanConfig_12,ClientScanConfig_13,ClientScanConfig_14,ClientScanConfig_15,ClientScanConfig_16,ClientScanConfig_17,ClientScanConfig_18,ClientScanDuration_0,ClientScanDuration_1,ClientScanDuration_2,ClientScanDuration_3,ClientScanDuration_4,ClientScanDuration_5,ClientScanDuration_6,ClientScanDuration_7,ClientScanDuration_8,ClientScanDuration_9,ClientScanDuration_10,ClientScanDuration_11,ClientScanDuration_12,ClientScanDuration_13,ClientScanDuration_14,ClientScanDuration_15,ClientScanDuration_16,ClientScanDuration_17,ClientScanDuration_18
356,1586865415.1103902,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,59848,0,0,0,0,0,0,0,0,0,4,5,0,0,0,47,0,0,895,0,0,0,0,0,0,0,0,1143,0,1136,0,4,0,0,1052,0,0,58952,1143,0,1153
357,1586867867.352672,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,62299,0,0,0,0,0,0,0,0,0,4,5,0,0,0,58,0,0,906,0,0,0,0,0,0,0,0,1154,0,1147,0,4,0,0,1053,0,0,61393,1154,0,1153
358,1586872091.1550393,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,66523,0,0,0,0,0,0,0,0,0,4,5,0,0,0,71,0,0,918,0,0,0,0,0,0,0,0,1203,0,1196,0,52,0,0,1078,0,0,65605,1203,0,1153
359,1586876419.4170723,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,70851,0,0,0,0,0,0,0,0,0,4,5,0,0,0,101,0,0,1144,0,0,0,0,0,0,0,0,1606,0,1599,0,456,0,0,1451,0,0,69707,1606,0,1505
360,1586877942.920401,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,72374,0,0,0,0,0,0,0,0,0,4,5,0,0,0,106,0,0,1156,0,0,0,0,0,0,0,0,1619,0,1612,0,468,0,0,1458,0,0,71219,1619,0,1505
361,1586879796.330873,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,74227,0,0,0,0,0,0,0,0,0,4,5,0,0,0,112,0,0,1156,0,0,0,0,0,0,0,0,1657,0,1650,0,507,0,0,1491,0,0,73072,1658,0,1505
362,1586884503.391511,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,78935,0,0,0,0,0,0,0,0,0,4,5,0,0,0,119,0,0,1204,0,0,0,0,0,0,0,0,1734,0,1727,0,583,0,0,1560,0,0,77731,1734,0,1550
363,1586887728.0511332,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,82159,0,0,0,0,0,0,0,0,0,4,5,0,0,0,119,0,0,1211,0,0,0,0,0,0,0,0,1744,0,1737,0,594,0,0,1560,0,0,80949,1744,0,1550
364,1586891523.2959232,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,85954,0,0,0,0,0,0,0,0,0,4,5,0,0,0,123,0,0,1216,0,0,0,0,0,0,0,0,1749,0,1742,0,599,0,0,1561,0,0,84739,1750,0,1550
365,1586896292.6825202,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,90723,0,0,0,0,0,0,0,0,0,4,5,0,0,0,123,0,0,1216,0,0,0,0,0,0,0,0,1759,0,1752,0,609,0,0,1561,0,0,89508,1760,0,1550
