Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,Z13_HASPROCESS,ZALLFLOWS,ZBILLCYCLEEND,ZJUMBOFLOWS,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWIREDIN,ZWIREDOUT,ZWWANIN,ZWWANOUT,ZXIN,ZXOUT
18,9,762,0,0,0,18,13,2401.0,,0.0,606519856.001384,19559435.0,6560437.0,0.0,0.0,2712591.0,1118142.0,0.0,0.0
19,9,110,1,0,0,19,14,1611.0,,10.0,606519856.153046,982998865.0,25393795.0,0.0,0.0,1338866743.0,34485370.0,0.0,0.0
20,9,10,0,0,0,20,13,9.0,,0.0,606519856.155993,52649.0,26576.0,0.0,0.0,94900.0,31548.0,0.0,0.0
21,9,178,0,0,0,21,13,328.0,,0.0,606519857.698406,1487966.0,347834.0,0.0,0.0,157970.0,48182.0,0.0,0.0
22,9,405,0,0,0,22,13,1955.0,,7.0,606519858.449368,2614732736.0,38862651.0,0.0,0.0,1072930.0,136014.0,0.0,0.0
23,9,1,0,0,0,23,13,1.0,,0.0,606519858.453988,0.0,0.0,0.0,0.0,21543.0,2907.0,0.0,0.0
24,9,9,0,0,0,24,13,46.0,,0.0,606519876.661298,251367.0,70723.0,0.0,0.0,7453.0,2599.0,0.0,0.0
25,9,636,0,0,0,25,13,6069.0,,0.0,606519876.916397,5756275.0,2120285.0,0.0,0.0,981653.0,376916.0,0.0,0.0
26,9,667,0,0,0,26,13,1346.0,,0.0,606519981.819672,40880819.0,527321820.0,0.0,0.0,1794712.0,1254584.0,0.0,0.0
27,9,60,0,0,0,27,13,179.0,,0.0,606520063.896162,525162.0,258974.0,0.0,0.0,421269.0,206379.0,0.0,0.0
28,9,19,0,0,0,28,13,32.0,,0.0,606520063.900675,82886.0,30942.0,0.0,0.0,128893.0,60467.0,0.0,0.0
29,9,34,0,0,0,29,13,77.0,,0.0,606520064.244345,858183.0,121747.0,0.0,0.0,374514.0,232403.0,0.0,0.0
30,9,4,0,0,0,30,13,12.0,,0.0,606520064.266823,0.0,0.0,0.0,0.0,47000.0,17697.0,0.0,0.0
31,9,96,0,0,0,31,13,254.0,,0.0,606520079.904521,9100853.0,504497.0,0.0,0.0,13755.0,5166.0,0.0,0.0
32,9,33,0,0,0,32,13,107.0,,0.0,606520079.908249,2584021.0,229386.0,0.0,0.0,141140.0,14831.0,0.0,0.0
33,9,41,0,0,0,33,13,59.0,,0.0,606520079.915904,273886.0,166513.0,0.0,0.0,155736.0,106714.0,0.0,0.0
34,9,32,0,0,0,34,13,59.0,,0.0,606520081.322524,302206.0,133586.0,0.0,0.0,58580.0,31838.0,0.0,0.0
