ROWID,message_id,remote_id,document_id,sender,subject_prefix,subject,summary,date_sent,date_received,mailbox,remote_mailbox,flags,read,flagged,deleted,size,conversation_id,date_last_viewed,original_mailbox,visible,sender_vip,encoding,content_type,sequence_identifier,external_id,unique_id,content_index_transaction_id,list_id_hash,journaled,flag_color,searchable_message
27,-7785057591456295489,281,,16,,24,7.0,1582181336,1582181337,1,1,549756075009,1,0,0,11966,-7785057591456295489,,1,1,0,,1,53303,F7C48A83-C92F-4005-BF6E-0F38F4AD9607,1659037378213554377,,0,0,,27
28,-5547796597583174400,282,,16,,24,25.0,1582268305,1582268306,1,1,549756075009,1,0,0,11942,-5547796597583174400,,1,1,0,,1,53303,BACB7929-AF6C-4C57-B5D6-292AE84CB10B,1659128571248925102,,0,0,,28
29,-5385386176217690573,283,,8,,25,44.0,1582322400,1582323770,1,1,549756075009,1,0,0,32030,-5385386176217690573,,1,1,0,,6,53303,5BA6449A-8B87-4840-87F2-B7D0CBD6BE36,1659186729597060564,,0,0,,29
30,1666040244247899261,284,,16,,24,23.0,1582354674,1582354678,1,1,549756075009,1,0,0,11952,1666040244247899261,,1,1,0,,1,53303,FA6E2EDE-24DE-41FC-8F8E-D8AD42431969,1659219139270984665,,0,0,,30
31,-427157138122080057,285,,17,,26,46.0,1582369553,1582369553,1,1,549756075009,1,0,0,29896,-427157138122080057,,1,1,0,,6,53303,56E0000E-0201-4BD8-9FB9-1F07913EEAEE,1659234737269079332,,0,0,,31
32,4496447957997685265,286,,1,,27,15.0,1582397489,1582397490,1,1,549756075009,1,0,0,11605,4496447957997685265,,1,1,0,,6,53303,21631FD3-83F5-4852-B06A-0B93FD432676,1659264031413951584,,0,0,,32
33,6428268331510782901,287,,18,,28,39.0,1582397525,1582397526,1,1,549756075009,1,0,0,9128,6428268331510782901,,1,1,0,,6,53303,D1B22474-4034-4CC3-8C4D-D6CA9D8CB0A5,1659264068258726707,,0,0,,33
34,528179220946406211,288,,19,,29,14.0,1582856415,1582856416,1,1,549756075009,1,0,0,76447,528179220946406211,,1,1,0,,6,53303,FA816A88-3006-4CE1-9551-B33311E6C4AC,1659745249351930682,,-8708684574245157161,0,,34
35,5388601350215458880,289,,1,,1,31.0,1582893771,1582893772,1,1,549756075009,1,0,0,11182,5388601350215458880,,1,1,0,,6,53303,E2A64479-474B-410E-A8A1-1820BFFBE363,1659784420289128941,,0,0,,35
36,-5444960464363896349,290,,20,,30,11.0,1583343773,1583343774,1,1,549756075009,1,0,0,23831,-5444960464363896349,,1,1,0,,6,53303,983C54DA-E1D8-4355-B08F-5C3B179EB354,1660256280969016740,,0,0,,36
37,-6119702193866042403,291,,21,,31,30.0,1583882713,1583882713,1,1,549756075009,1,0,0,82163,-6119702193866042403,,1,1,0,,6,53303,AAD151AB-5B94-4270-8E2C-1170ACFD9A80,1660821400697999812,,-8708684574245157161,0,,37
38,2825417098659491495,292,,12,,32,5.0,1584055063,1584055064,1,1,549756075009,1,0,0,11368,2825417098659491495,,1,1,0,,1,53303,FEADCEA4-CB62-447D-BF84-DFE6A4B607A5,1661002122889312243,,0,0,,38
39,-2008545642577098051,293,,21,,33,28.0,1584141066,1584141067,1,1,549756075009,1,0,0,34580,-2008545642577098051,,1,1,0,,6,53303,5898363C-57B6-4CC2-BA9E-20A0C6834970,1661092303644805488,,-8708684574245157161,0,,39
40,-6761738157535089717,294,,15,,22,2.0,1584464496,1584464497,1,1,549756011521,1,0,0,86989,-6761738157535089717,,1,1,0,,6,53303,D45488F1-40D2-4207-B68F-556A6569567B,1661431444785183652,,0,0,,40
41,7165909412371320100,295,,22,,34,21.0,1584806741,1584806742,1,1,549756075009,1,0,0,18162,7165909412371320100,,1,1,0,,6,53303,EF25D11E-AFE5-4BD2-BFDB-7C128A6E1110,1661790315235445716,,0,0,,41
