ROWID,message_id,remote_id,document_id,sender,subject_prefix,subject,summary,date_sent,date_received,mailbox,remote_mailbox,flags,read,flagged,deleted,size,conversation_id,date_last_viewed,original_mailbox,visible,sender_vip,encoding,content_type,sequence_identifier,external_id,unique_id,content_index_transaction_id,list_id_hash,journaled,flag_color,searchable_message
42,-2274667692839742103,296,,23,,35,38.0,1584827261,1584827261,1,1,549756075009,1,0,0,118608,-2274667692839742103,,1,1,0,,6,53303,D331C02F-17A2-46B4-8E0E-44034AD3D061,1661811830494133183,,0,0,,42
43,7992755215600840278,297,,24,,36,19.0,1584827276,1584827276,1,1,549756075009,1,0,0,19426,7992755215600840278,,1,1,0,,6,53303,9CC5AA6C-EAD3-4DD0-B6A4-4606676B68DB,1661811846196563337,,0,0,,43
44,-448395472253785828,298,,24,,37,36.0,1584827389,1584827389,1,1,549756075009,1,0,0,19620,-448395472253785828,,1,1,0,,6,53303,24A412C9-34EB-4650-85A6-390BB5781FAE,1661811965094221602,,0,0,,44
45,8782058183630853132,299,,25,,38,12.0,1584827981,1584827982,1,1,549756075009,1,0,0,19776,8782058183630853132,,1,1,0,,6,53303,44387004-3097-4AA0-A8E1-1BC23776C030,1661812586374737356,,0,0,,45
46,-269712480428455707,300,,24,,39,33.0,1584838274,1584838275,1,1,549756075009,1,0,0,19439,-269712480428455707,,1,1,0,,6,53303,47DE3CB3-EC2C-476B-AAD9-C15C66967C7A,1661823379277793658,,0,0,,46
47,5137595835139976242,301,,1,,1,9.0,1584839484,1584839485,1,1,549756075009,1,0,0,11176,5137595835139976242,,1,1,0,,6,53303,8311D2A2-D24B-46A5-87E4-2D00B0F83EDD,1661824648179609419,,0,0,,47
48,-137932586374771158,302,,1,,1,27.0,1584839484,1584839485,1,1,549756075009,1,0,0,11036,-137932586374771158,,1,1,0,,6,53303,9A0240E8-6EA6-4A52-AC09-C93EC2C67EAD,1661824648466891842,,0,0,,48
49,7987327653962252277,303,,1,,40,47.0,1584839551,1584839551,1,1,549756075009,1,0,0,37805,7987327653962252277,,1,1,0,,6,53303,00D51202-B4AE-4265-AADF-76800C213638,1661824718036593058,,0,0,,49
50,-918148931411098107,20,,5,,41,49.0,1581648333,1581648333,5,5,197633,1,0,0,5293644,-918148931411098107,,5,1,0,,6,46330,84D3F6B8-0CE1-416A-B338-E4E64C67B1F6,1658478483474225335,,0,0,,50
51,1745611263246794371,21,,5,,42,51.0,1581648704,1581648704,5,5,198657,1,0,0,9198173,1745611263246794371,,5,1,0,,6,46330,37999921-3A63-4165-907C-198EB978E2CE,1658478872392583843,,0,0,,51
52,-3379217471912024171,22,,5,,43,50.0,1582298839,1582298839,5,5,200705,1,0,0,595588,-3379217471912024171,,5,1,0,,6,46330,15D631EF-CEDF-433D-B86B-E2F29C816CC2,1659160586375536554,,0,0,,52
53,8225245318363247275,23,,5,,43,52.0,1582299216,1582299216,5,5,197633,1,0,0,155358,8225245318363247275,,5,1,0,,6,46330,E50989A2-9069-451A-8B0B-72D06FD0947C,1659160982225612424,,0,0,,53
54,-5884663905115015518,24,,5,,43,48.0,1582299321,1582299321,5,5,200705,1,0,0,618830,-5884663905115015518,,5,1,0,,6,46330,84D5226F-342C-406E-ACB0-B88023456EF2,1659161091921059778,,0,0,,54
55,7905211801942990563,304,,22,,44,53.0,1584839905,1584839905,1,1,549756075009,1,0,0,19179,7905211801942990563,,1,1,0,,6,53303,8BF70D50-AD9A-4CAD-B714-27DDFD50EC15,1661825088828597299,,0,0,,55
