mid,cid,rmd,type,ts
11646745483611,-2007296355,0,0,1584904889910
11646747871230,-2007296355,0,0,1584904950207
11646748570187,-2007296355,0,0,1584904967776
11646751179243,-2007296355,0,0,1584905033866
11647631237348,1814384150,0,0,1584923644191
11647635724016,1814384150,0,0,1584923714640
11647640821467,1814384150,0,0,1584923794521
11647645373373,1814384150,0,0,1584923865757
