elementId,intValue,realValue,stringValue,dataType
2,,1585269480.0,,2
15,,1584882324.5410407,,2
34,,1585172928.105,,2
44,,1585101152.0,,2
49,,1584902531.0,,2
60,,1586627769.2816672,,2
93,,1586696305.1502705,,2
103,,1585248915.1401958,,2
107,,1585056476.3898158,,2
113,,1586652300.1966686,,2
121,,1584926218.1520834,,2
125,,1586114000.6530995,,2
134,,1585056476.3898158,,2
135,,1584882324.5410407,,2
136,,1585172928.105,,2
137,,1586696305.1502705,,2
138,,1586114000.6530995,,2
139,,1586627769.2816672,,2
140,,1585248915.1401958,,2
141,,1585056476.3898158,,2
143,,1586114000.6530995,,2
145,,1587051640.0,,2
148,,1587051640.0,,2
