ID,timestamp,IpDst,IpDstPort,IpProto,IpSrc,IpSrcPort,IpVer,IsCmas,PID,ProcessName,QmiClientId,QmiLen,QmiMsgId,QmiSvcType,WakeChannel,WakeData,WakeDataParsed,WakeSubType,WakeType
3042,1586858561.416665,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3043,1586858986.410883,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3044,1586859063.1830752,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3045,1586859580.3230543,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3046,1586862640.86989,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3047,1586862716.1959763,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3048,1586864005.269229,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3049,1586915682.720519,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3050,1586915850.420998,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3051,1586917726.8874283,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3052,1586919003.095652,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3053,1586919762.211226,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3054,1586919963.1592822,,,-1.0,,,6.0,0,,,,,,,4,,,12,2
3055,1586920626.15314,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3056,1586920782.4986372,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3057,1586921807.6261272,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3058,1586922014.4822693,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3059,1586922365.7071533,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3060,1586922821.393516,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3061,1586923841.6537962,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3062,1586924426.0056412,,,1.0,,,4.0,0,27.0,assistantd,,,,,4,,,12,2
3063,1586924861.8283541,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3064,1586925882.0070772,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3065,1586925935.7026281,,,-1.0,,,-1.0,0,,ipsec,,,,,4,,,12,2
3066,1586925943.042227,,,-1.0,,,-1.0,0,,ipsec,,,,,4,,,12,2
3067,1586926902.1492422,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3068,1586927922.3090773,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3069,1586928006.610652,,,,,,,0,,,3.0,20.0,53252.0,226.0,3,,,0,0
3070,1586928942.564217,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3071,1586929675.988679,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3072,1586929962.7567282,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3073,1586930981.656156,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3074,1586932001.8359032,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3075,1586933002.787016,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3076,1586933022.023664,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
3077,1586933527.572514,,,1.0,,,4.0,0,124.0,apsd,,,,,4,,,12,2
