id,timestamp,name,value
5475,1586805517.513195,OctagonActivityAccountAvailable,6123002880.0
5476,1586805536.234355,OctagonActivityAccountAvailable,150091424.0
5477,1586805542.1663,OctagonActivityAccountAvailable,329521056.0
5739,1586908785.645132,OctagonActivityAccountAvailable,24795876.0
6001,1586972723.2884278,OctagonActivityAccountAvailable,15564917.0
6263,1587045488.89975,ERSPending,7.0
6264,1587045488.903624,lastInCircle,0.0
6265,1587045488.903812,lastUnlock,0.0
6266,1587045488.903938,inCircle,1.0
6267,1587045488.905251,Health-TLKs,1.0
6268,1587045488.905396,Health-inSyncC,1.0
6269,1587045488.905524,Health-daysSinceClassCSync,1.0
6270,1587045488.9056458,Health-inSyncA,1.0
6271,1587045488.9057689,Health-inSync,1.0
6272,1587045488.905891,Health-IQNOE,1.0
6273,1587045488.9060159,Health-daysSinceLastKeystateReady,0.0
6274,1587045488.906136,Health-daysSinceClassASync,1.0
6275,1587045488.90626,Health-OQNOE,1.0
6276,1587045488.906896,Engram-daysSinceLastKeystateReady,0.0
6277,1587045488.907051,Engram-daysSinceClassCSync,1.0
6278,1587045488.90717,Engram-inSyncC,1.0
6279,1587045488.90729,Engram-inSyncA,1.0
6280,1587045488.907419,Engram-OQNOE,1.0
6281,1587045488.907536,Engram-daysSinceClassASync,1.0
6282,1587045488.907651,Engram-TLKs,1.0
6283,1587045488.907763,Engram-inSync,1.0
6284,1587045488.907878,Engram-IQNOE,1.0
6285,1587045488.91016,Manatee-OQNOE,1.0
6286,1587045488.910326,Manatee-inSync,1.0
6287,1587045488.9104528,Manatee-inSyncA,1.0
6288,1587045488.9106,Manatee-daysSinceClassASync,0.0
6289,1587045488.910717,Manatee-daysSinceLastKeystateReady,0.0
6290,1587045488.910833,Manatee-daysSinceClassCSync,0.0
6291,1587045488.910944,Manatee-IQNOE,1.0
6292,1587045488.911058,Manatee-inSyncC,1.0
6293,1587045488.911174,Manatee-TLKs,1.0
6294,1587045488.911288,Home-inSyncA,1.0
6295,1587045488.911402,Home-TLKs,1.0
6296,1587045488.911518,Home-daysSinceLastKeystateReady,0.0
6297,1587045488.911689,Home-inSyncC,1.0
6298,1587045488.911806,Home-inSync,1.0
6299,1587045488.911923,Home-IQNOE,1.0
6300,1587045488.912039,Home-daysSinceClassASync,0.0
6301,1587045488.912154,Home-daysSinceClassCSync,0.0
6302,1587045488.912274,Home-OQNOE,1.0
6303,1587045488.91294,AutoUnlock-daysSinceClassASync,1.0
6304,1587045488.913063,AutoUnlock-OQNOE,1.0
6305,1587045488.913206,AutoUnlock-TLKs,1.0
6306,1587045488.9133239,AutoUnlock-daysSinceLastKeystateReady,0.0
6307,1587045488.9134622,AutoUnlock-inSync,1.0
6308,1587045488.91359,AutoUnlock-inSyncC,1.0
6309,1587045488.913694,AutoUnlock-daysSinceClassCSync,1.0
6310,1587045488.913797,AutoUnlock-inSyncA,1.0
6311,1587045488.913897,AutoUnlock-IQNOE,1.0
6312,1587045488.913999,ApplePay-inSyncA,1.0
6313,1587045488.914102,ApplePay-inSync,1.0
6314,1587045488.914209,ApplePay-OQNOE,1.0
6315,1587045488.914308,ApplePay-TLKs,1.0
6316,1587045488.91441,ApplePay-inSyncC,1.0
6317,1587045488.9145122,ApplePay-IQNOE,1.0
6318,1587045488.9146152,ApplePay-daysSinceClassASync,1.0
6319,1587045488.914716,ApplePay-daysSinceClassCSync,1.0
6320,1587045488.914819,ApplePay-daysSinceLastKeystateReady,0.0
6321,1587045488.9154248,LimitedPeersAllowed-daysSinceLastKeystateReady,0.0
6322,1587045488.915532,LimitedPeersAllowed-inSyncA,1.0
6323,1587045488.915633,LimitedPeersAllowed-daysSinceClassCSync,0.0
6324,1587045488.91574,LimitedPeersAllowed-inSync,1.0
6325,1587045488.915845,LimitedPeersAllowed-TLKs,1.0
6326,1587045488.915947,LimitedPeersAllowed-inSyncC,1.0
6327,1587045488.916049,LimitedPeersAllowed-IQNOE,1.0
6328,1587045488.916152,LimitedPeersAllowed-daysSinceClassASync,0.0
6329,1587045488.916256,LimitedPeersAllowed-OQNOE,1.0
6330,1587045488.987155,OADCKVSEnabled,1.0
6331,1587045488.98731,OALastCFU,-1.0
6332,1587045488.987437,OADCKCSProvisioned,1.0
6333,1587045488.987555,OASOSStatus,0.0
6334,1587045488.98767,OAPeersWithMID,1.0
6335,1587045488.987977,OAAttemptedJoin,2.0
6336,1587045488.988096,OAMIDPresent,1.0
6337,1587045488.9882112,OASMState,0.0
6338,1587045488.988338,OADCCKEnabled,0.0
6339,1587045488.988451,OAPrerecordPending,0.0
6340,1587045488.98856,OAiC,2.0
6341,1587045488.9886708,OALastPPJ,-1.0
6342,1587045488.988797,OADCCKProvisioned,1.0
6343,1587045488.9889069,OALastKSR,0.0
6344,1587045488.9890141,OAMIDOnList,1.0
6345,1587045488.9891238,OAHealthCheck,0.0
6346,1587045488.9892359,OACDPStatus,2.0
6347,1587045488.989347,OADCKVSProvisioned,1.0
6348,1587045488.9894528,OATrust,2.0
6349,1587045488.989565,OADCKCSEnabled,1.0
6350,1587052415.735657,OctagonActivityAccountAvailable,138414544.0
6351,1587052433.5451078,OctagonActivityAccountAvailable,82665256.0
