Z_PK,Z_ENT,Z_OPT,ZCACHEDCOUNT,ZCACHEDPHOTOSCOUNT,ZCACHEDVIDEOSCOUNT,ZCLOUDDELETESTATE,ZCLOUDLOCALSTATE,ZCUSTOMSORTASCENDING,ZCUSTOMSORTKEY,ZISPINNED,ZKIND,ZPENDINGITEMSCOUNT,ZPENDINGITEMSTYPE,ZSYNCEVENTORDERKEY,ZTRASHEDSTATE,ZCUSTOMKEYASSET,Z34_CUSTOMKEYASSET,ZKEYASSET,Z34_KEYASSET,ZPARENTFOLDER,ZSECONDARYKEYASSET,Z34_SECONDARYKEYASSET,ZTERTIARYKEYASSET,Z34_TERTIARYKEYASSET,ZCLOUDALBUMSUBTYPE,ZCLOUDMULTIPLECONTRIBUTORSENABLED,ZCLOUDMULTIPLECONTRIBUTORSENABLEDLOCAL,ZCLOUDNOTIFICATIONSENABLED,ZCLOUDOWNEREMAILKEY,ZCLOUDOWNERISWHITELISTED,ZCLOUDPUBLICURLENABLED,ZCLOUDPUBLICURLENABLEDLOCAL,ZCLOUDRELATIONSHIPSTATE,ZCLOUDRELATIONSHIPSTATELOCAL,ZHASUNSEENCONTENT,ZISOWNED,ZUNSEENASSETSCOUNT,ZKEYASSETFACEIDENTIFIER,ZKEYASSETFACETHUMBNAILINDEX,Z_FOK_PARENTFOLDER,ZCREATIONDATE,ZENDDATE,ZSTARTDATE,ZTRASHEDDATE,ZCLOUDCREATIONDATE,ZCLOUDLASTCONTRIBUTIONDATE,ZCLOUDLASTINTERESTINGCHANGEDATE,ZCLOUDSUBSCRIPTIONDATE,ZCLOUDGUID,ZIMPORTSESSIONID,ZTITLE,ZUUID,ZCLOUDOWNERFIRSTNAME,ZCLOUDOWNERFULLNAME,ZCLOUDOWNERHASHEDPERSONID,ZCLOUDOWNERLASTNAME,ZCLOUDPERSONID,ZPUBLICURL,ZPROJECTDOCUMENTTYPE,ZPROJECTEXTENSIONIDENTIFIER,ZPROJECTRENDERUUID,ZCUSTOMQUERYTYPE,ZCLOUDMETADATA,ZUSERQUERYDATA,ZPROJECTDATA,ZCUSTOMQUERYPARAMETERS
11,31,1,0,0,0,0,0,1,0,0,1608,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,606519592.983446,,,,,,,,,,,5D79C096-12E9-467D-B136-D959DFA98F0D,,,,,,,,,,,,,,
12,31,2,0,0,0,0,0,1,0,0,1611,0,1,0,0,,,,,19.0,,,,,,,,,,,,,,,,,,,,270.0,606519592.986968,,,,,,,,,,,B2D990CF-992F-4AE0-8E0A-90FBC9CD908A,,,,,,,,,,,,,,
13,32,2,0,0,0,0,0,1,0,0,4006,0,1,0,0,,,,,19.0,,,,,,,,,,,,,,,,,,,,33.0,606519592.986055,,,,,,,,,,,EC9DEB56-22E5-4113-A306-1684E0783533,,,,,,,,,,,,,,
14,31,2,0,0,0,0,0,1,0,0,1613,0,1,0,0,,,,,19.0,,,,,,,,,,,,,,,,,,,,12.0,606519592.98537,,,,,,,,,,,ED969300-243A-494E-AC5E-03B4668CD43A,,,,,,,,,,,,,,
15,31,1,0,0,0,0,0,1,0,0,1600,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,606519592.981042,,,,,,,,,,,BEB6935F-D0EE-4AF7-9441-77A939632F91,,,,,,,,,,,,,,
16,31,2,0,0,0,0,0,1,0,0,1610,0,1,0,0,,,,,19.0,,,,,,,,,,,,,,,,,,,,91.0,606519592.984407,,,,,,,,,,,34A11A18-038E-43A3-8F96-E9A86A171BD1,,,,,,,,,,,,,,
17,31,2,0,0,0,0,0,1,0,0,1606,0,1,0,0,,,,,19.0,,,,,,,,,,,,,,,,,,,,60.0,606519592.983666,,,,,,,,,,,D36943C1-006A-4746-9E1B-386665EC955A,,,,,,,,,,,,,,
18,31,2,0,0,0,0,0,1,0,0,1619,0,1,0,0,,,,,19.0,,,,,,,,,,,,,,,,,,,,50.0,606519592.99296,,,,,,,,,,,7AC6F196-B902-4D35-A1B5-BFFC04D56363,,,,,,,,,,,,,,
19,32,8,0,0,0,0,1,1,0,0,3999,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,606519592.978099,,,,,,,,----Root-Folder----,,,577EA420-8677-4C67-B8D2-394DC11B4884,,,,,,,,,,,,,,
20,31,1,0,0,0,0,0,1,0,0,1602,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,606519592.99123,,,,,,,,,,,276A8061-1523-4162-97BE-991ACE726255,,,,,,,,,,,,,,
