Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
184,16002,,,1,,2,607647661.81871,,,,,
185,16002,,,1,,2,607709138.856646,,,,,
186,16002,,,1,7.0,2,607709138.86339,,,,,
187,16002,,,1,,2,607709141.052907,,,,,
188,16002,,,1,7.0,2,607709210.143266,,,,,
189,16002,,,1,7.0,2,607725717.605636,,,,,
190,16002,,,1,,2,607725718.976377,,,,,
191,16002,,,1,,2,607725720.4961,,,,,
192,16002,,,1,,2,607730911.92189,,,,,
193,16002,,,1,,2,607730961.172899,,,,,
194,16002,,,1,7.0,2,607739724.73847,,,,,
195,16002,,,8,,9,607739934.944426,,,,,
196,16002,,,1,,2,607739935.234758,,,,,
197,16002,,,1,,2,607739935.627606,,,,,
198,16002,,,1,,2,607741110.060203,,,,,
199,16002,,,1,,2,607742011.083049,,,,,
200,16002,,,1,,2,607742911.695139,,,,,
201,16002,,,1,,2,607744757.022777,,,,,
202,16002,,,1,,2,607748593.404078,,,,,
203,16002,,,1,,2,607751910.211963,,,,,
204,16002,,,1,,2,607755977.431496,,,,,
205,16002,,,1,,2,607759388.529589,,,,,
206,16002,,,1,,2,607762988.928359,,,,,
207,16002,,,1,,2,607766402.941583,,,,,
208,16002,,,1,,2,607766992.683774,,,,,
209,16002,,,1,,2,607769610.370929,,,,,
210,16002,,,1,,2,607769909.964653,,,,,
211,16002,,,1,,2,607773788.905335,,,,,
212,16002,,,8,,9,607779199.653861,,,,,
213,16002,,,1,,2,607779199.66882,,,,,
214,16002,,,1,,2,607779199.772714,,,,,
215,16002,,,8,,9,607803039.987073,,,,,
216,16002,,,1,,2,607803040.838648,,,,,
217,16002,,,1,,2,607803041.700234,,,,,
218,16002,,,1,7.0,2,607828069.14311,,,,,
219,16002,,,1,7.0,2,607828290.4644,,,,,
220,16002,,,1,,2,607877799.670237,,,,,
221,16002,,,1,,2,607878700.63043,,,,,
222,16002,,,1,,2,607879602.553136,,,,,
223,16002,,,1,,2,607881409.629251,,,,,
224,16002,,,1,,2,607885016.033964,,,,,
225,16002,,,1,,2,607888614.065225,,,,,
226,16002,,,1,,2,607892214.328872,,,,,
227,16002,,,1,,2,607896127.174576,,,,,
228,16002,,,1,,2,607899551.733593,,,,,
229,16002,,,8,,9,607912122.995567,,,,,
230,16002,,,1,,2,607912123.762215,,,,,
231,16002,,,1,,2,607912124.867764,,,,,
232,16002,,,1,,2,607999376.546816,,,,,
233,16002,,,1,,2,607999437.015708,,,,,
234,16002,,,1,,2,607999437.183432,,,,,
235,16002,,,1,,2,608000278.116061,,,,,
236,16002,,,1,,2,608001177.915204,,,,,
237,16002,,,1,,2,608002983.839008,,,,,
238,16002,,,1,,2,608006580.871935,,,,,
