Z_PK,Z_ENT,Z_OPT,ZHIDEINDISCOVER,ZINDEXFORSEARCH,ZISFAVORITE,ZSEARCHSECTIONHINTRAWVALUE,ZSEARCHSECTIONRAWVALUE,ZSECTIONSORTORDER,ZSORTHINT,ZSORTORDER,ZFEEDSECTION,Z_FOK_FEEDSECTION,ZBOUNDINGENDDATE,ZBOUNDINGSTARTDATE,ZDATESUBMITTED,ZRELEVANTENDDATE,ZRELEVANTRAMPDOWNTIME,ZRELEVANTRAMPUPTIME,ZRELEVANTSTARTDATE,ZSUGGESTIONRELEVANCESCORE,ZCONTENTKINDRAWVALUE,ZLOCALIZEDDESCRIPTION,ZLOCALIZEDTITLE,ZPLUGINPACKAGE,ZSTORYBOARDIDENTIFIER,ZUNIQUEIDENTIFIER,ZVIEWCONTROLLERCLASSNAME,ZUSERDATA
24,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.347885,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,,Swimming Strokes,com.apple.health.Snippets,,HKQuantityTypeIdentifierSwimmingStrokeCount,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKQuantityTypeIdentifierSwimmingStrokeCount""}'"
25,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.343981,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"Also known as vitamin B1, thiamin helps your body convert carbohydrates into energy. Thiamin deficiency, often a result of alcohol abuse, can lead to fatigue and, in extreme cases, beriberi.",Thiamin,com.apple.health.Snippets,,HKQuantityTypeIdentifierDietaryThiamin,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKQuantityTypeIdentifierDietaryThiamin""}'"
26,4,46,0,1,1,-1,0,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.346556,608744684.6559409,0.0,0.0,608744684.6559409,0.0,data,"This is an estimate of energy burned over and above your Resting Energy use (see Resting Energy). Active energy includes activity such as walking slowly, pushing your wheelchair and household chores, as well as exercise such as biking and dancing. Your total energy use is the sum of your Resting Energy and Active Energy.",Active Energy,com.apple.health.Snippets,,HKQuantityTypeIdentifierActiveEnergyBurned,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""statistic"",""value"":{""unitString"":""kcal"",""value"":208.26399999999995,""timestamp"":608744684.65594089,""forceDayGranularity"":false}},""identifier"":""HKQuantityTypeIdentifierActiveEnergyBurned""}'"
27,4,24,0,1,0,-1,0,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.347438,608702400.0,0.0,0.0,608702400.0,0.0,data,"Body Mass Index (BMI) is an indicator of your body fat. It’s calculated from your height and weight, and can tell you whether you are underweight, normal, overweight, or obese. It can also help you gauge your risk for diseases that can occur with more body fat.",Body Mass Index,com.apple.health.Snippets,,HKQuantityTypeIdentifierBodyMassIndex,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""statistic"",""value"":{""unitString"":""count"",""value"":26.061159133911133,""timestamp"":608702400,""forceDayGranularity"":false}},""identifier"":""HKQuantityTypeIdentifierBodyMassIndex""}'"
28,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.337479,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"Temporary fatigue usually has an obvious cause and likely remedy. Resting relieves tiredness in most cases.

Ongoing exhaustion is more profound and isn’t relieved by rest. A nearly constant state of fatigue can reduce your energy, motivation, and concentration. Tiredness at this level can also impact your emotional and psychological well-being.

Fatigue and Menstruation:

Changes in your energy levels can occur just before or during your period. Fatigue can be affected by changes in sleep habits, mood, or by low blood counts (anemia) caused by heavy bleeding.

Fatigue can be logged manually as part of Cycle Tracking. ",Cycle Tracking Symptom: Fatigue,com.apple.health.Snippets,,HKCategoryTypeIdentifierMenstrualSymptomTiredness,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKCategoryTypeIdentifierMenstrualSymptomTiredness""}'"
29,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.337702,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"Perfusion index measures your relative pulse strength at various points on your body, such as a fingertip, toe, or earlobe. It can be used to provide a rough estimate of the degree of blood flow at the measurement site.",Peripheral Perfusion Index,com.apple.health.Snippets,,HKQuantityTypeIdentifierPeripheralPerfusionIndex,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKQuantityTypeIdentifierPeripheralPerfusionIndex""}'"
30,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.343197,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"Chromium promotes synthesis of the fatty acids and cholesterol needed for brain function and other bodily processes. The best source of chromium is brewer’s yeast, but other good sources are beef, liver, eggs, chicken, oysters, wheat germ, green peppers, apples, bananas, spinach, black pepper, and molasses.",Chromium,com.apple.health.Snippets,,HKQuantityTypeIdentifierDietaryChromium,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKQuantityTypeIdentifierDietaryChromium""}'"
31,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.342928,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"An elevated heart rate while you’re not active may indicate important changes in your health.

Resting heart rates for adults typically fall between 50-100 beats per minutes. Heart rates in children are often higher than adults but decrease as they get older.

Apple Watch can check your heart rate and notify you when it detects a heart rate that’s above a selected threshold for 10 minutes. You can manage these notifications in Heart settings in the Apple Watch app.",High Heart Rate Notifications,com.apple.health.Snippets,,HKCategoryTypeIdentifierHighHeartRateEvent,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKCategoryTypeIdentifierHighHeartRateEvent""}'"
32,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.337189,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"Appetite changes and Menstruation:
Changes in the type or amount of food you eat that are outside of your normal eating habits that can occur around your period.

Appetite changes can be logged manually as part of Cycle Tracking.",Cycle Tracking Symptom: Appetite Changes,com.apple.health.Snippets,,HKCategoryTypeIdentifierMenstrualSymptomAppetiteChanges,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKCategoryTypeIdentifierMenstrualSymptomAppetiteChanges""}'"
33,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.339638,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"For your body to function properly, you must replenish its water supply by consuming beverages and foods that contain water. You may need to modify your total fluid intake depending on how active you are, the climate you live in, your health status, and if you’re pregnant or breast-feeding. Food provides about 20 percent of total water intake. Many fruits and vegetables, such as watermelon and spinach, are 90 percent or more water by weight.",Water,com.apple.health.Snippets,,HKQuantityTypeIdentifierDietaryWater,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKQuantityTypeIdentifierDietaryWater""}'"
34,4,32,0,1,0,-1,0,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.337787,608726460.9199703,0.0,0.0,608726460.9199703,0.0,data,"Your walking heart rate is the average heart beats per minute measured by your Apple Watch during walks at a steady pace throughout the day.

Like resting heart rate, a lower walking heart rate may indicate better heart health and cardiovascular fitness. Walking regularly has many health benefits, and you may see your walking heart rate lower over time by staying active, managing your weight, and reducing everyday stress.",Walking Heart Rate Average,com.apple.health.Snippets,,HKQuantityTypeIdentifierWalkingHeartRateAverage,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""statistic"",""value"":{""unitString"":""count\\/min"",""value"":88,""timestamp"":608726460.91997027,""forceDayGranularity"":false}},""identifier"":""HKQuantityTypeIdentifierWalkingHeartRateAverage""}'"
35,4,15,0,1,0,-1,9,99999,0,99999,,,63113904000.0,-63114076800.0,606596769.338911,63113904000.0,0.0,0.0,-63114076800.0,0.0,noData,"Contributes to healthy skin, teeth, bony and soft tissues, and mucus membranes. Also called retinol, vitamin A gives pigment to the retina and promotes good vision, particularly in poor light.

Dietary sources include eggs, meat, fortified milk, cheese, cream, liver, kidney, and fish oil, or (in the form of beta-carotene) yellow and orange fruits, carrots, pumpkins, sweet potatoes, broccoli, spinach, and most dark green leafy vegetables.",Vitamin A,com.apple.health.Snippets,,HKQuantityTypeIdentifierDietaryVitaminA,Snippets.SnippetsTileViewController,"b'{""value"":{""type"":""noData""},""identifier"":""HKQuantityTypeIdentifierDietaryVitaminA""}'"
