ID,timestamp,timestampLogged,BBDate,DTxOff,DTxOn,DurationInCallType_0,DurationInCallType_1,DurationInCallType_2,DurationInCallType_3,DurationInCallType_4,DurationInCallType_5,LogDuration,SeqNum
25307,1586913830.919608,1586914239.346703,1586913801.714,0.0,0.0,18072,0,0,0,0,0,18072.0,1
25308,1586913838.645608,1586914239.358108,1586913809.44,0.0,0.0,253121,0,0,0,0,0,253121.0,4
25309,1586913838.650608,1586914239.3661692,1586913809.445,0.0,0.0,177,0,0,0,0,0,177.0,5
25310,1586913901.0626082,1586914239.3786051,1586913871.857,0.0,0.0,2044891,0,0,0,0,0,2044891.0,21
25311,1586913901.066608,1586914239.384912,1586913871.861,0.0,0.0,136,0,0,0,0,0,136.0,22
25312,1586914088.980608,1586914239.3920722,1586914059.775,0.0,0.0,6156897,0,0,0,0,0,6156897.0,64
25313,1586914088.9836082,1586914239.3952203,1586914059.778,0.0,0.0,117,0,0,0,0,0,117.0,65
25314,1586914184.5116081,1586914239.4029632,1586914155.306,0.0,0.0,3129929,0,0,0,0,0,3129929.0,98
25315,1586914184.5176082,1586914239.405239,1586914155.312,0.0,0.0,202,0,0,0,0,0,202.0,99
25316,1586914238.9716082,1586915060.4237933,1586914209.766,0.0,0.0,1784149,0,0,0,0,0,1784149.0,121
25317,1586914245.777608,1586915060.4311843,1586914216.572,0.0,0.0,222824,0,0,0,0,0,222824.0,124
25318,1586914257.189608,1586915060.4373274,1586914227.984,0.0,0.0,373903,0,0,0,0,0,373903.0,128
25319,1586914677.448608,1586915060.4694672,1586914648.243,0.0,0.0,13769562,0,0,0,0,0,13769562.0,47
25320,1586915034.973608,1586915060.483694,1586915005.768,0.0,0.0,11714159,0,0,0,0,0,11714159.0,158
25321,1586915034.9826078,1586915060.4876113,1586915005.777,0.0,0.0,277,0,0,0,0,0,277.0,159
25322,1586915060.053608,1586915060.493442,1586915030.848,0.0,0.0,821444,0,0,0,0,0,821444.0,167
25323,1586915060.059608,1586915607.828095,1586915030.854,0.0,0.0,219,0,0,0,0,0,219.0,168
25324,1586915165.0286078,1586915607.8419921,1586915135.823,0.0,0.0,3439243,0,0,0,0,0,3439243.0,193
25325,1586915165.032608,1586915607.8483331,1586915135.827,0.0,0.0,141,0,0,0,0,0,141.0,194
25326,1586915258.954608,1586915607.855071,1586915229.749,0.0,0.0,3077293,0,0,0,0,0,3077293.0,219
25327,1586915258.959608,1586915607.860042,1586915229.754,0.0,0.0,171,0,0,0,0,0,171.0,220
25328,1586915400.922608,1586915607.8683891,1586915371.717,0.0,0.0,4651332,0,0,0,0,0,4651332.0,2
25329,1586915400.933608,1586915607.8705492,1586915371.728,0.0,0.0,371,0,0,0,0,0,371.0,3
25330,1586915584.935608,1586915607.8806221,1586915555.73,0.0,0.0,6028729,0,0,0,0,0,6028729.0,51
