day,event_id,calendar_id,store_id,occurrence_date,occurrence_start_date,occurrence_end_date
591508800.0,74,14,4,591508800.0,,591595199.0
594187200.0,76,14,4,594187200.0,,594273599.0
625809600.0,76,14,4,625809600.0,,625895999.0
657345600.0,76,14,4,657345600.0,,657431999.0
603608400.0,78,14,4,603608400.0,,603694799.0
635058000.0,78,14,4,635058000.0,,635144399.0
667112400.0,78,14,4,667112400.0,,667198799.0
670478400.0,8,14,4,670478400.0,,670564799.0
670564800.0,46,14,4,670564800.0,,670651199.0
671256000.0,6,14,4,671256000.0,,671342399.0
608356800.0,119,13,3,608392800.0,,608396400.0
671688000.0,29,14,4,671688000.0,,671774399.0
671688000.0,47,14,4,671688000.0,,671774399.0
671688000.0,108,14,4,671688000.0,,671774399.0
