elementId,intValue,realValue,stringValue,dataType
10,0,,,1
21,0,,,1
22,3,,,1
23,0,,,1
24,0,,,1
25,0,,,1
26,0,,,1
27,0,,,1
28,3,,,1
29,1,,,1
30,0,,,1
31,1,,,1
32,0,,,1
33,0,,,1
45,1,,,1
46,0,,,1
47,1,,,1
48,0,,,1
49,0,,,1
50,0,,,1
51,0,,,1
62,0,,,1
66,0,,,1
67,0,,,1
68,0,,,1
69,0,,,1
70,0,,,1
71,0,,,1
72,0,,,1
73,0,,,1
74,0,,,1
75,0,,,1
76,0,,,1
77,0,,,1
78,0,,,1
79,1,,,1
80,0,,,1
91,2,,,1
92,0,,,1
93,2,,,1
94,0,,,1
95,0,,,1
96,2,,,1
97,2,,,1
98,0,,,1
99,0,,,1
100,0,,,1
101,0,,,1
102,0,,,1
103,0,,,1
104,0,,,1
105,0,,,1
106,0,,,1
107,0,,,1
108,0,,,1
109,0,,,1
129,0,,,1
130,0,,,1
131,1,,,1
132,0,,,1
140,1,,,1
141,0,,,1
142,1,,,1
143,0,,,1
144,0,,,1
145,0,,,1
146,1,,,1
147,0,,,1
148,0,,,1
152,1,,,1
153,0,,,1
154,0,,,1
155,0,,,1
156,0,,,1
157,0,,,1
158,1,,,1
159,0,,,1
160,0,,,1
164,0,,,1
165,0,,,1
166,0,,,1
167,0,,,1
168,0,,,1
169,1,,,1
170,0,,,1
171,0,,,1
172,0,,,1
173,0,,,1
174,0,,,1
175,0,,,1
176,0,,,1
177,0,,,1
178,0,,,1
179,0,,,1
180,0,,,1
181,0,,,1
182,0,,,1
186,0,,,1
187,1,,,1
188,1,,,1
189,0,,,1
190,0,,,1
191,0,,,1
192,0,,,1
193,0,,,1
194,1,,,1
195,1,,,1
196,0,,,1
197,0,,,1
208,0,,,1
209,0,,,1
210,1,,,1
211,0,,,1
212,1,,,1
213,0,,,1
214,0,,,1
215,1,,,1
216,1,,,1
217,0,,,1
218,1,,,1
219,0,,,1
220,0,,,1
221,0,,,1
222,1,,,1
223,0,,,1
224,1,,,1
