id,startTime,activityType,isStanding,mets,natalies,basalNatalies,overrideSet,truthMets,sessionUUID
22787,608183268.122468,1,0,0.9232041239738464,30683769,30255631,0,0.9232041239738464,
22788,608183432.4435871,0,0,0.9232040643692017,30687209,30259071,0,0.9232040643692017,
22789,608183442.7140354,1,0,0.9232041239738464,30687424,30259286,0,0.9232041239738464,
22790,608183463.2568554,0,0,0.9232040643692017,30687854,30259716,0,0.9232040643692017,
22791,608183473.5278192,1,0,0.9232041239738464,30688069,30259931,0,0.9232041239738464,
22792,608183514.6093838,0,0,0.9232040643692017,30688929,30260791,0,0.9232040643692017,
22793,608183524.8799601,1,0,0.9232041239738464,30689144,30261006,0,0.9232041239738464,
22794,608183607.041405,0,0,0.9232040643692017,30690864,30262726,0,0.9232040643692017,
22795,608183617.3107933,1,0,0.9232041239738464,30691079,30262941,0,0.9232041239738464,
22796,608183637.8495091,0,0,0.9232040643692017,30691509,30263371,0,0.9232040643692017,
22797,608183648.1191351,1,0,0.9232041239738464,30691724,30263586,0,0.9232041239738464,
22798,608183678.9266192,0,0,0.9232040643692017,30692369,30264231,0,0.9232040643692017,
22799,608183689.1968999,1,0,0.9232041239738464,30692584,30264446,0,0.9232041239738464,
22800,608183699.4661505,0,0,0.9232040643692017,30692799,30264661,0,0.9232040643692017,
22801,608183709.735746,1,0,0.9232041239738464,30693014,30264876,0,0.9232041239738464,
22802,608183832.952404,0,0,0.9232040643692017,30695593,30267455,0,0.9232040643692017,
22803,608183843.2214464,1,0,0.9232041239738464,30695808,30267670,0,0.9232041239738464,
22804,608183863.7575873,0,0,0.9232040643692017,30696237,30268099,0,0.9232040643692017,
22805,608183874.0251112,1,0,0.9232041239738464,30696451,30268313,0,0.9232041239738464,
22806,608183884.2925023,0,0,0.9232040643692017,30696665,30268527,0,0.9232040643692017,
22807,608183894.561254,1,0,0.9232041239738464,30696880,30268742,0,0.9232041239738464,
22808,608183976.7102183,0,0,0.9232040643692017,30698600,30270462,0,0.9232040643692017,
22809,608183986.9757464,1,0,0.9232041239738464,30698814,30270676,0,0.9232041239738464,
22810,608183997.2420915,1,0,0.9232041239738464,30699028,30270890,0,0.9232041239738464,
22811,608184079.4162638,0,0,0.9232040643692017,30700748,30272610,0,0.9232040643692017,
22812,608184089.6841636,1,0,0.9232041239738464,30700962,30272824,0,0.9232041239738464,
22813,608184141.0306935,0,0,0.9232040643692017,30702037,30273899,0,0.9232040643692017,
22814,608184151.2996396,1,0,0.9232041239738464,30702252,30274114,0,0.9232041239738464,
22815,608184161.5686661,0,0,0.9232040643692017,30702467,30274329,0,0.9232040643692017,
22816,608184171.8381516,1,0,0.9232041239738464,30702682,30274544,0,0.9232041239738464,
22817,608184202.6519872,0,0,0.9232040643692017,30703327,30275189,0,0.9232040643692017,
22818,608184212.9223257,1,0,0.9232041239738464,30703542,30275404,0,0.9232041239738464,
22819,608184233.464537,0,0,0.9232040643692017,30703972,30275834,0,0.9232040643692017,
22820,608184243.7329028,1,0,0.9232041239738464,30704186,30276048,0,0.9232041239738464,
22821,608184254.0039994,1,0,0.9232041239738464,30704401,30276263,0,0.9232041239738464,
22822,608184274.5453413,0,0,0.9232040643692017,30704831,30276693,0,0.9232040643692017,
22823,608184284.8152359,1,0,0.9232041239738464,30705046,30276908,0,0.9232041239738464,
22824,608184356.712475,0,0,0.9232040643692017,30706551,30278413,0,0.9232040643692017,
22825,608184366.9833256,1,0,0.9232041239738464,30706766,30278628,0,0.9232041239738464,
22826,608184377.2555469,0,0,0.9232040643692017,30706981,30278843,0,0.9232040643692017,
22827,608184387.5268134,1,0,0.9232041239738464,30707196,30279058,0,0.9232041239738464,
22828,608184418.3453776,0,0,0.9232040643692017,30707841,30279703,0,0.9232040643692017,
22829,608184428.618592,1,0,0.9232041239738464,30708056,30279918,0,0.9232041239738464,
22830,608184438.8918321,0,0,0.9232040643692017,30708271,30280133,0,0.9232040643692017,
22831,608184449.1644287,1,0,0.9232041239738464,30708486,30280348,0,0.9232041239738464,
22832,608184531.3452419,0,0,0.9232040643692017,30710206,30282068,0,0.9232040643692017,
22833,608184541.6172355,1,0,0.9232041239738464,30710421,30282283,0,0.9232041239738464,
22834,608184551.8884794,0,0,0.9232040643692017,30710636,30282498,0,0.9232040643692017,
22835,608184562.161259,1,0,0.9232041239738464,30710851,30282713,0,0.9232041239738464,
22836,608184592.9834807,0,0,0.9232040643692017,30711496,30283358,0,0.9232040643692017,
22837,608184603.2564448,1,0,0.9232041239738464,30711711,30283573,0,0.9232041239738464,
22838,608184613.5285869,1,0,0.9232041239738464,30711926,30283788,0,0.9232041239738464,
22839,608184654.6197485,0,0,0.9232040643692017,30712786,30284648,0,0.9232040643692017,
22840,608184664.8921117,1,0,0.9232041239738464,30713001,30284863,0,0.9232041239738464,
22841,608184675.1634029,1,0,0.9232041239738464,30713216,30285078,0,0.9232041239738464,
22842,608184788.1548786,0,0,0.9232040643692017,30715581,30287443,0,0.9232040643692017,
22843,608184798.4271262,1,0,0.9232041239738464,30715796,30287658,0,0.9232041239738464,
22844,608184808.7005963,0,0,0.9232040643692017,30716011,30287873,0,0.9232040643692017,
22845,608184818.9728975,1,0,0.9232041239738464,30716226,30288088,0,0.9232041239738464,
22846,608184849.7908237,0,0,0.9232040643692017,30716871,30288733,0,0.9232040643692017,
22847,608184860.063498,1,0,0.9232041239738464,30717086,30288948,0,0.9232041239738464,
22848,608185014.1610532,0,0,0.9232040643692017,30720312,30292174,0,0.9232040643692017,
22849,608185024.4348358,1,0,0.9232041239738464,30720527,30292389,0,0.9232041239738464,
22850,608185034.7057674,1,0,0.9232041239738464,30720742,30292604,0,0.9232041239738464,
22851,608185075.7902017,0,0,0.9232040643692017,30721602,30293464,0,0.9232040643692017,
22852,608185086.0631912,1,0,0.9232041239738464,30721817,30293679,0,0.9232041239738464,
22853,608185229.8285336,0,0,0.9232040643692017,30724827,30296689,0,0.9232040643692017,
22854,608185240.0947031,1,0,0.9232041239738464,30725041,30296903,0,0.9232041239738464,
22855,608185281.170838,0,0,0.9232040643692017,30725901,30297763,0,0.9232040643692017,
22856,608185291.4407398,1,0,0.9232041239738464,30726116,30297978,0,0.9232041239738464,
22857,608185311.9818991,0,0,0.9232040643692017,30726546,30298408,0,0.9232040643692017,
