name,set_timestamp,value,origin
_fi,1585185054.302493,1,auto
_fot,1585185054.302493,1585188000000,auto
_sid,1586806245.225667,1586806245,auto
_sno,1586806245.3191628,4,auto
_npa,1586806243.961355,1,auto
country_code,1586806243.1913052,US,app
_lte,1586806247.42188,996360,auto
_se,1586806247.422174,1419,auto
