id,minlat,maxlat,minlong,maxlong
4065,34.0,34.5,-118.0,-117.5
4064,34.0,34.5,-118.0,-117.5
4063,34.0,34.5,-118.0,-117.5
4062,34.0,34.5,-118.0,-117.5
4061,34.0,34.5,-118.0,-117.5
4391,34.5,35.0,-118.0,-117.5
4832,35.0,35.5,-118.0,-117.5
4060,34.0,34.5,-117.5,-117.0
4059,34.0,34.5,-117.5,-117.0
4058,34.0,34.5,-117.5,-117.0
4387,34.5,35.0,-117.5,-117.0
4388,34.5,35.0,-117.5,-117.0
4389,34.5,35.0,-117.5,-117.0
4390,34.5,35.0,-117.5,-117.0
4057,34.0,34.5,-117.0,-116.5
4056,34.0,34.5,-117.0,-116.5
4055,34.0,34.5,-117.0,-116.5
4386,34.5,35.0,-117.0,-116.5
4054,34.0,34.5,-116.5,-116.0
5236,35.5,36.0,-118.0,-117.5
5692,36.0,36.5,-116.5,-116.0
3209,32.5,33.0,-115.5,-115.0
3204,32.5,33.0,-115.0,-114.5
3205,32.5,33.0,-115.0,-114.5
3206,32.5,33.0,-115.0,-114.5
3207,32.5,33.0,-115.0,-114.5
3208,32.5,33.0,-115.0,-114.5
3201,32.5,33.0,-114.5,-114.0
3202,32.5,33.0,-114.5,-114.0
3203,32.5,33.0,-114.5,-114.0
3198,32.5,33.0,-112.0,-111.5
3199,32.5,33.0,-112.0,-111.5
3200,32.5,33.0,-112.0,-111.5
3197,32.5,33.0,-111.5,-111.0
3194,32.5,33.0,-111.0,-110.5
3195,32.5,33.0,-111.0,-110.5
3196,32.5,33.0,-111.0,-110.5
3193,32.5,33.0,-110.0,-109.5
3192,32.5,33.0,-108.5,-108.0
3191,32.5,33.0,-107.5,-107.0
3190,32.5,33.0,-106.0,-105.5
3210,32.5,33.0,-116.0,-115.5
3211,32.5,33.0,-116.0,-115.5
3212,32.5,33.0,-116.0,-115.5
3213,32.5,33.0,-116.5,-116.0
3214,32.5,33.0,-117.0,-116.5
3215,32.5,33.0,-117.0,-116.5
3216,32.5,33.0,-117.0,-116.5
3217,32.5,33.0,-117.0,-116.5
3218,32.5,33.0,-117.0,-116.5
3219,32.5,33.0,-117.0,-116.5
3220,32.5,33.0,-117.5,-117.0
3221,32.5,33.0,-117.5,-117.0
3222,32.5,33.0,-117.5,-117.0
3223,32.5,33.0,-117.5,-117.0
3224,32.5,33.0,-117.5,-117.0
3225,32.5,33.0,-117.5,-117.0
3189,32.5,33.0,-104.5,-104.0
5691,36.0,36.5,-116.0,-115.5
5687,36.0,36.5,-115.5,-115.0
5235,35.5,36.0,-115.5,-115.0
5234,35.5,36.0,-115.5,-115.0
5233,35.5,36.0,-115.5,-115.0
5232,35.5,36.0,-115.5,-115.0
5688,36.0,36.5,-115.5,-115.0
5689,36.0,36.5,-115.5,-115.0
5690,36.0,36.5,-115.5,-115.0
5686,36.0,36.5,-115.0,-114.5
5685,36.0,36.5,-115.0,-114.5
5684,36.0,36.5,-115.0,-114.5
5231,35.5,36.0,-115.0,-114.5
5230,35.5,36.0,-115.0,-114.5
4831,35.0,35.5,-115.0,-114.5
4830,35.0,35.5,-115.0,-114.5
4829,35.0,35.5,-115.0,-114.5
4828,35.0,35.5,-115.0,-114.5
4385,34.5,35.0,-115.0,-114.5
4384,34.5,35.0,-115.0,-114.5
2991,32.0,32.5,-115.0,-114.5
2990,32.0,32.5,-115.0,-114.5
2989,32.0,32.5,-113.0,-112.5
2988,32.0,32.5,-111.5,-111.0
2987,32.0,32.5,-111.5,-111.0
2986,32.0,32.5,-111.5,-111.0
2985,32.0,32.5,-111.5,-111.0
2984,32.0,32.5,-111.0,-110.5
2983,32.0,32.5,-111.0,-110.5
2982,32.0,32.5,-111.0,-110.5
2981,32.0,32.5,-111.0,-110.5
2980,32.0,32.5,-110.0,-109.5
2979,32.0,32.5,-108.0,-107.5
2978,32.0,32.5,-107.0,-106.5
2977,32.0,32.5,-107.0,-106.5
4381,34.5,35.0,-113.0,-112.5
3484,33.0,33.5,-112.5,-112.0
3483,33.0,33.5,-112.5,-112.0
3482,33.0,33.5,-112.5,-112.0
3481,33.0,33.5,-112.5,-112.0
3480,33.0,33.5,-112.5,-112.0
3479,33.0,33.5,-112.5,-112.0
3478,33.0,33.5,-112.5,-112.0
4824,35.0,35.5,-112.5,-112.0
4380,34.5,35.0,-112.5,-112.0
4379,34.5,35.0,-112.5,-112.0
4378,34.5,35.0,-112.5,-112.0
4823,35.0,35.5,-112.0,-111.5
4822,35.0,35.5,-112.0,-111.5
4377,34.5,35.0,-112.0,-111.5
4376,34.5,35.0,-112.0,-111.5
4047,34.0,34.5,-112.0,-111.5
3746,33.5,34.0,-112.0,-111.5
3745,33.5,34.0,-112.0,-111.5
3744,33.5,34.0,-112.0,-111.5
3472,33.0,33.5,-112.0,-111.5
3473,33.0,33.5,-112.0,-111.5
3474,33.0,33.5,-112.0,-111.5
3475,33.0,33.5,-112.0,-111.5
3476,33.0,33.5,-112.0,-111.5
3477,33.0,33.5,-112.0,-111.5
2741,31.5,32.0,-111.0,-110.5
2742,31.5,32.0,-111.0,-110.5
2738,31.5,32.0,-110.5,-110.0
2739,31.5,32.0,-110.5,-110.0
2740,31.5,32.0,-110.5,-110.0
