Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,GCKDBAppInfo,0,0
2,GCKDBAppSupportStateInfo,0,1
3,GCKDBDeviceInfo,0,1
4,GCKDBDiscoveryInfo,0,0
5,GCKDBBluetoothDiscoveryInfo,4,0
6,GCKDBMDNSDiscoveryInfo,4,0
7,GCKDBTCPDiscoveryInfo,4,0
8,GCKDBGuestModeInfo,0,0
9,GCKDBLocalConnectionInfo,0,0
10,GCKDBNetworkAddress,0,0
11,GCKDBNetworkInfo,0,4
