ID,timestamp,cellId,dataActive,dataAttached,dataInd,home,lac,operator,status,subsId
3211,1586957731.7537932,,,,None,,,Google Fi,RegisteredHome,
3212,1586957731.7924733,,,,2_5G,,,Google Fi,RegisteredHome,
3213,1586957973.4470673,,,,2_5G,,,,RegisteredHome,
3214,1586957973.4473472,,,,2_5G,,,,NotRegistered,
3215,1586957973.4639442,,,,None,,,,NotRegistered,
3216,1586958038.212564,,,,None,,,,EmergencyOnly,
3217,1586958202.6455052,,,,None,,,Google Fi,EmergencyOnly,
3218,1586958202.6779451,,,,None,,,,EmergencyOnly,
3219,1586958202.6781683,,,,None,,,Google Fi,EmergencyOnly,
3220,1586958202.6783133,,,,None,,,Google Fi,RegisteredHome,
3221,1586958202.679346,,,,2_5G,,,Google Fi,RegisteredHome,
3222,1586958281.5691242,,,,2_5G,,,,RegisteredHome,
3223,1586958281.5726252,,,,2_5G,,,Google Fi,EmergencyOnly,
3224,1586958281.5764933,,,,None,,,Google Fi,EmergencyOnly,
3225,1586958281.580388,,,,None,,,Google Fi,RegisteredHome,
3226,1586958281.581655,,,,4G,,,Google Fi,RegisteredHome,
3227,1586958416.919791,,,,4G,,,,RegisteredHome,
3228,1586958416.9199872,,,,4G,,,,NotRegistered,
3229,1586958416.921074,,,,None,,,,NotRegistered,
3230,1586958468.7900662,,,,None,,,,EmergencyOnly,
3231,1586958691.188964,,,,None,,,Google Fi,EmergencyOnly,
3232,1586958691.313337,,,,None,,,Google Fi,RegisteredHome,
3233,1586958691.326273,,,,4G,,,Google Fi,RegisteredHome,
3234,1586958965.744925,,,,4G,,,,RegisteredHome,
3235,1586958965.7451,,,,4G,,,,NotRegistered,
3236,1586958965.74792,,,,None,,,,NotRegistered,
3237,1586959021.459501,,,,None,,,,EmergencyOnly,
3238,1586959048.0553102,,,,None,,,Google Fi,EmergencyOnly,
3239,1586959048.1193562,,,,None,,,Google Fi,RegisteredHome,
3240,1586959048.124661,,,,4G,,,Google Fi,RegisteredHome,
3241,1586959256.9326332,,,,4G,,,,RegisteredHome,
3242,1586959256.9337153,,,,4G,,,,EmergencyOnly,
3243,1586959256.939187,,,,None,,,,EmergencyOnly,
3244,1586959273.201672,,,,None,,,Google Fi,RegisteredHome,
3245,1586959273.2108102,,,,2_5G,,,Google Fi,RegisteredHome,
3246,1586959326.594839,,,,2_5G,,,,RegisteredHome,
3247,1586959326.5983033,,,,2_5G,,,,NotRegistered,
3248,1586959326.600886,,,,None,,,,NotRegistered,
3249,1586959388.7223542,,,,None,,,,EmergencyOnly,
3250,1586959410.1804912,,,,None,,,Google Fi,EmergencyOnly,
3251,1586959410.220881,,,,None,,,,EmergencyOnly,
3252,1586959410.2211032,,,,None,,,Google Fi,EmergencyOnly,
3253,1586959410.22126,,,,None,,,Google Fi,RegisteredHome,
3254,1586959410.2224152,,,,2_5G,,,Google Fi,RegisteredHome,
3255,1586959440.439408,,,,2_5G,,,,RegisteredHome,
3256,1586959440.43969,,,,2_5G,,,,NotRegistered,
3257,1586959440.4467692,,,,None,,,,NotRegistered,
