ID,timestamp,timestampLogged,BBDate,C0TBSzArr_0,C0TBSzArr_1,C0TBSzArr_2,C0TBSzArr_3,C0TBSzArr_4,C0TBSzArr_5,C0TBSzArr_6,C0TBSzArr_7,C0TBSzArr_8,C0TBSzArr_9,C0TBSzArr_10,C0TBSzArr_11,C0TBSzArr_12,C0TBSzArr_13,C0TBSzArr_14,C0TBSzArr_15,C1TBSzArr_0,C1TBSzArr_1,C1TBSzArr_2,C1TBSzArr_3,C1TBSzArr_4,C1TBSzArr_5,C1TBSzArr_6,C1TBSzArr_7,C1TBSzArr_8,C1TBSzArr_9,C1TBSzArr_10,C1TBSzArr_11,C1TBSzArr_12,C1TBSzArr_13,C1TBSzArr_14,C1TBSzArr_15,CAFreqInfo_0,CAFreqInfo_1,CAFreqInfo_2,CAFreqInfo_3,CASCCStateArr_0,CASCCStateArr_1,CASCCStateArr_2,CASCCStateArr_3,DupMode,LogDuration,SeqNum,SleepStateArr_0,SleepStateArr_1,SleepStateArr_2,SleepStateArr_3,SleepStateArr_4,SleepStateArr_5,TxPwrBktArr_0,TxPwrBktArr_1,TxPwrBktArr_2,TxPwrBktArr_3,TxPwrBktArr_4,TxPwrBktArr_5,TxPwrBktArr_6,TxPwrBktArr_7,TxPwrBktArr_8,TxPwrBktArr_9,TxPwrBktArr_10,TxPwrBktArr_11,kRfActRxTxArr_0,kRfActRxTxArr_1,kRfActRxTxArr_2,kRfActRxTxArr_3,kRfActRxTxArr_4,kRfActRxTxArr_5
25321,1586915034.9826078,1586915060.4858062,1586915005.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,279,0,0,0,279.0,159,0,0,0,0,0,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25322,1586915060.053608,1586915060.4930854,1586915030.848,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,821439,0,0,0,821439.0,167,0,52137,0,0,0,769311,821439,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0
25323,1586915060.059608,1586915607.827671,1586915030.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,224,0,0,0,224.0,168,0,0,0,0,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25324,1586915165.0286078,1586915607.841592,1586915135.823,0,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,3439246,0,0,0,3439246.0,193,0,232017,2359,0,0,3204961,3439245,0,0,0,0,0,0,0,0,0,0,0,0,2129,0,0,0,0
25325,1586915165.032608,1586915607.848051,1586915135.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,143,0,0,0,143.0,194,0,0,0,0,0,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25326,1586915258.954608,1586915607.854813,1586915229.749,0,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,3077287,0,0,0,3077287.0,219,0,197296,0,0,0,2880065,3077287,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,0
25327,1586915258.959608,1586915607.85978,1586915229.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,172,0,0,0,172.0,220,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25328,1586915400.922608,1586915607.868186,1586915371.717,0,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,4651336,0,0,0,4651336.0,2,0,299836,491,0,0,4351123,4651335,0,0,0,0,0,0,0,0,0,0,0,0,2522,0,0,0,0
25329,1586915400.933608,1586915607.8703601,1586915371.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,372,0,0,0,372.0,3,0,0,0,0,0,373,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25330,1586915584.935608,1586915607.8803651,1586915555.73,0,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,6028730,0,0,0,6028730.0,51,0,381963,491,0,0,5646416,6028729,0,0,0,0,0,0,0,0,0,0,0,0,3374,0,0,0,0
