Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,Achievement,0,0
2,AchievementDescription,0,0
3,AchievementDescriptionList,0,0
4,AchievementList,0,0
5,AchievementPointsEntry,0,0
6,AchievementPointsList,0,0
7,BadgeCount,0,0
8,Challenge,0,0
9,AchievementChallenge,8,0
10,ScoreChallenge,8,0
11,ChallengeCompatibleBundleID,0,0
12,ChallengeList,0,0
13,CompatibilityMatrixEntry,0,0
14,CompatibilityMatrixList,0,0
15,CompatibilityMatrixShortVersion,0,0
16,CompatibilityMatrixVersion,0,0
17,FlowRate,0,0
18,FriendEntry,0,0
19,FriendList,0,0
20,FriendRecommendationEntry,0,0
21,FriendRecommendationList,0,0
22,FriendRequestEntry,0,0
23,FriendRequestList,0,0
24,Game,0,0
25,GameEntry,0,0
26,GameList,0,0
27,GameRating,0,0
28,GameRecommendationEntry,0,0
29,GameRecommendationList,0,0
30,GameRecord,0,0
31,Invite,0,0
32,Leaderboard,0,0
33,LeaderboardList,0,0
34,LeaderboardSet,0,0
35,LeaderboardSetList,0,0
36,LeaderboardTitleMap,0,0
37,LeaderboardTitleMapList,0,0
38,Localization,0,0
39,PlayerEmail,0,0
40,PlayerEntry,0,0
41,CompatiblePlayerEntry,40,0
42,PlayerList,0,0
43,CompatiblePlayerList,42,0
44,PlayerProfile,0,0
45,PlayerToInvite,0,0
46,RecentGameEntry,0,0
47,RecentGameList,0,0
48,RecentPlayerEntry,0,0
49,RecentPlayerList,0,0
50,TopGamesList,0,0
51,TopGamesListEntry,0,0
52,TurnBasedExchange,0,0
53,TurnBasedExchangeReply,0,0
54,TurnBasedParticipant,0,0
55,TurnBasedSession,0,0
56,TurnBasedSessionEntry,0,0
57,TurnBasedSessionList,0,0
