elementId,intValue,realValue,stringValue,dataType
2,,1585255080.0,,2
15,,1584867924.5410407,,2
34,,1585158528.105,,2
44,,1585086752.0,,2
49,,1584888131.0,,2
60,,1586613369.2816672,,2
93,,1586681905.1502705,,2
103,,1585234515.1401958,,2
107,,1585042076.3898158,,2
113,,1586637900.1966686,,2
121,,1584911818.1520834,,2
125,,1586099600.6530995,,2
134,,1585042076.3898158,,2
135,,1584867924.5410407,,2
136,,1585158528.105,,2
137,,1586681905.1502705,,2
138,,1586099600.6530995,,2
139,,1586613369.2816672,,2
140,,1585234515.1401958,,2
141,,1585042076.3898158,,2
143,,1586099600.6530995,,2
145,,1587037240.0,,2
148,,1587037240.0,,2
