groupid,collectionid
5,4
6,5
82,156
85,156
1,156
2,156
3,156
79,157
1,157
21,157
3,157
62,157
64,157
65,157
66,157
67,157
80,157
1,158
2,158
3,158
25,159
28,159
29,159
27,159
26,159
1,159
21,159
3,159
7,160
1,160
2,160
3,160
25,161
60,161
59,161
61,161
1,161
21,161
3,161
62,161
64,161
65,161
66,161
67,161
68,161
8,162
9,162
1,162
2,162
3,162
1,163
21,163
3,163
