id,bundleId
1,com.apple.mobileslideshow
2,com.hammerandchisel.discord
3,imgurmobile
4,co.babypenguin.imo
5,jp.naver.line
6,com.atebits.Tweetie2
8,com.apple.podcasts
9,net.whatsapp.WhatsApp
10,com.apple.Music
11,com.apple.mobilenotes
12,com.apple.mobilesafari
13,com.apple.weather
14,com.apple.Maps
15,com.apple.Health
16,com.apple.mobilephone
17,ph.telegra.Telegraph
18,com.apple.findmy
19,com.apple.MobileSMS
20,com.apple.mobiletimer
21,com.apple.mobilecal
22,com.apple.facetime
