Z_PK,Z_ENT,Z_OPT,ZCHANGETYPE,ZENTITY,ZENTITYPK,ZTRANSACTIONID,ZCOLUMNS,ZTOMBSTONE0
1,16001,,0,1,1,1,,
2,16001,,1,1,1,2,b'@',
3,16001,,1,1,1,3,b'@',
4,16001,,1,1,1,4,b'@',
5,16001,,0,3,1,5,,
6,16001,,0,2,1,5,,
7,16001,,1,1,1,5,b' ',
8,16001,,1,1,1,6,b'@',
9,16001,,1,2,1,7,b'\x08',
10,16001,,1,1,1,8,b'@',
11,16001,,1,1,1,9,b'@',
12,16001,,1,1,1,10,b'@',
13,16001,,1,2,1,11,b'(',
14,16001,,1,1,1,12,b'@',
15,16001,,0,2,2,13,,
16,16001,,0,3,2,13,,
17,16001,,1,1,1,13,b' ',
18,16001,,1,1,1,14,b'@',
19,16001,,1,2,2,15,b'\x08',
20,16001,,1,1,1,16,b'@',
21,16001,,1,1,1,17,b'@',
22,16001,,1,1,1,18,b'@',
23,16001,,1,2,2,19,b'\x08',
24,16001,,1,1,1,20,b'@',
25,16001,,0,2,3,21,,
26,16001,,1,3,1,21,b' ',
27,16001,,1,1,1,22,b'@',
28,16001,,1,1,1,23,b'@',
29,16001,,1,1,1,24,b'@',
30,16001,,1,2,1,25,b' ',
31,16001,,1,1,1,26,b'@',
32,16001,,1,1,1,27,b'@',
33,16001,,1,2,3,28,b'\x08',
34,16001,,1,1,1,29,b'@',
35,16001,,1,1,1,30,b'@',
36,16001,,1,1,1,31,b'@',
37,16001,,1,1,1,32,b'@',
38,16001,,1,1,1,33,b'@',
39,16001,,1,1,1,34,b'@',
40,16001,,1,1,1,35,b'@',
41,16001,,1,1,1,36,b'@',
42,16001,,1,1,1,37,b'@',
43,16001,,1,2,1,38,b' ',
44,16001,,1,1,1,39,b'@',
45,16001,,1,1,1,40,b'@',
46,16001,,1,2,2,41,b'$',
47,16001,,1,1,1,42,b'@',
48,16001,,1,2,2,43,b'\x08',
49,16001,,1,1,1,44,b'@',
50,16001,,1,1,1,45,b'@',
51,16001,,1,1,1,46,b'@',
52,16001,,1,2,1,47,b' ',
53,16001,,1,1,1,48,b'@',
54,16001,,1,1,1,49,b'@',
55,16001,,1,1,1,50,b'@',
56,16001,,1,1,1,51,b'@',
57,16001,,1,1,1,52,b'@',
58,16001,,0,2,4,53,,
59,16001,,0,3,3,53,,
60,16001,,1,1,1,53,b' ',
61,16001,,1,1,1,54,b'@',
62,16001,,1,2,4,55,b'\x08',
63,16001,,1,1,1,56,b'@',
64,16001,,1,1,1,57,b'@',
65,16001,,1,1,1,58,b'@',
66,16001,,1,2,4,59,b'\x08',
67,16001,,1,1,1,60,b'@',
68,16001,,1,2,2,61,b'$',
69,16001,,1,1,1,62,b'@',
70,16001,,1,1,1,63,b'@',
71,16001,,1,1,1,64,b'@',
72,16001,,0,2,5,65,,
73,16001,,1,3,3,65,b' ',
74,16001,,1,1,1,66,b'@',
75,16001,,1,2,2,67,b'\x08',
76,16001,,1,1,1,68,b'@',
77,16001,,1,2,5,69,b'\x08',
78,16001,,1,1,1,70,b'@',
79,16001,,0,2,6,71,,
80,16001,,0,3,4,71,,
81,16001,,1,1,1,71,b' ',
82,16001,,1,1,1,72,b'@',
83,16001,,1,2,6,73,b'\x08',
84,16001,,1,1,1,74,b'@',
85,16001,,1,1,1,75,b'@',
86,16001,,1,1,1,76,b'@',
87,16001,,1,2,6,77,b'(',
88,16001,,1,1,1,78,b'@',
89,16001,,1,1,1,79,b'@',
90,16001,,1,1,1,80,b'@',
91,16001,,1,1,1,81,b'@',
92,16001,,1,2,1,82,b' ',
93,16001,,1,2,6,83,b' ',
94,16001,,1,1,1,84,b'@',
95,16001,,1,1,1,85,b'@',
96,16001,,1,1,1,86,b'@',
97,16001,,1,1,1,87,b'@',
