Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,RTAddressMO,0,0
2,RTCLLocationMO,0,0
3,RTDeviceMO,0,0
4,RTEntityDeletionRequestMO,0,0
5,RTEventLocationIdentifierMO,0,72
6,RTEventModelUserInteractionMO,0,0
7,RTFingerprintMO,0,0
8,RTHintMO,0,0
9,RTLearnedLocationOfInterestMO,0,274
10,RTLearnedLocationOfInterestTransitionMO,0,976
11,RTLearnedLocationOfInterestVisitMO,0,976
12,RTLearnedPlaceMO,0,0
13,RTLearnedTransitionMO,0,0
14,RTLearnedVisitMO,0,0
15,RTLOIHistogramItemMO,0,124
16,RTMapItemExtendedAttributesMO,0,0
17,RTMapItemMO,0,0
18,RTSettledStateTransitionMO,0,0
19,RTVehicleEventHistoryMO,0,82
20,RTVehicleEventMO,0,10
21,RTVisitMO,0,0
22,RTWiFiAccessPointMO,0,0
