Z_PK,Z_ENT,Z_OPT,ZAVAILABLEFORPHOTOEDIT,ZHASANIMATION,ZHASPOPUP,ZHASSOUND,ZISACTIVATED,ZISCUSTOMSTICKER,ZISDEFAULT,ZISFORBIDDEN,ZISOWNED,ZPRODUCTAVAILABILITY,ZVALIDFOR,ZVALIDUNTIL,ZVERSION,ZUPDATEDAT,ZCUSTOMSTICKERENCRYPTEDTEXT,ZFROMMID,ZNAME,ZPRODUCTID,ZSTICKERHASH,ZISMESSAGESTICKER
1,1,5,0,0,0,0,1,0,1,0,1,0,-1,-1,1,608731656.876097,,,Moon: Funny Faces Part1,1638,,0
2,1,5,0,0,0,0,1,0,1,0,1,0,-1,-1,1,608731656.875812,,,Moon: Funny Faces Part2,1639,,0
3,1,5,1,1,0,0,1,0,1,0,1,0,-1,-1,1,608731656.875102,,,UNIVERSTAR BT21: Animated Special,11539,,0
4,1,5,0,0,0,0,1,0,1,0,1,0,-1,-1,100,608731656.876626,,,Brown & Cony,2,,0
5,1,5,0,0,0,0,1,0,1,0,1,0,-1,-1,7,608731656.875452,,,LINE characters : Love U,1696,,0
6,1,5,1,1,0,0,1,0,1,0,1,0,-1,-1,1,608731656.872838,,,"Brown, Cony & Sally: Animated Special",11537,,0
7,1,5,1,1,0,0,1,0,1,0,1,0,-1,-1,1,608731656.874456,,,CHOCO & Friends: Animated Special,11538,,0
8,1,5,0,0,0,0,1,0,1,0,1,0,-1,-1,100,608731656.876362,,,Moon & James,1,,0
