Z_PK,Z_ENT,Z_OPT,ZAUDIOCLASSIFICATION,ZBESTKEYFRAMETIMESCALE,ZBESTKEYFRAMEVALUE,ZBESTVIDEORANGEDURATIONTIMESCALE,ZBESTVIDEORANGEDURATIONVALUE,ZBESTVIDEORANGESTARTTIMESCALE,ZBESTVIDEORANGESTARTVALUE,ZFACECOUNT,ZMEDIAANALYSISVERSION,ZPACKEDBESTPLAYBACKRECT,ZASSET,Z34_ASSET,ZACTIVITYSCORE,ZAUTOPLAYSUGGESTIONSCORE,ZBLURRINESSSCORE,ZEXPOSURESCORE,ZMEDIAANALYSISTIMESTAMP,ZVIDEOSCORE
42,39,2,0,0,0,0,0,0,0,0,33,0,40,35,0.5,0.5,0.8342809081077576,0.8439912796020508,608390726.0,0.5
43,39,2,0,0,0,0,0,0,0,0,33,0,45,35,0.5,0.5,0.9283487796783447,0.9756554365158081,608390934.0,0.5
44,39,2,0,0,0,0,0,0,0,1,33,0,54,35,0.5,0.5,0.8379069566726685,0.7637064456939697,608394454.0,0.5
45,39,2,0,0,0,0,0,0,0,0,33,0,42,35,0.5,0.5,0.9054603576660156,0.8180854916572571,608390790.0,0.5
46,39,2,0,0,0,0,0,0,0,0,33,0,51,35,0.5,0.5,0.892629086971283,0.7336987257003784,608394264.0,0.5
47,39,2,0,0,0,0,0,0,0,0,33,0,43,35,0.5,0.5,0.8298817276954651,0.828080415725708,608390827.0,0.5
48,39,2,0,0,0,0,0,0,0,0,33,0,41,35,0.5,0.5,0.8304246068000793,0.8639258146286011,608390773.0,0.5
49,39,2,0,0,0,0,0,0,0,0,33,0,46,35,0.5,0.5,0.9337795376777649,0.9183828830718994,608390961.0,0.5
50,39,2,0,0,0,0,0,0,0,0,33,0,56,35,0.5,0.5,0.46388688683509827,0.534930944442749,608395677.724489,0.5
51,39,2,0,0,0,0,0,0,0,0,33,0,39,35,0.5,0.5,0.9389559030532837,0.9171128273010254,608390700.0,0.5
52,39,2,0,0,0,0,0,0,0,0,33,0,49,35,0.5,0.5,0.8493732213973999,0.8809173107147217,608394244.0,0.5
53,39,2,0,0,0,0,0,0,0,0,33,0,58,35,0.5,0.5,0.9396188855171204,0.9328911900520325,608744440.0,0.5
54,39,2,0,0,0,0,0,0,0,0,33,0,59,35,0.5,0.5,0.9433474540710449,0.9389919638633728,608745298.0,0.5
