TileX,TileY,SouthwestLatitude,SouthwestLongitude,DeltaLatitude,DeltaLongitude,Altitude,MinimumAltitude,MaximumAltitude,GenerationTimestamp,ExpirationAge,Version,Flags,NumberOfIndexEntries,AccessTimestamp,GizmoSyncTimestamp,NumberOfInputPoints
1011000,1256500,35.650001525878906,-78.9000015258789,0.05000000074505806,0.05000000074505806,101.31999969482422,74.69000244140625,132.5,608411636,0,381,0,249,608750421,0,10775
1011000,1256000,35.599998474121094,-78.9000015258789,0.05000000074505806,0.05000000074505806,114.16000366210938,80.08000183105469,144.6300048828125,608450277,0,381,0,249,608745779,0,9822
1010500,1255500,35.54999923706055,-78.94999694824219,0.05000000074505806,0.05000000074505806,123.56999969482422,89.19000244140625,134.7899932861328,608450770,0,381,0,128,608747689,0,278
1011000,1255500,35.54999923706055,-78.9000015258789,0.05000000074505806,0.05000000074505806,130.44000244140625,98.44999694824219,144.52000427246094,608450770,0,381,0,244,608747689,0,2679
1011500,1255500,35.54999923706055,-78.8499984741211,0.05000000074505806,0.05000000074505806,122.19000244140625,89.47000122070312,149.6699981689453,608450770,0,381,0,246,608747689,0,10829
1010500,1256000,35.599998474121094,-78.94999694824219,0.05000000074505806,0.05000000074505806,83.36000061035156,73.36000061035156,93.36000061035156,608450770,0,381,0,220,608745779,0,417
1011500,1256000,35.599998474121094,-78.8499984741211,0.05000000074505806,0.05000000074505806,130.13999938964844,99.79000091552734,146.72999572753906,608450770,0,381,0,248,608745779,0,21393
1010500,1256500,35.650001525878906,-78.94999694824219,0.05000000074505806,0.05000000074505806,93.38999938964844,76.75,119.08000183105469,608450770,0,381,0,231,608745779,0,2957
1011500,1256500,35.650001525878906,-78.8499984741211,0.05000000074505806,0.05000000074505806,123.31999969482422,98.19000244140625,149.17999267578125,608450771,0,381,0,249,608745779,0,30947
1010500,1257000,35.70000076293945,-78.94999694824219,0.05000000074505806,0.05000000074505806,96.83999633789062,78.5999984741211,120.41000366210938,608450771,0,381,0,248,608747709,0,18564
1011000,1257000,35.70000076293945,-78.9000015258789,0.05000000074505806,0.05000000074505806,116.5199966430664,84.02999877929688,157.8000030517578,608450771,0,381,0,250,608747709,0,36425
1011500,1257000,35.70000076293945,-78.8499984741211,0.05000000074505806,0.05000000074505806,134.13999938964844,104.05000305175781,167.0399932861328,608450771,0,381,0,249,608747709,0,31527
1012000,1256000,35.599998474121094,-78.80000305175781,0.05000000074505806,0.05000000074505806,123.36000061035156,97.13999938964844,150.39999389648438,608470339,0,381,0,247,608659677,0,17509
1012000,1256500,35.650001525878906,-78.80000305175781,0.05000000074505806,0.05000000074505806,119.12000274658203,88.9000015258789,150.52999877929688,608470339,0,381,0,248,608659677,0,21876
1012000,1255500,35.54999923706055,-78.80000305175781,0.05000000074505806,0.05000000074505806,115.45999908447266,87.33999633789062,142.5800018310547,608497278,0,381,0,250,608497278,0,17318
1012500,1256000,35.599998474121094,-78.75,0.05000000074505806,0.05000000074505806,103.23999786376953,75.05999755859375,131.0399932861328,608497278,0,381,0,249,608497278,0,9761
1012500,1256500,35.650001525878906,-78.75,0.05000000074505806,0.05000000074505806,117.5199966430664,90.44000244140625,140.66000366210938,608497278,0,381,0,248,608497278,0,11118
1012000,1257000,35.70000076293945,-78.80000305175781,0.05000000074505806,0.05000000074505806,124.5,93.76000213623047,149.50999450683594,608497279,0,381,0,248,608659677,0,37022
1012500,1257000,35.70000076293945,-78.75,0.05000000074505806,0.05000000074505806,126.66999816894531,90.87000274658203,146.14999389648438,608497279,0,381,0,245,608497279,0,12947
1009500,1255000,35.5,-79.05000305175781,0.05000000074505806,0.05000000074505806,103.16000366210938,63.20000076293945,137.2899932861328,608519801,0,381,0,180,608519801,0,374
1010000,1255000,35.5,-79.0,0.05000000074505806,0.05000000074505806,98.91999816894531,58.720001220703125,132.8300018310547,608519801,0,381,0,119,608519801,0,121
1010500,1255000,35.5,-78.94999694824219,0.05000000074505806,0.05000000074505806,116.16999816894531,84.7699966430664,135.41000366210938,608519801,0,381,0,138,608519801,0,296
1011000,1255000,35.5,-78.9000015258789,0.05000000074505806,0.05000000074505806,112.68000030517578,75.0,132.1699981689453,608519801,0,381,0,244,608519801,0,1086
1011500,1255000,35.5,-78.8499984741211,0.05000000074505806,0.05000000074505806,105.16000366210938,67.80000305175781,125.80000305175781,608519802,0,381,0,243,608519802,0,1392
1012000,1255000,35.5,-78.80000305175781,0.05000000074505806,0.05000000074505806,99.80999755859375,65.22000122070312,115.20999908447266,608519802,0,381,0,244,608519802,0,3874
1012500,1255000,35.5,-78.75,0.05000000074505806,0.05000000074505806,95.06999969482422,76.61000061035156,111.61000061035156,608519802,0,381,0,245,608519802,0,6228
1009500,1255500,35.54999923706055,-79.05000305175781,0.05000000074505806,0.05000000074505806,70.19000244140625,55.040000915527344,97.88999938964844,608519802,0,381,0,127,608519802,0,306
1010000,1255500,35.54999923706055,-79.0,0.05000000074505806,0.05000000074505806,87.8499984741211,73.02999877929688,111.52999877929688,608519802,0,381,0,140,608519802,0,152
1012500,1255500,35.54999923706055,-78.75,0.05000000074505806,0.05000000074505806,107.76000213623047,84.44999694824219,122.08999633789062,608519802,0,381,0,242,608519802,0,6044
1009500,1256000,35.599998474121094,-79.05000305175781,0.05000000074505806,0.05000000074505806,64.1500015258789,53.20000076293945,87.37000274658203,608519802,0,381,0,142,608519802,0,321
1010000,1256000,35.599998474121094,-79.0,0.05000000074505806,0.05000000074505806,82.08000183105469,72.08000183105469,92.08000183105469,608519802,0,381,0,168,608519802,0,524
