ID,timestamp,timestampLogged,BBDate,DeepSleepDuration,Error,EventCode,LightSleepDuration,ML1State,Payload,SleepDisabledSclk,SleepEnableSclk,StateDuration,Version
11518,1586914937.961608,1586915060.4791882,1586914908.756,3202,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 6e83eed5 b232f0d5 ... 00000000 00000000 }",3589288626,3589178222,3370,3
11519,1586914948.915608,1586915060.4797392,1586914919.71,7553,0,45452,132,1,"{length = 40, bytes = 0x03000000 01ffffff b51bf1d5 a4acf5d5 ... 17000000 00000000 }",3589647524,3589348277,9133,3
11520,1586915584.993608,1586915607.887806,1586915555.788,2552,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 c25132d7 f5ad33d7 ... 00000000 00000000 }",3610488309,3610399170,2721,3
11521,1586915595.5896082,1586915607.888928,1586915566.384,5855,0,45452,41,1,"{length = 40, bytes = 0x03000000 01000000 206935d7 17fa38d7 ... 00000000 00000000 }",3610835479,3610601760,7133,3
11522,1586915682.072608,1586915786.4771001,1586915652.867,2390,0,45452,0,0,"{length = 40, bytes = 0x03000000 00209c57 4bf462d7 c53664d7 ... 00000000 00000000 }",3613669061,3613586507,2520,3
11523,1586915698.6166081,1586915786.4843822,1586915669.411,3151,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 79a36ad7 297c6cd7 ... 00000000 00000000 }",3614211113,3614090105,3693,3
11524,1586915849.7536082,1586916335.3272352,1586915820.548,2373,0,45452,0,0,"{length = 40, bytes = 0x03000000 008beaa8 69c8b6d7 8b0bb8d7 ... 00000000 00000000 }",3619163019,3619080297,2525,3
11525,1586915866.0296078,1586916335.3404942,1586915836.824,8757,0,45452,26,1,"{length = 40, bytes = 0x03000000 017aa9a1 d019bbd7 a62ec0d7 ... 1a000000 03000000 }",3619696294,3619363280,10164,3
11526,1586916336.064608,1586916910.9928722,1586916306.859,2279,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 c1f5a9d8 b92cabd8 ... 00000000 00000000 }",3635096761,3635017153,2430,3
11527,1586916352.6686082,1586916910.9970741,1586916323.463,11556,0,45452,220,1,"{length = 40, bytes = 0x03000000 012a6aa4 2d45acd8 e879b3d8 ... 3a000000 00000000 }",3635640808,3635168557,14414,3
11528,1586916700.954608,1586916911.0576344,1586916671.749,2410,0,45452,0,0,"{length = 40, bytes = 0x03000000 0020d462 b35460d9 bd9961d9 ... 00000000 00000000 }",3647052221,3646969011,2540,3
