Z_PK,Z_ENT,Z_OPT,ZCHANNEL,ZRSSI,ZFINGERPRINT,ZAGE,ZDATE,ZMAC
22950,22,1,44,-78,551,5.673,608143661.929209,f8:bb:bf:90:a8:f2
22951,22,1,157,-88,551,5.02,608143662.5820761,b6:fb:e4:19:90:d
22952,22,1,3,-86,551,4.438,608143663.164101,b0:39:56:22:c1:b
22953,22,1,3,-79,551,4.328,608143663.2741971,a0:63:91:86:2b:77
22954,22,1,1,-79,551,4.862,608143662.740185,80:da:13:72:52:69
22955,22,1,161,-63,551,6.304,608143661.298352,f8:bb:bf:1e:fa:e4
22956,22,1,1,-50,551,4.78,608143662.822328,f8:bb:bf:1e:fa:e3
22957,22,1,44,-55,551,5.658,608143661.944387,f8:bb:bf:1e:fa:e5
22958,22,1,1,0,551,4.799,608143662.803411,f8:bb:bf:90:a8:f9
22959,22,1,157,-88,551,5.025,608143662.5770891,b4:fb:e4:29:90:d
22960,22,1,1,-71,551,4.824,608143662.778304,f8:bb:bf:8d:b9:c5
22961,22,1,5,-92,551,4.083,608143663.5189321,78:29:ed:f2:24:6e
22962,22,1,6,-83,551,3.935,608143663.6671251,b8:66:85:53:d3:6
22963,22,1,44,-55,553,5.702,608209996.4064419,f8:bb:bf:1e:fa:e5
22964,22,1,44,-60,553,5.722,608209996.386395,82:ce:62:71:b6:a1
22965,22,1,1,-90,553,4.805,608209997.303004,b4:2a:e:14:3b:18
22966,22,1,6,0,553,4.007,608209998.101455,b4:fb:e4:29:90:c
22967,22,1,10,-81,553,3.27,608209998.83825,34:e8:94:dc:e9:d0
22968,22,1,40,-89,553,5.865,608209996.243055,7c:db:98:c2:30:34
22969,22,1,40,-89,553,5.861,608209996.247043,76:83:c2:17:fd:93
22970,22,1,1,-90,553,4.793,608209997.315018,80:da:13:72:e8:ef
22971,22,1,44,-56,553,5.702,608209996.406431,f8:bb:bf:1e:fa:eb
22972,22,1,44,-81,553,5.68,608209996.428226,f8:bb:bf:8d:b9:c2
22973,22,1,157,-90,553,4.99,608209997.11803,b6:fb:e4:19:90:d
22974,22,1,6,-87,553,3.959,608209998.149116,b6:7c:9c:26:a7:f0
22975,22,1,1,-59,553,4.797,608209997.3113229,f8:bb:bf:90:a8:f1
22976,22,1,1,-89,553,4.792,608209997.3160789,80:da:13:72:e8:e6
22977,22,1,153,-85,553,6.337,608209995.771165,9c:3d:cf:89:6e:7e
22978,22,1,6,-89,553,3.973,608209998.135067,d8:32:14:a6:d3:b9
22979,22,1,44,-79,553,5.671,608209996.437275,f8:bb:bf:90:a8:f2
22980,22,1,3,-80,553,4.667,608209997.441263,a0:63:91:86:2b:77
22981,22,1,11,-82,553,0.212,608210001.8961899,76:83:c2:17:fd:92
22982,22,1,1,-88,553,4.856,608209997.252092,48:0:33:9f:15:5b
22983,22,1,44,-79,553,5.671,608209996.437287,f8:bb:bf:90:a8:f6
22984,22,1,1,-58,553,4.797,608209997.3113339,f8:bb:bf:90:a8:f5
22985,22,1,1,-45,553,4.846,608209997.2623831,f8:bb:bf:1e:fa:e3
22986,22,1,1,-45,553,4.846,608209997.262359,f8:bb:bf:1e:fa:e6
22987,22,1,6,-83,553,3.93,608209998.178177,7c:db:98:c2:30:33
22988,22,1,161,-60,553,6.371,608209995.7374189,f8:bb:bf:1e:fa:ea
22989,22,1,1,-47,553,4.847,608209997.261346,f8:bb:bf:1e:fa:e9
22990,22,1,6,-81,553,3.834,608209998.274214,3c:17:10:9e:1:16
22991,22,1,1,-93,553,4.886,608209997.221967,70:77:81:de:99:27
22992,22,1,1,-45,553,4.846,608209997.2623711,f8:bb:bf:1e:fa:ef
22993,22,1,1,-90,553,4.794,608209997.313991,80:da:13:72:e8:e9
22994,22,1,1,-87,553,4.9,608209997.208129,80:da:13:72:52:69
22995,22,1,6,-86,553,3.946,608209998.162141,54:83:3a:a5:8b:78
22996,22,1,1,-61,553,4.792,608209997.316311,f8:bb:bf:8d:b9:c1
22997,22,1,6,-82,553,3.995,608209998.113202,b8:66:85:53:d3:6
22998,22,1,1,-88,553,4.895,608209997.213104,80:da:13:72:e8:e3
22999,22,1,1,-85,553,4.853,608209997.255153,f8:da:c:fd:ff:84
23000,22,1,161,-60,553,6.37,608209995.738407,f8:bb:bf:1e:fa:e4
23001,22,1,44,-81,553,5.68,608209996.428238,f8:bb:bf:8d:b9:c6
23002,22,1,1,-62,553,4.792,608209997.316299,f8:bb:bf:8d:b9:c5
23003,22,1,1,-77,555,0.439,608221014.704078,80:da:13:72:52:63
23004,22,1,1,-68,555,0.421,608221014.722101,f8:bb:bf:8d:b9:c3
23005,22,1,1,-75,555,0.409,608221014.734088,80:da:13:6e:76:83
23006,22,1,1,-54,555,0.446,608221014.697114,f8:bb:bf:90:a8:f3
23007,22,1,1,-76,555,0.352,608221014.791082,80:da:13:72:e8:e9
23008,22,1,1,0,555,0.447,608221014.696143,f8:bb:bf:90:a8:f5
23009,22,1,1,-80,555,0.393,608221014.750066,48:0:33:9f:15:5b
23010,22,1,1,-80,555,0.409,608221014.734072,80:da:13:6e:76:8f
23011,22,1,1,-83,555,0.367,608221014.776062,d8:9d:67:54:3e:6
23012,22,1,1,-90,555,0.418,608221014.725059,b4:2a:e:14:3b:18
23013,22,1,1,-77,555,0.438,608221014.705075,80:da:13:72:52:66
23014,22,1,1,-48,555,0.407,608221014.736127,f8:bb:bf:1e:fa:ef
23015,22,1,1,-68,555,0.422,608221014.7211039,f8:bb:bf:8d:b9:c9
23016,22,1,11,0,555,0.027,608221015.1161361,74:83:c2:77:fd:92
23017,22,1,1,-75,555,0.352,608221014.791095,80:da:13:72:e8:ef
23018,22,1,1,-48,555,0.407,608221014.73613,f8:bb:bf:1e:fa:e3
23019,22,1,1,-48,555,0.406,608221014.737124,f8:bb:bf:1e:fa:e6
23020,22,1,1,-76,555,0.439,608221014.704085,80:da:13:72:52:6f
23021,22,1,1,-80,555,0.409,608221014.734069,80:da:13:6e:76:86
23022,22,1,1,-93,555,0.402,608221014.741049,d8:32:14:a6:d3:b1
23023,22,1,1,-67,555,0.422,608221014.7211109,f8:bb:bf:8d:b9:c5
23024,22,1,1,-75,555,0.351,608221014.792091,80:da:13:72:e8:e6
23025,22,1,11,0,555,0.065,608221015.0781399,ac:3b:77:36:ac:ee
23026,22,1,1,-54,555,0.446,608221014.697117,f8:bb:bf:90:a8:f9
23027,22,1,11,0,555,0.021,608221015.122133,76:83:c2:17:fd:92
23028,22,1,1,-67,555,0.422,608221014.721108,f8:bb:bf:8d:b9:c1
23029,22,1,1,-92,555,0.374,608221014.769055,24:20:c7:a1:f5:b6
23030,22,1,1,-49,555,0.407,608221014.7361201,f8:bb:bf:1e:fa:e9
23031,22,1,1,-75,555,0.352,608221014.791098,80:da:13:72:e8:e3
23032,22,1,1,0,557,6.193,608241926.52909,f8:da:c:fd:ff:84
23033,22,1,6,0,557,5.653,608241927.069048,3c:17:10:9e:1:16
23034,22,1,1,0,557,6.224,608241926.498098,f8:bb:bf:8d:b9:c3
23035,22,1,44,-90,557,4.094,608241928.627922,f8:bb:bf:90:a8:f2
23036,22,1,1,0,557,6.274,608241926.4481319,f8:bb:bf:1e:fa:ef
23037,22,1,10,0,557,4.786,608241927.9360319,34:e8:94:dc:e9:d0
23038,22,1,3,0,557,5.953,608241926.7690561,a0:63:91:86:2b:77
23039,22,1,48,-81,557,4.011,608241928.7109389,58:ef:68:25:35:34
23040,22,1,1,0,557,6.274,608241926.4481399,f8:bb:bf:1e:fa:e3
23041,22,1,1,0,557,6.241,608241926.481115,48:0:33:9f:15:5b
23042,22,1,44,-92,557,4.094,608241928.627906,f8:bb:bf:90:a8:f6
23043,22,1,11,0,557,2.925,608241929.7970151,d8:d7:75:b6:28:8
23044,22,1,157,-88,557,3.475,608241929.246931,3c:17:10:9e:1:17
23045,22,1,9,0,557,4.954,608241927.7680401,58:ef:68:25:35:33
23046,22,1,1,0,557,6.252,608241926.470123,4:a1:51:19:c4:67
23047,22,1,161,-77,557,3.293,608241929.428955,f8:bb:bf:1e:fa:ea
23048,22,1,11,0,557,4.668,608241928.054023,74:83:c2:77:fd:92
23049,22,1,3,0,557,6.104,608241926.618073,9c:3d:cf:89:6e:7f
23050,22,1,3,0,557,5.794,608241926.928065,2a:f5:a2:b3:b3:61
