identifier,weight,labels,sourceNodeId,targetNodeId,attrIds
169,1.0,b'\x02\x02\x19\x01',113,72,b'\x02\x04\x0c\x13\x01\x01'
170,0.25,b'\x02\x02\x19\x01',113,115,b'\x02\x04\x0c\x13\x01\x01'
171,0.5,b'\x02\x02\x19\x01',113,30,b'\x02\x04\x0c\x13\x01\x01'
172,0.3333333432674408,b'\x02\x02\x19\x01',113,116,b'\x02\x04\x0c\x13\x01\x01'
173,0.2171250730752945,b'\x02\x02\x19\x01',113,31,b'\x02\x04\x0c\x13\x01\x01'
174,0.6666666865348816,b'\x02\x02\x19\x01',113,21,b'\x02\x04\x0c\x13\x01\x01'
175,0.5,b'\x02\x02\x19\x01',113,24,b'\x02\x04\x0c\x13\x01\x01'
176,0.6666666865348816,b'\x02\x02\x19\x01',113,25,b'\x02\x04\x0c\x13\x01\x01'
177,0.13027504086494446,b'\x02\x02\x19\x01',113,117,b'\x02\x04\x0c\x13\x01\x01'
178,1.0,b'\x02\x02\x19\x01',113,27,b'\x02\x04\x0c\x13\x01\x01'
179,0.32568761706352234,b'\x02\x02\x19\x01',113,118,b'\x02\x04\x0c\x13\x01\x01'
180,0.5,b'\x02\x02\x19\x01',113,12,b'\x02\x04\x0c\x13\x01\x01'
181,0.2171250730752945,b'\x02\x02\x19\x01',113,119,b'\x02\x04\x0c\x13\x01\x01'
182,0.13027504086494446,b'\x02\x02\x19\x01',113,120,b'\x02\x04\x0c\x13\x01\x01'
183,1.0,b'\x02\x02\x06\x18',113,14,b'\x02\x00'
184,1.0,b'\x02\x02\x06\x0f',121,16,b'\x02\x00'
185,1.0,b'\x02\x02\x06\x11',121,19,b'\x02\x00'
186,0.2171250730752945,b'\x02\x02\x19\x01',121,99,b'\x02\x04\x0c\x13\x01\x01'
187,0.6666666865348816,b'\x02\x02\x19\x01',121,67,b'\x02\x04\x0c\x13\x01\x01'
188,0.2171250730752945,b'\x02\x02\x19\x01',121,69,b'\x02\x04\x0c\x13\x01\x01'
189,0.2171250730752945,b'\x02\x02\x19\x01',121,122,b'\x02\x04\x0c\x13\x01\x01'
190,0.2171250730752945,b'\x02\x02\x19\x01',121,123,b'\x02\x04\x0c\x13\x01\x01'
191,0.32568761706352234,b'\x02\x02\x19\x01',121,24,b'\x02\x04\x0c\x13\x01\x01'
192,0.13027504086494446,b'\x02\x02\x19\x01',121,124,b'\x02\x04\x0c\x13\x01\x01'
193,1.0,b'\x02\x02\x19\x01',121,54,b'\x02\x04\x0c\x13\x01\x01'
194,0.2171250730752945,b'\x02\x02\x19\x01',121,71,b'\x02\x04\x0c\x13\x01\x01'
195,1.0,b'\x02\x02\x19\x01',121,72,b'\x02\x04\x0c\x13\x01\x01'
196,0.32568761706352234,b'\x02\x02\x19\x01',121,12,b'\x02\x04\x0c\x13\x01\x01'
197,0.32568761706352234,b'\x02\x02\x19\x01',121,84,b'\x02\x04\x0c\x13\x01\x01'
198,1.0,b'\x02\x02\x06\x18',121,14,b'\x02\x00'
199,1.0,b'\x02\x02\x06\x06',126,6,b'\x02\x00'
200,1.0,b'\x02\x02\x06\x07',126,64,b'\x02\x00'
201,1.0,b'\x02\x02\x06\x08',126,65,b'\x02\x00'
202,1.0,b'\x02\x02\x06\t',126,127,b'\x02\x00'
203,1.0,b'\x02\x02\x06\n',126,63,b'\x02\x00'
204,1.0,b'\x02\x02\x06\x0c',126,9,b'\x02\x00'
205,1.0,b'\x02\x02\x06\x0e',126,18,b'\x02\x00'
206,1.0,b'\x02\x02\x06\x0f',125,126,b'\x02\x00'
207,1.0,b'\x02\x02\x06\x11',125,19,b'\x02\x00'
208,0.20000000298023224,b'\x02\x02\x19\x01',125,128,b'\x02\x04\x0c\x13\x01\x01'
209,0.3333333432674408,b'\x02\x02\x19\x01',125,69,b'\x02\x04\x0c\x13\x01\x01'
210,0.20000000298023224,b'\x02\x02\x19\x01',125,129,b'\x02\x04\x0c\x13\x01\x01'
211,0.20000000298023224,b'\x02\x02\x19\x01',125,130,b'\x02\x04\x0c\x13\x01\x01'
212,1.0,b'\x02\x02\x19\x01',125,72,b'\x02\x04\x0c\x13\x01\x01'
213,0.3333333432674408,b'\x02\x02\x19\x01',125,131,b'\x02\x04\x0c\x13\x01\x01'
214,0.3333333432674408,b'\x02\x02\x19\x01',125,132,b'\x02\x04\x0c\x13\x01\x01'
215,0.25,b'\x02\x02\x19\x01',125,115,b'\x02\x04\x0c\x13\x01\x01'
216,0.5,b'\x02\x02\x19\x01',125,30,b'\x02\x04\x0c\x13\x01\x01'
217,1.0,b'\x02\x02\x19\x01',125,20,b'\x02\x04\x0c\x13\x01\x01'
218,0.75,b'\x02\x02\x19\x01',125,21,b'\x02\x04\x0c\x13\x01\x01'
219,0.5,b'\x02\x02\x19\x01',125,24,b'\x02\x04\x0c\x13\x01\x01'
220,0.5,b'\x02\x02\x19\x01',125,26,b'\x02\x04\x0c\x13\x01\x01'
221,0.20000000298023224,b'\x02\x02\x19\x01',125,133,b'\x02\x04\x0c\x13\x01\x01'
222,1.0,b'\x02\x02\x19\x01',125,27,b'\x02\x04\x0c\x13\x01\x01'
223,0.3333333432674408,b'\x02\x02\x19\x01',125,41,b'\x02\x04\x0c\x13\x01\x01'
224,0.5,b'\x02\x02\x19\x01',125,12,b'\x02\x04\x0c\x13\x01\x01'
225,1.0,b'\x02\x02\x06\x18',125,43,b'\x02\x00'
