Z_PK,Z_ENT,Z_OPT,ZAUTHORTS,ZBUNDLEIDTS,ZCONTEXTNAMETS,ZPROCESSIDTS,ZTIMESTAMP,ZAUTHOR,ZBUNDLEID,ZCONTEXTNAME,ZPROCESSID,ZQUERYGEN
90,16002,,16.0,2,10.0,3,606582557.936132,,,,,
91,16002,,,2,13.0,3,606595332.093291,,,,,
92,16002,,1.0,2,15.0,3,606595332.133228,,,,,
93,16002,,16.0,2,10.0,3,606595332.217682,,,,,
94,16002,,16.0,2,19.0,3,606595332.223609,,,,,
95,16002,,9.0,2,10.0,3,606595332.24966,,,,,
96,16002,,16.0,2,10.0,3,606595332.333472,,,,,
97,16002,,,2,13.0,3,606595342.765179,,,,,
98,16002,,1.0,2,15.0,3,606595342.851484,,,,,
99,16002,,16.0,2,10.0,3,606595342.890391,,,,,
100,16002,,16.0,2,10.0,3,606595342.927639,,,,,
101,16002,,28.0,2,29.0,3,606595424.75945,,,,,
102,16002,,28.0,2,29.0,3,606595424.787457,,,,,
103,16002,,28.0,2,29.0,3,606595424.825375,,,,,
104,16002,,28.0,2,29.0,3,606595424.850987,,,,,
105,16002,,28.0,2,29.0,3,606595425.128068,,,,,
106,16002,,1.0,2,15.0,3,606595431.549819,,,,,
107,16002,,16.0,2,10.0,3,606595431.642743,,,,,
108,16002,,16.0,2,19.0,3,606595431.646379,,,,,
109,16002,,9.0,2,10.0,3,606595431.855122,,,,,
110,16002,,16.0,2,10.0,3,606595431.961242,,,,,
111,16002,,28.0,2,29.0,3,606595437.704938,,,,,
112,16002,,1.0,2,15.0,3,606595760.442946,,,,,
113,16002,,16.0,2,19.0,3,606595760.502821,,,,,
114,16002,,16.0,2,10.0,3,606595760.563126,,,,,
115,16002,,9.0,2,10.0,3,606595760.596128,,,,,
116,16002,,16.0,2,10.0,3,606595760.648737,,,,,
117,16002,,16.0,2,10.0,3,606597673.161103,,,,,
118,16002,,16.0,2,10.0,3,606597673.230722,,,,,
119,16002,,16.0,2,10.0,3,606597673.279556,,,,,
120,16002,,16.0,2,10.0,3,606597673.319133,,,,,
121,16002,,16.0,2,10.0,3,606597676.063343,,,,,
122,16002,,16.0,2,10.0,3,606597676.092253,,,,,
123,16002,,16.0,2,10.0,3,606597676.115881,,,,,
124,16002,,16.0,2,10.0,3,606597676.131145,,,,,
125,16002,,16.0,2,10.0,3,606597676.145194,,,,,
126,16002,,16.0,2,10.0,3,606597676.161481,,,,,
127,16002,,16.0,2,10.0,3,606597676.183083,,,,,
128,16002,,16.0,2,10.0,3,606597676.217369,,,,,
129,16002,,16.0,2,10.0,3,606597676.234081,,,,,
130,16002,,9.0,2,10.0,3,606597676.760125,,,,,
131,16002,,16.0,2,10.0,3,606597676.859564,,,,,
132,16002,,28.0,2,29.0,3,606598068.189649,,,,,
133,16002,,28.0,2,29.0,3,606598107.876494,,,,,
134,16002,,28.0,2,29.0,3,606598109.609726,,,,,
135,16002,,28.0,2,29.0,3,606598135.994084,,,,,
136,16002,,28.0,2,29.0,3,606598136.031009,,,,,
137,16002,,28.0,2,29.0,3,606598136.217523,,,,,
138,16002,,28.0,2,29.0,3,606598136.272188,,,,,
139,16002,,28.0,2,29.0,3,606598136.837549,,,,,
140,16002,,28.0,2,29.0,3,606598139.699074,,,,,
141,16002,,28.0,2,29.0,3,606598140.035106,,,,,
142,16002,,28.0,2,29.0,3,606598140.245837,,,,,
143,16002,,28.0,2,29.0,3,606598140.683071,,,,,
144,16002,,28.0,2,29.0,3,606598141.429062,,,,,
145,16002,,28.0,2,29.0,3,606598141.596883,,,,,
146,16002,,28.0,2,29.0,3,606598141.791242,,,,,
147,16002,,28.0,2,29.0,3,606598141.921445,,,,,
148,16002,,28.0,2,29.0,3,606598142.077067,,,,,
149,16002,,28.0,2,29.0,3,606598143.792881,,,,,
150,16002,,28.0,2,29.0,3,606598144.01969,,,,,
151,16002,,28.0,2,29.0,3,606598144.249644,,,,,
152,16002,,28.0,2,29.0,3,606598144.443367,,,,,
153,16002,,28.0,2,29.0,3,606598145.966132,,,,,
154,16002,,28.0,2,29.0,3,606598146.170978,,,,,
155,16002,,28.0,2,29.0,3,606598146.375567,,,,,
156,16002,,1.0,2,29.0,3,606598146.670951,,,,,
157,16002,,28.0,2,29.0,3,606598146.77093,,,,,
158,16002,,28.0,2,29.0,3,606598146.859252,,,,,
159,16002,,28.0,2,29.0,3,606598146.890772,,,,,
160,16002,,28.0,2,29.0,3,606598146.91635,,,,,
161,16002,,28.0,2,29.0,3,606598146.944725,,,,,
162,16002,,28.0,2,29.0,3,606598146.973632,,,,,
163,16002,,28.0,2,29.0,3,606598147.002324,,,,,
164,16002,,28.0,2,29.0,3,606598147.028308,,,,,
165,16002,,28.0,2,29.0,3,606598147.055675,,,,,
166,16002,,28.0,2,29.0,3,606598147.086094,,,,,
167,16002,,28.0,2,29.0,3,606598147.117759,,,,,
168,16002,,28.0,2,29.0,3,606598147.149284,,,,,
169,16002,,28.0,2,29.0,3,606598147.177507,,,,,
170,16002,,28.0,2,29.0,3,606598147.210469,,,,,
171,16002,,1.0,2,15.0,3,606619018.451418,,,,,
172,16002,,16.0,2,19.0,3,606619018.524039,,,,,
173,16002,,16.0,2,10.0,3,606619018.596591,,,,,
174,16002,,9.0,2,10.0,3,606619018.632626,,,,,
175,16002,,16.0,2,10.0,3,606619018.768989,,,,,
176,16002,,16.0,2,10.0,3,606619020.50297,,,,,
177,16002,,16.0,2,10.0,3,606619020.85525,,,,,
178,16002,,16.0,2,10.0,3,606619020.873619,,,,,
179,16002,,1.0,2,42.0,3,606619955.663592,,,,,
180,16002,,16.0,2,19.0,3,606619955.748381,,,,,
181,16002,,16.0,2,10.0,3,606619957.563653,,,,,
182,16002,,9.0,2,10.0,3,606619957.596147,,,,,
183,16002,,16.0,2,10.0,3,606619957.689003,,,,,
184,16002,,16.0,2,10.0,3,606619959.372636,,,,,
185,16002,,16.0,2,10.0,3,606619959.642211,,,,,
186,16002,,16.0,2,10.0,3,606619959.660511,,,,,
187,16002,,28.0,2,29.0,3,606619962.897904,,,,,
188,16002,,28.0,2,29.0,3,606619962.922336,,,,,
189,16002,,28.0,2,29.0,3,606619963.175421,,,,,
190,16002,,1.0,2,42.0,3,606621142.606541,,,,,
191,16002,,16.0,2,19.0,3,606621142.669705,,,,,
192,16002,,16.0,2,10.0,3,606621142.718068,,,,,
193,16002,,9.0,2,10.0,3,606621142.776072,,,,,
194,16002,,16.0,2,10.0,3,606621142.845485,,,,,
195,16002,,16.0,2,10.0,3,606621146.57046,,,,,
196,16002,,16.0,2,10.0,3,606621146.812119,,,,,
197,16002,,16.0,2,10.0,3,606621146.835213,,,,,
198,16002,,16.0,2,19.0,3,606688376.603086,,,,,
199,16002,,1.0,2,29.0,3,606688920.519222,,,,,
200,16002,,28.0,2,29.0,3,606689302.514896,,,,,
201,16002,,28.0,2,29.0,3,606689346.916103,,,,,
202,16002,,28.0,2,29.0,3,606689347.125726,,,,,
203,16002,,28.0,2,29.0,3,606689347.385398,,,,,
204,16002,,28.0,2,29.0,3,606689362.977668,,,,,
205,16002,,28.0,2,29.0,3,606689362.995047,,,,,
206,16002,,28.0,2,29.0,3,606689363.431244,,,,,
207,16002,,28.0,2,29.0,3,606689363.490802,,,,,
208,16002,,28.0,2,29.0,3,606689363.542181,,,,,
209,16002,,28.0,2,29.0,3,606689365.636804,,,,,
210,16002,,28.0,2,29.0,3,606689365.802646,,,,,
211,16002,,28.0,2,29.0,3,606689365.942946,,,,,
212,16002,,1.0,2,29.0,3,606689366.085862,,,,,
213,16002,,28.0,2,29.0,3,606689366.164551,,,,,
214,16002,,1.0,2,15.0,3,606749276.48619,,,,,
215,16002,,16.0,2,19.0,3,606749276.537038,,,,,
216,16002,,16.0,2,10.0,3,606749276.6068,,,,,
217,16002,,9.0,2,10.0,3,606749276.661825,,,,,
218,16002,,16.0,2,10.0,3,606749276.997189,,,,,
219,16002,,16.0,2,10.0,3,606749284.37883,,,,,
220,16002,,16.0,2,10.0,3,606749284.62417,,,,,
221,16002,,16.0,2,10.0,3,606749284.645467,,,,,
222,16002,,16.0,2,19.0,3,606769872.225418,,,,,
223,16002,,28.0,2,29.0,3,606769890.439511,,,,,
224,16002,,28.0,2,29.0,3,606769899.640791,,,,,
225,16002,,28.0,2,29.0,3,606769904.707468,,,,,
226,16002,,28.0,2,29.0,3,606769904.730982,,,,,
227,16002,,28.0,2,29.0,3,606769905.000248,,,,,
228,16002,,28.0,2,29.0,3,606769905.102985,,,,,
229,16002,,28.0,2,29.0,3,606769906.109627,,,,,
230,16002,,1.0,2,15.0,3,606793952.962551,,,,,
231,16002,,16.0,2,19.0,3,606793953.049103,,,,,
232,16002,,16.0,2,10.0,3,606793953.121509,,,,,
233,16002,,9.0,2,10.0,3,606793953.166446,,,,,
234,16002,,16.0,2,10.0,3,606793953.581299,,,,,
235,16002,,1.0,2,15.0,3,606793965.43552,,,,,
236,16002,,16.0,2,10.0,3,606793965.583039,,,,,
237,16002,,16.0,2,10.0,3,606793965.621126,,,,,
238,16002,,28.0,2,29.0,3,606794021.970595,,,,,
239,16002,,28.0,2,29.0,3,606794022.002745,,,,,
240,16002,,28.0,2,29.0,3,606794022.327622,,,,,
241,16002,,28.0,2,15.0,3,606794023.972472,,,,,
242,16002,,28.0,2,29.0,3,606794024.199466,,,,,
243,16002,,16.0,2,10.0,3,606794026.687878,,,,,
244,16002,,16.0,2,10.0,3,606794026.707762,,,,,
245,16002,,9.0,2,10.0,3,606794027.709255,,,,,
246,16002,,16.0,2,10.0,3,606794027.799606,,,,,
247,16002,,28.0,2,29.0,3,606794028.25821,,,,,
248,16002,,28.0,2,29.0,3,606795815.803497,,,,,
249,16002,,28.0,2,29.0,3,606795830.289146,,,,,
250,16002,,28.0,2,29.0,3,606795851.827416,,,,,
251,16002,,28.0,2,29.0,3,606795852.307427,,,,,
252,16002,,16.0,2,19.0,3,606804139.825165,,,,,
253,16002,,28.0,2,29.0,3,606810892.01414,,,,,
254,16002,,1.0,2,29.0,3,606822022.977689,,,,,
255,16002,,16.0,2,19.0,3,606893337.602881,,,,,
256,16002,,1.0,2,42.0,3,606941715.243556,,,,,
257,16002,,16.0,2,19.0,3,606941715.292356,,,,,
258,16002,,16.0,2,10.0,3,606941715.351112,,,,,
259,16002,,9.0,2,10.0,3,606941715.393272,,,,,
260,16002,,16.0,2,10.0,3,606941715.50039,,,,,
261,16002,,16.0,2,10.0,3,606941717.394198,,,,,
262,16002,,16.0,2,10.0,3,606941717.718018,,,,,
263,16002,,16.0,2,10.0,3,606941717.739014,,,,,
264,16002,,1.0,2,42.0,3,606941884.228044,,,,,
265,16002,,16.0,2,19.0,3,606941884.297087,,,,,
266,16002,,16.0,2,10.0,3,606941884.922833,,,,,
267,16002,,9.0,2,10.0,3,606941884.961489,,,,,
268,16002,,16.0,2,10.0,3,606941885.022328,,,,,
269,16002,,16.0,2,10.0,3,606941886.812808,,,,,
270,16002,,16.0,2,10.0,3,606941887.034234,,,,,
271,16002,,16.0,2,10.0,3,606941887.049573,,,,,
272,16002,,1.0,2,42.0,3,606942179.83859,,,,,
273,16002,,16.0,2,19.0,3,606942179.899542,,,,,
274,16002,,16.0,2,10.0,3,606942180.105569,,,,,
275,16002,,9.0,2,10.0,3,606942180.134115,,,,,
276,16002,,16.0,2,10.0,3,606942180.203853,,,,,
277,16002,,16.0,2,10.0,3,606942182.575224,,,,,
278,16002,,16.0,2,10.0,3,606942182.874254,,,,,
279,16002,,16.0,2,10.0,3,606942182.891814,,,,,
280,16002,,1.0,2,42.0,3,606942246.217453,,,,,
281,16002,,16.0,2,19.0,3,606942246.272885,,,,,
282,16002,,16.0,2,10.0,3,606942247.010569,,,,,
283,16002,,9.0,2,10.0,3,606942247.036938,,,,,
284,16002,,16.0,2,10.0,3,606942247.115183,,,,,
285,16002,,16.0,2,10.0,3,606942249.3358,,,,,
286,16002,,16.0,2,10.0,3,606942249.537631,,,,,
287,16002,,16.0,2,10.0,3,606942249.549982,,,,,
288,16002,,1.0,2,42.0,3,606942615.713185,,,,,
289,16002,,16.0,2,19.0,3,606942615.866013,,,,,
290,16002,,9.0,2,10.0,3,606942620.665301,,,,,
291,16002,,16.0,2,10.0,3,606942620.687303,,,,,
292,16002,,9.0,2,10.0,3,606942620.705468,,,,,
293,16002,,16.0,2,10.0,3,606942620.754683,,,,,
294,16002,,16.0,2,10.0,3,606942620.775618,,,,,
295,16002,,16.0,2,10.0,3,606942620.796233,,,,,
296,16002,,16.0,2,10.0,3,606942622.132169,,,,,
297,16002,,16.0,2,10.0,3,606942622.416215,,,,,
298,16002,,16.0,2,10.0,3,606942622.434368,,,,,
299,16002,,1.0,2,15.0,3,606962281.190282,,,,,
300,16002,,1.0,2,15.0,3,606962281.353726,,,,,
301,16002,,1.0,2,15.0,3,606962281.374413,,,,,
302,16002,,16.0,2,19.0,3,606962281.413451,,,,,
303,16002,,9.0,2,10.0,3,606962281.431181,,,,,
304,16002,,1.0,2,29.0,3,606962281.452384,,,,,
305,16002,,9.0,2,10.0,3,606962281.554116,,,,,
306,16002,,16.0,2,10.0,3,606962281.574917,,,,,
307,16002,,9.0,2,10.0,3,606962281.594793,,,,,
308,16002,,16.0,2,10.0,3,606962281.642997,,,,,
309,16002,,1.0,2,15.0,3,606962358.184359,,,,,
310,16002,,1.0,2,15.0,3,606962358.207752,,,,,
311,16002,,16.0,2,19.0,3,606962358.220649,,,,,
312,16002,,1.0,2,29.0,3,606962358.249395,,,,,
313,16002,,16.0,2,10.0,3,606962358.272546,,,,,
314,16002,,16.0,2,10.0,3,606962358.289734,,,,,
315,16002,,16.0,2,10.0,3,606962358.325873,,,,,
316,16002,,28.0,2,29.0,3,606962368.521134,,,,,
317,16002,,28.0,2,29.0,3,606962368.562353,,,,,
318,16002,,28.0,2,29.0,3,606962368.810693,,,,,
319,16002,,16.0,2,10.0,3,606962869.335248,,,,,
320,16002,,16.0,2,10.0,3,606962869.573271,,,,,
321,16002,,16.0,2,10.0,3,606962869.630817,,,,,
322,16002,,1.0,2,15.0,3,606964623.931525,,,,,
323,16002,,1.0,2,42.0,3,606964802.635224,,,,,
324,16002,,16.0,2,10.0,3,606964802.734948,,,,,
325,16002,,16.0,2,19.0,3,606964802.755178,,,,,
326,16002,,9.0,2,10.0,3,606964802.783177,,,,,
327,16002,,16.0,2,10.0,3,606964802.913303,,,,,
328,16002,,16.0,2,10.0,3,606964805.567901,,,,,
329,16002,,16.0,2,10.0,3,606964805.82625,,,,,
330,16002,,16.0,2,10.0,3,606964805.847147,,,,,
331,16002,,28.0,2,29.0,3,606966176.706101,,,,,
332,16002,,28.0,2,29.0,3,606966191.676246,,,,,
333,16002,,28.0,2,29.0,3,606966191.924548,,,,,
334,16002,,28.0,2,29.0,3,606966192.128974,,,,,
335,16002,,28.0,2,29.0,3,606966192.36434,,,,,
336,16002,,28.0,2,29.0,3,606966192.605452,,,,,
337,16002,,28.0,2,29.0,3,606966192.855116,,,,,
338,16002,,28.0,2,29.0,3,606966193.104834,,,,,
339,16002,,28.0,2,29.0,3,606966193.399896,,,,,
340,16002,,28.0,2,29.0,3,606966201.354082,,,,,
341,16002,,28.0,2,29.0,3,606966201.384132,,,,,
342,16002,,28.0,2,29.0,3,606966201.801245,,,,,
343,16002,,28.0,2,29.0,3,606966201.899487,,,,,
344,16002,,28.0,2,29.0,3,606966205.011093,,,,,
345,16002,,28.0,2,29.0,3,606966205.279191,,,,,
346,16002,,28.0,2,29.0,3,606966205.42306,,,,,
347,16002,,28.0,2,29.0,3,606966205.545837,,,,,
348,16002,,28.0,2,29.0,3,606966205.722822,,,,,
349,16002,,28.0,2,29.0,3,606966205.880434,,,,,
350,16002,,28.0,2,29.0,3,606966207.104104,,,,,
351,16002,,28.0,2,29.0,3,606966207.555765,,,,,
352,16002,,1.0,2,29.0,3,606966208.059561,,,,,
353,16002,,28.0,2,29.0,3,606966208.152435,,,,,
