Z_PK,Z_ENT,Z_OPT,ZFLAGS,ZPREDOMINANTMOTIONACTIVITYTYPE,ZDESTINATION,ZDEVICE,ZORIGIN,ZCREATIONDATE,ZEXPIRATIONDATE,ZSTARTDATE,ZSTOPDATE,ZCKRECORDID,ZIDENTIFIER,ZCKRECORDSYSTEMFIELDS
28,13,1,0,0,32,2,30.0,608433906.934533,612428903.54396,607555444.141777,607556363.54396,FB3F086F-7058-4F1E-9988-4A7820DEA5EC,b'\xfb?\x08opXO\x1e\x99\x88Jx \xde\xa5\xec',
29,13,1,0,0,33,2,32.0,608433906.934533,612472343.54396,607590503.54396,607590863.54396,363025B6-9623-4BB6-AF10-1EFD2A2EE491,b'60%\xb6\x96#K\xb6\xaf\x10\x1e\xfd*.\xe4\x91',
30,13,1,0,0,30,2,34.0,607595363.351925,612393844.141777,607541884.141777,607543744.141777,2AC6C566-9852-4191-803D-539DF515189E,b'*\xc6\xc5f\x98RA\x91\x80=S\x9d\xf5\x15\x18\x9e',
31,13,2,0,4,35,1,28.0,608505994.410531,613336792.9964104,608393992.624497,608394592.9964104,4304BB94-E17F-4579-A6DE-B482920F9D1A,b'C\x04\xbb\x94\xe1\x7fEy\xa6\xde\xb4\x82\x92\x0f\x9d\x1a',
32,13,2,0,1,38,1,37.0,608597786.415359,613390578.88776,608522778.88776,608523138.88776,E683B351-382E-4A9D-9E23-77C7253AD882,b'\xe6\x83\xb3Q8.J\x9d\x9e#w\xc7%:\xd8\x82',
33,13,2,0,1,36,1,38.0,608597786.415359,613426698.88776,608552178.88776,608552538.88776,2C6504B5-928D-4D12-995F-E1200E3CE34F,"b',e\x04\xb5\x92\x8dM\x12\x99_\xe1 \x0e<\xe3O'",
34,13,2,0,1,37,1,35.0,608597786.415359,613361178.88776,608498392.9964104,608498838.88776,F21E86A5-A389-4D7F-828F-C34FD392C5D1,b'\xf2\x1e\x86\xa5\xa3\x89M\x7f\x82\x8f\xc3O\xd3\x92\xc5\xd1',
35,13,2,0,1,40,1,36.0,608691303.507764,613497784.837613,608588298.88776,608588974.999962,44656330-B005-4F5D-BC4C-3E07C37C8FE4,b'Dec0\xb0\x05O]\xbcL>\x07\xc3|\x8f\xe4',
36,13,2,0,4,39,1,40.0,608691303.507764,610505703.507764,608659384.837613,608659847.798644,B222257E-8580-4B93-9E00-1A9267EAC9EA,"b'\xb2""%~\x85\x80K\x93\x9e\x00\x1a\x92g\xea\xc9\xea'",
37,13,1,0,0,41,2,42.0,608691300.761476,613509273.617634,608659074.14645,608660910.344829,1FB73EF6-28EF-4E55-AF38-8FA159D3126D,b'\x1f\xb7>\xf6(\xefNU\xaf8\x8f\xa1Y\xd3\x12m',
38,13,1,0,0,42,2,31.0,608691300.761476,613497474.14645,607637573.54396,608395309.115757,92B745B3-9FEB-4550-A15A-43690D088A93,b'\x92\xb7E\xb3\x9f\xebEP\xa1ZCi\r\x08\x8a\x93',
39,13,1,0,4,43,1,39.0,608738281.369977,613563936.9931849,608660419.9950243,608660796.9931849,A8FB5373-3E18-4EEA-A76D-21FD3C33C1AB,b'\xa8\xfbSs>\x18N\xea\xa7m!\xfd<3\xc1\xab',
