ID,timestamp,Active,Anticipate,AutoReady,AutoScan,FaceDetected,Off,On,Ready,StationaryFingers,UILock,Unknown,VSFOMCal
863,1587037468.4162521,1943034.0,16742.0,,,,1587024899651.0,12501003.0,10515407.0,,,,
864,1587038016.839191,1943034.0,16742.0,,,,1587024899651.0,12501003.0,10515407.0,,,,
865,1587043511.051084,2621841.0,24211.0,,,904.0,1587027266274.0,14838271.0,12159852.0,,,,
866,1587045073.2097602,2621841.0,24211.0,,,904.0,1587027266274.0,14838271.0,12159852.0,,,,
867,1587045092.786087,2621841.0,24211.0,,,904.0,1587027266274.0,14838271.0,12159852.0,,,,
868,1587045520.267362,3044808.0,27155.0,,,3399.0,1587028622222.0,16841853.0,13729834.0,,,,
869,1587050935.7402642,3046854.0,27155.0,,,3399.0,1587028627756.0,16850125.0,13736052.0,,,,
870,1587050936.669403,3047138.0,27155.0,,,3399.0,1587034034870.0,16850365.0,13736052.0,,,,
871,1587051123.097362,3049184.0,27155.0,,,3399.0,1587034035565.0,16860191.0,13743833.0,,,,
872,1587051135.183007,3051230.0,27155.0,,,3399.0,1587034212158.0,16862537.0,13744182.0,,,,
873,1587051139.1919732,3053276.0,27155.0,,,3399.0,1587034221907.0,16865390.0,13745014.0,,,,
