ROWID,scope,conversation,newest_read_message,display_message,date,read,flagged,has_red_flag,has_orange_flag,has_yellow_flag,has_green_flag,has_blue_flag,has_purple_flag,has_gray_flag,draft,replied,forwarded,redirected,junk_level_set_by_user,junk_level,has_unflagged,has_attachments,count,journaled
49,1,7987327653962252277,49.0,49,1584839551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
89,1,7905211801942990563,55.0,55,1584839905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
91,1,-9195479158723952412,56.0,56,1584883313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0
93,1,4645140509185206414,57.0,57,1584884761,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0
95,1,4015337129947362489,133.0,133,1584929004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
96,1,-3778383095744072102,132.0,132,1584926736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
99,2,4920899576466481511,137.0,137,1582437337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
101,1,7849129870048584285,138.0,138,1585012712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
103,1,-8989313908678491779,139.0,139,1585012848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
104,1,-631951485052647864,140.0,140,1585013329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
107,1,2729828387940125827,141.0,141,1585013951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
109,1,-1992822115312789504,142.0,142,1585014235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
110,1,387401289288289630,143.0,143,1585014260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
111,1,6866796126971542123,144.0,144,1585014408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
115,1,2313615902158810607,145.0,145,1585014516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
116,1,-8883006069834285327,146.0,146,1585014530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
119,1,-1859492429105594592,147.0,147,1585015107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
121,1,3332026825277639062,162.0,162,1585096797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
122,1,-7648172013259622505,161.0,161,1585096615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
123,1,4579854745132544900,160.0,160,1585096382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
124,1,3910907786299623252,159.0,159,1585083627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
129,1,-6298874482722982257,169.0,169,1585163040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
130,1,-475265993225783372,168.0,168,1585163015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
131,1,8488285743393118773,173.0,173,1585203467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
132,1,-8943664340524785686,177.0,177,1585258545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
133,1,8791310151723539192,175.0,175,1585228505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
134,1,-197886292116969409,176.0,176,1585228505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
135,1,-6090522692275413645,182.0,182,1585343128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
136,1,4970986088187506225,181.0,181,1585339708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
137,3,-5061402589034770031,127.0,127,1581772593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
138,3,4645140509185206414,131.0,131,1584884761,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0
139,3,7165909412371320100,129.0,129,1584806742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
140,3,-475265993225783372,172.0,172,1585163015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
141,3,-3778383095744072102,136.0,136,1584926736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
142,3,-7648172013259622505,167.0,167,1585096615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
143,3,8209436898097488953,126.0,126,1581644952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
144,3,-631951485052647864,158.0,158,1585013329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
145,3,7193262899052988233,125.0,125,1580322466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
146,3,-6761738157535089717,128.0,128,1584464497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0
147,3,-9195479158723952412,130.0,130,1584883313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0
149,1,-7196015868275375587,185.0,185,1585688438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
150,1,9061290025525443015,187.0,187,1585930978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
151,3,9061290025525443015,188.0,188,1585930978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
163,1,8965796123199500387,191.0,191,1586015899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
164,1,-6895612913432454801,190.0,190,1585962187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
166,3,8965796123199500387,193.0,193,1586015899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
167,3,-6895612913432454801,192.0,192,1585962187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
170,1,7579337443055424578,196.0,196,1586015927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
171,1,-1078933640882776797,199.0,199,1586027874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
172,1,-3205377180171429586,197.0,197,1586025427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
173,1,-8496388141410733957,198.0,198,1586025427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
178,1,-5328518848351563547,200.0,200,1586047015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
180,3,-5328518848351563547,202.0,202,1586047015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
181,3,7579337443055424578,201.0,201,1586015927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
183,1,-332418902521824264,208.0,208,1586135713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
184,3,-332418902521824264,209.0,209,1586135713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
187,1,9158511179413985761,211.0,211,1586135817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
189,1,-2317483620235530382,212.0,212,1586153166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
190,1,-5610870383140551810,215.0,215,1586196470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
191,3,-5610870383140551810,216.0,216,1586196470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
194,1,8152685341480264969,218.0,218,1586255641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
