Z_PK,Z_ENT,Z_OPT,ZAUTHTYPE,ZBLUETOOTHPAIRINGMETHOD,ZDISCONNECTSAFTERBONDING,ZEMOTEISSMILEY,ZHASMICROPHONE,ZHASMUSICCONTROL,ZHASSPEAKER,ZISCHILDDEVICE,ZISMOBILETRACK,ZISSCALEDEVICE,ZMAXACCESSPOINTS,ZREQUIRESWAKING,ZUSEMEGADUMPFORFWUP,ZUSEMEGADUMPFORVALIDATEPAIR,ZUSESBLUETOOTH,ZWIFIFWUPLOWBATTERYTHRESHOLD,ZDEVICETYPE,ZPRODUCTNAME,ZSUPPORTURL,ZPRODUCTIDS
15,107,44,2,4,0,0,0.0,1,0.0,0.0,0,0,0,0,1,1,1,0,18,Blaze,https://community.fitbit.com/t5/Blaze/bd-p/blaze,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x11\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
16,107,44,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0,0,0,0,0,20,Aria,https://community.fitbit.com/t5/Aria/bd-p/aria,
17,107,44,2,4,0,0,0.0,1,0.0,0.0,0,0,0,0,1,1,1,0,21,Surge,https://community.fitbit.com/t5/Surge/bd-p/surge,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x10\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
18,107,44,2,4,0,0,1.0,0,0.0,0.0,0,0,5,0,1,1,1,40,2,Versa 2,https://community.fitbit.com/t5/Versa/bd-p/versa,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10#\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
19,107,44,1,3,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,24,Charge,https://community.fitbit.com/t5/Charge/bd-p/charge,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x08\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
20,107,44,1,3,0,1,0.0,0,0.0,0.0,0,0,0,1,0,0,1,0,15,Zip,https://community.fitbit.com/t5/Zip/bd-p/zip,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x13\x14\x15U$null\xd2\r\x0e\x0f\x12ZNS.objectsV$class\xa2\x10\x11\x80\x02\x80\x03\x80\x04\x10\x01\x10\x02\xd2\x16\x17\x18\x19Z$classnameX$classesWNSArray\xa2\x18\x1aXNSObject\x08\x11\x1a$)27ILQSY_dovy{}\x7f\x81\x83\x88\x93\x9c\xa4\xa7\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb0'
21,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,13,Alta,https://community.fitbit.com/t5/Alta/bd-p/alta,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x15\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
22,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,7,Inspire,https://community.fitbit.com/t5/Inspire-Inspire-HR/bd-p/inspire,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10!\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
23,107,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,19,Flyer,https://community.fitbit.com/t5/Flyer/bd-p/flyer,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x1f\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
24,107,44,2,4,0,0,0.0,0,0.0,0.0,0,0,0,0,1,1,1,0,12,Alta HR,https://community.fitbit.com/t5/AltaHR/bd-p/altaHR,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x1a\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
25,107,44,0,0,0,0,0.0,0,0.0,0.0,1,0,0,0,0,0,1,0,26,MobileTrack,,
26,107,44,2,4,0,0,0.0,0,0.0,0.0,0,1,1,0,1,1,1,0,10,Aria 2,https://community.fitbit.com/t5/Aria-Scales/bd-p/aria,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03\x10\x17\xd2\x14\x15\x16\x17Z$classnameX$classesWNSArray\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{}\x82\x8d\x96\x9e\xa1\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xaa'
