Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,AdditionalAssetAttributes,0,59
2,Adjustment,0,0
3,AlbumList,0,7
4,AssetAnalysisState,0,59
5,AssetDescription,0,0
6,CloudFeedEntry,0,0
7,CloudFeedAssetsEntry,6,0
8,CloudFeedCommentsEntry,6,0
9,CloudMaster,0,58
10,CloudMasterMediaMetadata,0,61
11,CloudResource,0,0
12,CloudSharedAlbumInvitationRecord,0,0
13,CloudSharedComment,0,0
14,Codec,0,1
15,ComputedAssetAttributes,0,63
16,DeferredRebuildFace,0,0
17,DetectedFace,0,27
18,DetectedFaceGroup,0,46
19,DetectedFaceprint,0,28
20,EditedIPTCAttributes,0,0
21,ExtendedAttributes,0,0
22,FaceCrop,0,0
23,FileSystemBookmark,0,0
24,FileSystemVolume,0,0
25,GenericAlbum,0,40
26,Album,25,0
27,CloudSharedAlbum,26,0
28,LegacyFaceAlbum,26,0
29,PhotoStreamAlbum,26,0
30,ProjectAlbum,26,0
31,FetchingAlbum,25,0
32,Folder,25,0
33,ImportSession,25,0
34,GenericAsset,0,59
35,Asset,34,0
36,InternalResource,0,158
37,Keyword,0,0
38,LegacyFace,0,0
39,MediaAnalysisAssetAttributes,0,54
40,Memory,0,0
41,Moment,0,13
42,MomentList,0,3
43,MomentShare,0,0
44,MomentShareParticipant,0,0
45,Person,0,46
46,PersonReference,0,0
47,PhotosHighlight,0,13
48,Question,0,0
49,SceneClassification,0,1191
50,Sceneprint,0,54
51,SearchData,0,0
52,Suggestion,0,19
53,UniformTypeIdentifier,0,7
54,UnmanagedAdjustment,0,3
16001,CHANGE,0,3122
16002,TRANSACTION,0,966
16003,TRANSACTIONSTRING,0,105
