elementId,intValue,realValue,stringValue,dataType
2,,1585257602.4356472,,2
15,,1584875356.250668,,2
34,,1585158528.105,,2
44,,1585086752.0,,2
49,,1584888560.330511,,2
60,,1586613415.8685725,,2
93,,1586688477.724489,,2
103,,1585235415.1636992,,2
107,,1585042076.3898158,,2
113,,1586642229.0,,2
121,,1584913942.305729,,2
125,,1586100437.8156989,,2
134,,1585086752.0,,2
135,,1584913942.305729,,2
136,,1585158528.105,,2
137,,1586688477.724489,,2
138,,1586100437.8156989,,2
139,,1586642229.0,,2
140,,1585257602.4356472,,2
141,,1585257602.4356472,,2
143,,1586688477.724489,,2
145,,1587037240.0,,2
148,,1587038098.0,,2
