Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,ICCloudState,0,14
2,ICCloudSyncingObject,0,14
3,ICAccountData,2,0
4,ICAttachment,2,0
5,ICAttachmentPreviewImage,2,0
6,ICDeviceMigrationState,2,0
7,ICLegacyTombstone,2,0
8,ICMedia,2,0
9,ICNote,2,0
10,ICNoteContainer,2,0
11,ICAccount,10,0
12,ICFolder,10,0
13,ICLocation,0,0
14,ICAttachmentLocation,13,0
15,ICNoteData,0,5
16,ICServerChangeToken,0,4
16001,CHANGE,0,354
16002,TRANSACTION,0,145
16003,TRANSACTIONSTRING,0,22
