Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,DMDConfigurationOrganization,0,1
2,DMDConfigurationSource,0,1
3,DMDEventSubscriptionRegistration,0,0
4,DMDPayload,0,2
5,DMDPayloadMetadata,0,2
6,DMDCommandPayloadMetadata,5,0
7,DMDDeclarationPayloadMetadata,5,0
8,DMDActivationPayloadMetadata,7,0
9,DMDAssetPayloadMetadata,7,0
10,DMDConfigurationPayloadMetadata,7,0
11,DMDSubscriptionEvent,0,0
