Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,WABlackListItem,0,0
2,WAChatProperties,0,0
3,WAChatPushConfig,0,0
4,WAChatSession,0,1
5,WAGroupInfo,0,0
6,WAGroupMember,0,0
7,WAGroupMembersChange,0,0
8,WAMediaItem,0,4
9,WAMessage,0,12
10,WAMessageDataItem,0,0
11,WAMessageInfo,0,7
12,WAProfilePictureItem,0,2
13,WAProfilePushName,0,2
14,WAVCardMention,0,0
15,WAZ1PaymentTransaction,0,0
