elementId,intValue,realValue,stringValue,dataType
2,,,2020-03-26 20,3
3,,,03-26-2020,3
4,26.0,,,1
5,3.0,,,1
6,2020.0,,,1
7,13.0,,,1
8,4.0,,,1
9,,,Spring,3
10,,,Thursday,3
13,,,This Is DFIR,3
14,,,Evening,3
15,,,2020-03-22 09,3
16,,,03-22-2020,3
17,22.0,,,1
18,,,Sunday,3
32,,,Morning,3
33,,,Noon,3
34,,,2020-03-25 17,3
35,,,03-25-2020,3
36,25.0,,,1
37,,,Wednesday,3
43,,,Afternoon,3
44,,,2020-03-24 21,3
45,,,03-24-2020,3
46,24.0,,,1
47,,,Tuesday,3
49,,,2020-03-22 14,3
60,,,2020-04-11 13,3
61,,,04-11-2020,3
62,11.0,,,1
63,4.0,,,1
64,15.0,,,1
65,2.0,,,1
66,,,Saturday,3
86,,,101,3
87,,,Duck Savannah Dr,3
88,,,Twelve Oaks,3
89,,,Holly Springs,3
90,,,Wake,3
91,,,North Carolina,3
92,,,US,3
93,,,2020-04-12 08,3
94,,,04-12-2020,3
95,12.0,,,1
96,16.0,,,1
97,3.0,,,1
101,,,508,3
102,,,Ancient Oaks Dr,3
103,,,2020-03-26 14,3
107,,,2020-03-24 09,3
113,,,2020-04-11 20,3
121,,,2020-03-22 21,3
125,,,2020-04-05 15,3
126,,,04-05-2020,3
127,5.0,,,1
144,,,Easter,3
145,,,2020-04-16 11,3
146,,,04-16-2020,3
147,16.0,,,1
