ID,timestamp,Keyboard-ID,Process-ID,Status
4309,1586827035.734367,System,56,0
4310,1586872380.2405362,System,688,1
4311,1586872380.2405953,System,688,1
4312,1586872380.2406263,System,688,0
4313,1586872380.240652,System,688,0
4314,1586872389.3604782,System,56,1
4315,1586872389.3607032,System,56,0
4316,1586872389.5602293,System,688,1
4317,1586872389.5604422,System,688,1
4318,1586872389.560564,System,688,0
4319,1586872389.5606813,System,688,0
4320,1586908872.1459901,System,876,1
4321,1586908872.1460972,System,876,1
4322,1586908872.1461473,System,876,0
4323,1586908872.1461961,System,876,0
4324,1586908872.4965742,System,56,1
4325,1586908872.4966512,System,56,0
4326,1586908901.796185,System,56,1
4327,1586908903.1123662,System,876,1
4328,1586908903.1124601,System,876,1
4329,1586909114.167102,System,56,0
4330,1586909114.167182,System,56,1
4331,1586909114.167212,System,56,0
4332,1586909114.215467,System,876,0
4333,1586909114.215519,System,876,0
4334,1586909114.2155461,System,876,1
4335,1586909114.21557,System,876,1
4336,1586909114.215593,System,876,0
4337,1586909114.2156162,System,876,0
4338,1586909126.131731,System,876,1
4339,1586909126.131947,System,876,1
4340,1586909126.2267022,System,56,1
4341,1586909132.339591,System,56,0
4342,1586909132.340007,System,876,0
4343,1586909132.340147,System,876,0
4344,1586909144.048976,System,56,1
4345,1586909144.0491982,System,56,1
4346,1586909144.149048,System,692,1
4347,1586909144.149264,System,692,1
4348,1586909144.1494951,System,876,1
4349,1586909183.5616193,System,56,0
4350,1586909183.5618312,System,56,0
4351,1586909183.7246351,System,876,0
4352,1586909215.834794,System,876,1
4353,1586909215.8350182,System,876,1
4354,1586909215.9337611,System,56,1
4355,1586909241.832932,System,56,0
4356,1586909241.86349,System,876,0
4357,1586909241.8636942,System,876,0
4358,1586909295.9776602,System,876,1
4359,1586909295.9778411,System,876,1
4360,1586909295.978002,System,876,0
4361,1586909295.978581,System,876,0
4362,1586909295.980895,System,56,1
4363,1586909295.9810371,System,56,0
4364,1586909579.266858,System,56,1
4365,1586909581.87397,System,876,1
4366,1586909581.8741932,System,876,1
4367,1586910887.1538022,System,56,0
4368,1586910888.4079041,System,876,0
4369,1586910888.408049,System,876,0
4370,1586910888.4081364,System,876,1
4371,1586910888.4082112,System,876,1
4372,1586911438.440737,System,897,1
4373,1586911438.4408941,System,897,1
4374,1586911438.817647,System,56,1
4375,1586911463.353446,System,897,0
4376,1586911463.353651,System,897,0
4377,1586911463.7975461,System,56,0
4378,1586911933.3964543,System,56,1
4379,1586911933.3965452,System,897,1
4380,1586911933.3965883,System,897,1
4381,1586911941.3826761,System,56,0
4382,1586911941.8183222,System,897,0
4383,1586911941.8185592,System,897,0
4384,1586912060.2686691,System,56,1
4385,1586912060.3390021,System,887,1
4386,1586912060.339068,System,887,1
4387,1586912066.65034,System,56,0
4388,1586912066.650387,System,56,1
4389,1586912071.64249,System,905,1
4390,1586912071.642573,System,905,1
4391,1586912091.624066,System,905,0
4392,1586912091.6245952,System,905,0
4393,1586912091.788806,System,56,0
4394,1586912204.2035842,System,905,1
4395,1586912204.2036421,System,905,1
4396,1586912204.326745,System,56,1
4397,1586912211.728568,System,905,0
4398,1586912211.7287693,System,905,0
4399,1586912211.8872833,System,56,0
4400,1586912270.5665512,System,905,1
4401,1586912270.5666423,System,56,1
4402,1586912270.566688,System,905,1
4403,1586912276.3233862,System,56,0
4404,1586912276.3688211,System,905,0
4405,1586912276.368946,System,905,0
4406,1586912288.054399,System,56,1
4407,1586912288.0544462,System,56,0
4408,1586912288.944141,System,905,1
4409,1586912288.944244,System,905,1
4410,1586912288.944295,System,905,0
4411,1586912288.9443421,System,905,0
4412,1586912349.333152,System,911,1
4413,1586912349.333255,System,911,1
4414,1586912349.3342981,System,911,0
4415,1586912349.334337,System,911,0
4416,1586912349.3343692,System,911,1
4417,1586912349.334396,System,911,1
4418,1586912349.334425,System,56,1
4419,1586912349.334453,System,56,0
4420,1586912357.8606882,System,56,1
4421,1586912368.6007671,System,911,0
4422,1586912368.6009512,System,911,0
4423,1586912368.619838,System,56,0
4424,1586912485.8395262,System,56,1
4425,1586912485.839734,System,916,1
4426,1586912485.839868,System,916,1
4427,1586912502.151179,System,56,0
4428,1586912502.2173462,System,916,0
4429,1586912502.2175322,System,916,0
4430,1587037578.7320433,System,1412,1
4431,1587037578.7325492,System,1412,1
4432,1587037579.1736732,System,1413,1
4433,1587037579.1737962,System,1413,1
4434,1587037579.372569,System,956,1
4435,1587037579.529612,System,1405,1
4436,1587037579.5297132,System,1405,1
4437,1587037604.95883,System,1405,0
4438,1587037604.958953,System,1405,0
4439,1587037605.288704,System,956,0
4440,1587037841.8292131,System,956,1
4441,1587037842.941158,System,1418,1
4442,1587037842.941337,System,1418,1
4443,1587037907.464447,System,956,0
4444,1587038084.211658,System,1418,0
4445,1587038084.21173,System,1418,0
4446,1587038084.21176,System,1418,1
4447,1587038084.2117863,System,1418,1
4448,1587038089.4863973,System,956,1
4449,1587038099.654819,System,1418,0
4450,1587038099.6550171,System,1418,0
4451,1587038099.6551433,System,1418,1
4452,1587038099.65527,System,1418,1
4453,1587038100.1390963,System,956,0
4454,1587038100.139316,System,956,1
4455,1587038164.6154761,System,956,0
4456,1587038166.112958,System,1418,0
4457,1587038166.113598,System,1418,0
4458,1587038166.1136823,System,1418,1
4459,1587038166.11376,System,1418,1
4460,1587038170.4454222,System,956,1
4461,1587038320.8122191,System,956,0
4462,1587038327.080802,System,988,1
4463,1587038327.080955,System,988,1
4464,1587038327.0810442,System,988,0
4465,1587038327.081119,System,988,0
4466,1587038327.445753,System,956,1
4467,1587038327.445902,System,956,0
4468,1587038390.774291,System,956,1
4469,1587038391.059752,System,988,1
4470,1587038391.059797,System,988,1
4471,1587038541.0714211,System,988,0
4472,1587038541.071505,System,988,0
4473,1587038541.2455182,System,956,0
4474,1587038573.0906553,System,988,1
