event_id,module_id,sample_rate
5,562,0
7,562,0
13,563,100
18,563,100
2,565,25
3,565,0
1,572,10
2,573,0
1,574,1
2,574,1
3,574,10000
7,574,10000
10,574,1
31,574,1
1,576,100
1,583,10
2,583,10
1,590,1
1,591,50
2,595,0
3,595,0
4,595,0
5,595,0
6,595,0
7,595,0
3,596,1
4,596,1
1,597,0
2,604,1
4,604,20
5,604,100
10,604,1
1,613,1000
3,613,100
1,617,0
2,617,1000
3,617,0
4,617,0
5,617,1
1,619,1
3,619,0
1,622,0
5,625,0
1,627,0
1,635,1
2,636,10
3,636,10
1,639,1
2,643,1
3,643,1
4,643,1
5,643,1
6,643,1
2,650,1
4,658,0
1,659,1000000
5,676,0
1,689,1
2,689,1
3,689,1
1,721,1000
2,721,1
3,721,1
4,721,200
5,721,200
6,721,100
7,721,100
8,721,1
10,721,1
11,721,1
1,745,1
2,760,1
5,776,1
4,777,1
5,777,1
2,786,1
1,787,10000
2,787,10000
3,787,10000
4,787,10000
2,788,1
1,791,1
2,792,1
1,841,0
379,-3,1
250,-3,1
252,-3,1
253,-3,1
251,-3,1
390,-3,1
249,-3,1
382,-3,1
381,-3,1
119,-3,1
117,-3,1
112,-3,1
118,-3,1
116,-3,1
120,-3,1
153,-3,1
312,-3,1
206,-3,1
205,-3,1
363,-3,1
297,-3,1
113,-3,1
409,-3,1
410,-3,1
421,-3,100
214,-3,1
146,-3,1
293,-3,1
296,-3,1
403,-3,1
404,-3,1
147,-3,1
212,-3,1
356,-3,1
357,-3,1
211,-3,1
340,-3,1
338,-3,1
344,-3,1
342,-3,1
341,-3,1
343,-3,1
386,-3,1
387,-3,1
388,-3,1
337,-3,1
339,-3,1
369,-3,1
370,-3,1
223,-3,1
198,-3,1
407,-3,1
226,-3,1
225,-3,1
392,-3,1
393,-3,1
391,-3,1
826,-3,1
243,-3,1
134,-3,1
418,-3,1
263,-3,1
219,-3,1
411,-3,1
320,-3,1
115,-3,1
180,-3,1
171,-3,1
174,-3,1
183,-3,1
181,-3,1
179,-3,1
182,-3,1
185,-3,1
172,-3,1
175,-3,1
139,-3,1
176,-3,1
108,-3,1
471,-3,1
470,-3,1
472,-3,1
469,-3,1
111,-3,1
107,-3,1
159,-3,1
248,-3,1
433,-3,1
148,-3,1
138,-3,1
150,-3,1
158,-3,1
151,-3,1
149,-3,1
423,-3,1
817,-3,1
422,-3,1
431,-3,1
427,-3,1000
133,-3,1
131,-3,1
482,-3,1
130,-3,1
129,-3,1
114,-3,1
193,-3,1
366,-3,1
459,-3,1
460,-3,1
449,-3,1
450,-3,1
446,-3,1
447,-3,1
424,-3,1
383,-3,1
441,-3,1
439,-3,1
440,-3,1
442,-3,1
443,-3,1
468,-3,1
417,-3,1
315,-3,1
316,-3,1
474,-3,1
462,-3,1
445,-3,1
435,-3,1
436,-3,1
425,-3,1
317,-3,1
458,-3,1
456,-3,1
457,-3,1
466,-3,1
465,-3,1
464,-3,1
455,-3,1
453,-3,1
454,-3,1
346,-3,1
271,-3,1
467,-3,1
478,-3,1
479,-3,1
334,-3,1
350,-3,1
324,-3,1
329,-3,1
323,-3,1
331,-3,1
325,-3,1
349,-3,1
330,-3,1
335,-3,1
318,-3,1
279,-3,1
280,-3,1
281,-3,1
282,-3,1
283,-3,1
284,-3,1
285,-3,1
428,-3,1
481,-3,1
169,-3,1
157,-3,1
161,-3,1
109,-3,1
203,-3,1
168,-3,1
170,-3,1
165,-3,1
166,-3,1
164,-3,1
202,-3,1
272,-3,1
292,-3,1
254,-3,1
207,-3,1
208,-3,1
210,-3,1
209,-3,1
128,-3,1
127,-3,1
213,-3,1
152,-3,1
191,-3,1
364,-3,1
365,-3,1
199,-3,1
224,-3,1
801,-3,1
270,-3,1
353,-3,1
110,-3,1
278,-3,1
276,-3,1
275,-3,1
277,-3,1
274,-3,1
286,-3,1
288,-3,1
246,-3,1
245,-3,1
290,-3,1
242,-3,1
247,-3,1
218,-3,1
351,-3,1
389,-3,1
189,-3,1
322,-3,1
227,-3,1
228,-3,1
229,-3,1
230,-3,1
234,-3,1
233,-3,1
238,-3,1
232,-3,1
235,-3,1
236,-3,1
237,-3,1
231,-3,1
477,-3,1
372,-3,1
299,-3,1
371,-3,1
385,-3,1
319,-3,1
204,-3,1
156,-3,1
314,-3,1
412,-3,1
273,-3,1
256,-3,1
197,-3,1
426,-3,1
196,-3,1
190,-3,1
822,-3,1
373,-3,1
336,-3,1
476,-3,1
132,-3,1
155,-3,1
200,-3,1
313,-3,1
241,-3,1
239,-3,1
328,-3,1
855,-3,1
854,-3,1
327,-3,1
326,-3,1
853,-3,1
852,-3,1
240,-3,1
265,-3,1
264,-3,1
269,-3,1
268,-3,1
827,-3,1
347,-3,1
140,-3,1
220,-3,1
221,-3,1
291,-3,1
367,-3,1
368,-3,1
125,-3,1
121,-3,1
122,-3,1
123,-3,1
124,-3,1
354,-3,1
352,-3,1
812,-3,1
813,-3,1
298,-3,1
419,-3,1
834,-3,1
833,-3,1
840,-3,1
839,-3,1
844,-3,1
838,-3,1
830,-3,1
829,-3,1
831,-3,1
843,-3,1
837,-3,1
137,-3,10
845,-3,500
195,-3,1
194,-3,1
846,-3,1
378,-3,1
374,-3,1
375,-3,1
376,-3,1
216,-3,0
217,-3,0
408,-3,0
310,-3,0
303,-3,0
304,-3,0
307,-3,0
309,-3,0
804,-3,0
429,-3,0
434,-3,0
405,-3,0
345,-3,0
869,-3,0
415,-3,0
23,-4,0
24,-4,0
25,-4,0
26,-4,0
31,-4,0
32,-4,0
33,-4,0
34,-4,0
35,-4,0
300,-4,0
301,-4,1
22,-4,1
27,-4,1
28,-4,1
29,-4,1
36,-4,1
295,-3,1
40,-4,1
41,-4,1
42,-4,1
43,-4,1
44,-4,1
45,-4,1
46,-4,1
50,-4,0
51,-4,0
52,-4,1
70,-4,1
71,-4,1
72,-4,1
73,-4,1
74,-4,1
483,-4,1
484,-4,1
64,6,0
291,10,0
31,190,10
99,202,0
1,303,10000
2,303,10000
6,303,10000
7,303,10000
9,303,10000
10,303,10000
11,303,10000
12,303,10000
13,303,10000
14,303,10000
15,303,10000
17,303,10000
19,303,10000
21,303,10000
25,303,10000
28,303,10000
29,303,10000
31,303,10000
2,342,10000
3,342,10000
6,342,10000
2,431,50000
7,613,100
2,666,1
1,861,1
2,861,1
3,861,1
4,861,1
871,-3,1
862,-3,1
863,-3,1
872,-3,1
821,-3,1
807,-3,1
836,-3,1
848,-3,1
819,-3,1
847,-4,1
851,-4,1
71,7,0
72,7,0
23,128,5000
32,128,10
97,182,0
53,196,100
54,196,1
44,248,10
45,248,10
47,248,1
48,248,5
5,272,1
1,357,0
1,391,100000
2,395,5000
7,424,10000
12,465,10
33,485,0
1,518,10
3,627,0
7,679,0
1,853,1
4,866,10000
5,866,1000000
3,870,1
1,872,0
809,-3,10
437,-3,1
864,-3,1
142,-3,1
215,-3,1
824,-3,1
384,-3,1
808,-3,1
816,-3,1
835,-3,1
841,-3,1
842,-3,1
806,-3,0
805,-3,0
135,-3,0
832,-3,0
295,-4,1
215,-4,1
55,196,1
81,7,1
143,-3,1
141,-3,1
810,-3,1
815,-3,1
